N	2gram	Propp_Morf_1	slovoVRo
1	и в	13	41
2	и т	41	28
3	могут быть	16	19
4	во всех	4	17
5	но и	4	16
6	и не	12	16
7	точки зрения	2	16
8	не только	4	16
9	а не	11	15
10	то же	7	14
11	в пределах	3	14
12	может быть	52	14
13	и др	10	14
14	не может	14	14
15	в то	3	14
16	в сущности	3	13
17	как бы	3	12
18	в этом	14	12
19	так и	6	11
20	в большинстве	3	10
21	таким образом	21	9
22	все эти	2	9
23	прежде всего	9	8
24	на его	4	8
25	но в	2	8
26	как в	3	8
27	как мы	6	8
28	с точки	2	8
29	или в	4	8
30	не в	3	7
31	вовсе не	4	7
32	все же	7	7
33	во всяком	2	7
34	это не	6	6
35	а в	7	6
36	большинстве случаев	3	6
37	оно не	2	6
38	только в	2	6
39	с другой	8	5
40	всяком случае	2	5
41	т д	39	5
42	и к	4	5
43	не на	2	5
44	к нему	3	5
45	далеко не	5	5
46	перед нами	10	4
47	один из	5	4
48	в которой	3	4
49	с его	2	4
50	как и	3	4
51	еще не	3	4
52	быть и	2	4
53	входит в	2	4
54	другой стороны	4	4
55	и для	2	4
56	ту же	2	4
57	там где	5	4
58	ничего не	4	4
59	не могут	4	3
60	хотя бы	4	3
61	к тому	4	3
62	в том	6	3
63	более или	2	3
64	из них	3	3
65	его и	2	3
66	того что	3	3
67	друг друга	3	3
68	в других	3	3
69	также и	4	3
70	в результате	7	3
71	и здесь	5	3
72	о том	2	3
73	его в	2	3
74	в первом	3	3
75	так как	16	3
76	с этим	11	3
77	по существу	12	3
78	эта форма	13	3
79	в качестве	5	3
80	она не	2	3
81	было бы	3	3
82	но оно	2	3
83	он не	3	3
84	в свое	2	3
85	лишь на	2	3
86	или менее	2	3
87	и этим	5	3
88	и ее	3	3
89	связана с	3	2
90	в частности	2	2
91	оно как	2	2
92	тому что	4	2
93	этом случае	8	2
94	можно сказать	2	2
95	ни было	2	2
96	для нас	2	2
97	что они	2	2
98	на этом	3	2
99	смысле слова	4	2
100	например в	2	2
101	этот элемент	4	2
102	для того	2	2
103	хотя и	3	2
104	и по	2	2
105	и тем	2	2
106	в целом	3	2
107	в этих	13	2
108	от других	2	2
109	уже не	2	2
110	так же	3	2
111	время как	3	2
112	сказать что	2	2
113	потому что	3	2
114	между тем	5	2
115	оно может	3	2
116	не является	3	2
117	иногда в	5	2
118	одному из	3	2
119	он может	2	2
120	между собой	4	2
121	первом случае	3	2
122	дело не	2	2
123	к этому	3	2
124	у нас	2	2
125	том что	4	2
126	не с	2	2
127	мы видим	13	2
128	то в	3	2
129	одна из	4	2
130	но не	4	2
131	по своему	2	2
132	а на	3	2
133	то время	3	2
134	и иных	2	2
135	а также	4	2
136	и другим	3	2
137	в самых	2	2
138	нами в	2	2
139	а с	2	2
140	на самом	4	2
141	если мы	5	2
142	заставляет его	2	2
143	мы не	8	2
144	можно было	2	2
145	в виде	2	2
146	тем и	2	2
147	в другом	2	2
148	связи с	10	2
149	здесь не	2	2
