N	2gram	Losev_Prob_1	StatiiOP
1	и в	32	25
2	в этом	19	24
3	у пушкина	2	22
4	в том	9	20
5	что в	12	19
6	что он	7	19
7	может быть	14	19
8	тем что	7	19
9	что это	3	16
10	том что	12	15
11	в этой	10	14
12	и пр	4	13
13	в его	6	12
14	то что	42	12
15	не только	17	12
16	в этих	3	11
17	так что	6	11
18	прежде всего	10	10
19	таким образом	6	10
20	и не	31	10
21	но и	9	9
22	и т	11	8
23	все это	7	8
24	о том	11	8
25	это было	2	8
26	это не	6	7
27	было бы	8	7
28	с этим	3	7
29	не может	8	7
30	что такое	6	7
31	точки зрения	3	7
32	в то	6	7
33	из этих	2	6
34	в конце	6	6
35	не в	4	6
36	только в	7	6
37	как бы	14	6
38	как в	4	6
39	а в	4	6
40	и на	8	6
41	в области	2	6
42	между тем	2	6
43	то же	10	5
44	в них	7	5
45	потому что	16	5
46	с другой	3	5
47	на то	8	5
48	ни в	7	5
49	об этом	10	5
50	такого рода	7	5
51	в котором	5	5
52	и это	9	5
53	а не	15	5
54	того что	7	5
55	другой стороны	3	5
56	он не	3	5
57	так и	12	5
58	мы имеем	2	5
59	но в	14	5
60	с тем	5	4
61	всяком случае	3	4
62	пушкина что	2	4
63	по крайней	2	4
64	в жизни	3	4
65	этом смысле	6	4
66	крайней мере	2	4
67	у нас	14	4
68	как и	3	4
69	мы видим	2	4
70	это есть	9	4
71	но это	8	4
72	то в	5	4
73	что здесь	3	4
74	в качестве	2	4
75	можно сказать	5	4
76	если бы	4	4
77	например в	2	4
78	на его	2	4
79	а также	4	4
80	и тем	13	4
81	в своей	8	4
82	не было	4	4
83	с точки	3	4
84	в чем	3	4
85	к нему	3	4
86	и для	4	4
87	и с	2	4
88	сказать что	13	4
89	во всяком	7	4
90	действующих лиц	2	4
91	в каком	3	4
92	в которой	2	4
93	ничего не	10	4
94	в эту	2	4
95	что все	3	3
96	уже в	3	3
97	с его	2	3
98	тому что	4	3
99	нельзя сказать	2	3
100	и здесь	6	3
101	всех этих	7	3
102	его как	2	3
103	для него	2	3
104	тем более	5	3
105	и что	9	3
106	кроме того	2	3
107	и если	6	3
108	несмотря на	3	3
109	между прочим	2	3
110	о которых	3	3
111	конце концов	4	3
112	все эти	8	3
113	не является	5	3
114	или из	3	3
115	по этому	3	3
116	в их	4	3
117	как раз	13	3
118	в связи	4	3
119	что этот	2	3
120	уже не	3	3
121	что мы	13	3
122	и его	3	3
123	что для	2	3
124	в виде	15	3
125	но он	3	3
126	говорить о	6	3
127	связи с	5	3
128	так как	11	3
129	я и	2	3
130	все время	2	2
131	при помощи	13	2
132	говорит и	3	2
133	не менее	19	2
134	никогда не	7	2
135	для этого	3	2
136	и во	3	2
137	вовсе не	35	2
138	и ее	8	2
139	значит и	2	2
140	или иной	5	2
141	к тому	3	2
142	как мы	7	2
143	не как	2	2
144	без всякого	2	2
145	что его	3	2
146	но все	3	2
147	что они	3	2
148	есть в	5	2
149	что если	2	2
150	но не	9	2
151	того же	3	2
152	до сих	3	2
153	еще не	9	2
154	и может	2	2
155	в это	2	2
156	в самом	6	2
157	в сущности	2	2
158	во всех	7	2
159	нужно сказать	3	2
160	на что	2	2
161	в виду	6	2
162	нет и	2	2
163	гораздо более	2	2
164	один из	4	2
165	здесь нет	2	2
166	тем не	18	2
167	вместе с	2	2
168	сих пор	3	2
169	ее в	2	2
170	только что	2	2
171	нас не	2	2
172	не на	3	2
173	этому поводу	3	2
174	и только	4	2
175	в отношении	3	2
176	т д	10	2
177	эту вещь	2	2
178	не просто	23	2
179	а потому	2	2
180	мы находим	2	2
181	этой области	2	2
182	этого термина	4	2
183	самом деле	6	2
184	для того	8	2
185	что не	3	2
186	и всегда	2	2
187	во многих	2	2
188	мы не	2	2
189	или в	4	2
190	между собою	7	2
191	в которых	3	2
192	то он	2	2
193	в результате	2	2
194	то и	6	2
195	но есть	2	2
196	ни на	4	2
197	одно из	2	2
198	могут быть	2	2
199	он и	8	2
200	но как	6	2
201	которые в	2	2
202	здесь только	2	2
203	и ни	4	2
204	с которыми	4	2
205	не имеет	2	2
206	не потому	2	2
207	и которые	5	2
208	то есть	33	2
