N	2gram	Losev_Prob_4	NovoeSre
1	а не	7	17
2	не может	5	16
3	и в	20	16
4	и не	28	11
5	и есть	4	10
6	что в	3	9
7	жизни и	5	8
8	он не	2	8
9	в том	20	8
10	не будет	2	7
11	как и	6	7
12	это есть	3	7
13	в этом	9	7
14	может быть	9	7
15	с его	2	6
16	не в	13	6
17	но это	6	6
18	ни в	17	6
19	в нем	5	5
20	все это	9	5
21	в жизни	3	5
22	с ее	2	5
23	xix века	2	5
24	и к	3	5
25	в ней	7	5
26	не только	24	5
27	не менее	10	4
28	то что	15	4
29	перестает быть	2	4
30	в них	5	4
31	это не	7	4
32	и все	8	4
33	не было	3	4
34	не имеет	4	4
35	и для	4	4
36	потому что	15	4
37	по своему	6	4
38	прежде всего	11	4
39	о том	5	4
40	значит что	8	4
41	и потому	7	4
42	но и	14	3
43	не есть	12	3
44	не существует	5	3
45	в своей	4	3
46	в истории	3	3
47	жизни в	2	3
48	с другой	7	3
49	во всех	4	3
50	к преодолению	2	3
51	к тому	3	3
52	в ее	5	3
53	с тем	4	3
54	смысле слова	15	3
55	конечно не	3	3
56	как в	5	3
57	еще не	7	3
58	за пределы	2	3
59	сказать что	7	3
60	в новое	3	3
61	это было	2	3
62	времени и	4	2
63	и весь	3	2
64	все время	2	2
65	себя в	2	2
66	вместе с	5	2
67	но она	3	2
68	все они	3	2
69	так и	10	2
70	что она	4	2
71	для этого	2	2
72	другой стороны	6	2
73	и от	6	2
74	а в	4	2
75	и начала	2	2
76	этом смысле	3	2
77	все эти	16	2
78	уже не	5	2
79	нет и	2	2
80	того чтобы	2	2
81	и даже	9	2
82	на путях	2	2
83	хотя бы	7	2
84	но не	5	2
85	ни к	2	2
86	так же	5	2
87	это и	4	2
88	время как	2	2
89	мы не	7	2
90	том что	12	2
91	все категории	2	2
92	в смысле	5	2
93	можно было	4	2
94	есть в	7	2
95	можно назвать	2	2
96	и с	7	2
97	и что	2	2
98	с этим	4	2
99	и на	3	2
100	не к	2	2
101	в себе	12	2
102	в то	4	2
103	как будто	11	2
104	самой жизни	3	2
105	и это	2	2
106	такого рода	7	2
107	ни одна	2	2
108	когда мы	5	2
109	том чтобы	2	2
110	как это	3	2
111	не могли	2	2
112	хотя и	5	2
113	но в	8	2
