N	2gram	Medvedev_F_3	Stilisti
1	и в	27	42
2	как бы	8	27
3	не только	9	27
4	прежде всего	4	22
5	внутренней речи	2	18
6	хотя бы	6	17
7	но и	10	15
8	то же	15	15
9	и не	30	14
10	социального общения	9	14
11	может быть	25	12
12	не может	24	12
13	точки зрения	16	11
14	как и	14	11
15	мы уже	3	11
16	и как	4	10
17	мы должны	2	10
18	отнюдь не	8	10
19	как мы	8	10
20	в этом	18	10
21	при этом	8	9
22	в то	7	9
23	то что	8	9
24	для того	4	9
25	мы не	4	9
26	все же	6	8
27	в ней	5	8
28	слово как	3	8
29	таким образом	18	8
30	с тем	7	8
31	что же	5	8
32	в себе	3	8
33	и это	2	8
34	никогда не	5	7
35	зависимости от	5	7
36	и от	11	7
37	же время	7	7
38	и тем	3	7
39	и на	3	7
40	потому что	7	7
41	так как	9	7
42	с его	2	7
43	в зависимости	5	7
44	слов и	4	7
45	было бы	6	7
46	а не	17	7
47	того чтобы	5	7
48	и его	19	7
49	мы можем	4	7
50	только в	8	7
51	ничего не	2	7
52	или иной	2	6
53	не в	12	6
54	в этой	2	6
55	но ведь	4	6
56	в конце	3	6
57	в нем	15	6
58	во всех	3	6
59	в процессе	15	6
60	так и	21	6
61	в области	2	6
62	уже в	4	5
63	независимо от	5	5
64	тому что	3	5
65	и следовательно	3	5
66	и является	4	5
67	не является	5	5
68	мы видели	4	5
69	и их	5	5
70	те же	3	5
71	с помощью	8	5
72	и с	3	5
73	же самое	3	5
74	как это	4	5
75	высказывания но	2	5
76	в его	7	5
77	вместе с	6	5
78	в той	3	5
79	с точки	14	5
80	той же	3	5
81	слова и	4	5
82	все время	6	4
83	что это	3	4
84	в каждом	5	4
85	что именно	5	4
86	можно сказать	3	4
87	к тому	4	4
88	связаны с	2	4
89	художественного творчества	2	4
90	общения и	2	4
91	в самом	11	4
92	все это	7	4
93	того что	3	4
94	так же	9	4
95	и выбор	3	4
96	о том	4	4
97	его в	7	4
98	бы в	6	4
99	но в	6	4
100	если бы	12	4
101	внутренняя речь	2	4
102	у нас	3	4
103	ту или	2	4
104	мы увидим	2	4
105	так называемые	2	4
106	если мы	7	4
107	уже не	3	4
108	самом деле	16	4
109	и пр	15	4
110	тем же	7	4
111	в слове	4	4
112	так сказать	5	4
113	или иное	2	3
114	его и	3	3
115	это не	3	3
116	главным образом	2	3
117	содержание и	2	3
118	как таковой	3	3
119	для нас	3	3
120	в конструкции	3	3
121	и эта	3	3
122	но для	2	3
123	в котором	2	3
124	в целом	4	3
125	из них	2	3
126	жизни и	4	3
127	высказывания как	3	3
128	от того	2	3
129	лишь в	9	3
130	и даже	2	3
131	нуждается в	3	3
132	их в	3	3
133	сказать что	3	3
134	необходимо чтобы	2	3
135	свое выражение	2	3
136	в виду	3	3
137	видели что	2	3
138	вследствие этого	3	3
139	то он	3	3
140	всякое высказывание	3	3
141	и все	8	3
142	но при	2	3
143	социальной группы	2	3
144	этого слова	2	3
145	в ее	4	3
146	том что	4	3
147	социальной жизни	4	3
148	еще не	6	3
149	в данной	2	3
150	конечно не	4	3
151	высказывание как	5	3
152	мы ни	2	3
153	нет и	3	3
154	что и	2	3
155	отношения к	2	3
156	да и	4	3
157	только на	4	3
158	слова как	2	3
159	связь между	4	3
160	на самом	14	3
161	между ними	15	3
162	и для	6	3
163	то или	2	3
164	высказывания и	5	3
165	роль в	4	3
166	конце концов	2	3
167	то мы	3	3
168	связи с	5	3
169	может стать	3	3
170	место в	10	2
171	бы и	3	2
172	друг другу	2	2
173	в какой	3	2
174	человека и	2	2
175	человека в	2	2
176	литературное произведение	3	2
177	в том	7	2
178	но это	2	2
179	очевидно что	2	2
180	до конца	4	2
181	в пределах	8	2
182	в него	3	2
183	в этих	3	2
184	в нас	2	2
185	в связи	4	2
186	и содержание	2	2
187	в отношении	2	2
188	этом отношении	3	2
189	все эти	6	2
190	но эта	2	2
191	ведь если	2	2
192	оценок и	2	2
193	и те	4	2
194	в которых	3	2
195	в своих	6	2
196	не останется	2	2
197	к которому	2	2
198	в жизни	11	2
199	в основе	3	2
200	для них	7	2
201	смысле этого	2	2
202	однако в	2	2
203	между собой	4	2
204	к этому	2	2
205	высказывания его	2	2
206	ясно что	3	2
207	что он	6	2
208	быть понято	4	2
209	в идеологическом	5	2
210	а к	2	2
211	но не	5	2
212	а на	2	2
213	равно как	3	2
214	связано с	2	2
215	одной из	2	2
216	материалом и	2	2
217	вошел в	2	2
218	и потому	5	2
219	не есть	4	2
220	войти в	5	2
221	как не	2	2
222	в своей	6	2
223	этот процесс	3	2
224	в кругозор	2	2
225	как в	4	2
226	здесь не	2	2
227	бы не	2	2
228	в точном	2	2
229	жанр и	2	2
230	одной и	2	2
231	допустим что	2	2
232	в дальнейшем	5	2
233	у них	2	2
234	в языке	2	2
235	тем что	5	2
236	в каком	2	2
237	одни и	3	2
