N	2gram	Vinokur_St_1	VLabPisa
1	таким образом	7	27
2	в этом	21	26
3	и в	44	25
4	и т	30	24
5	не только	18	22
6	может быть	15	21
7	хотя бы	6	20
8	и не	16	19
9	т е	15	17
10	не может	8	17
11	в его	9	15
12	т д	21	15
13	прежде всего	7	13
14	в том	36	13
15	этом отношении	7	13
16	в частности	4	12
17	все это	5	12
18	как это	4	12
19	с другой	9	11
20	из них	8	11
21	представляет собою	2	10
22	в качестве	4	10
23	о том	17	10
24	по этому	3	9
25	об этом	3	9
26	что в	30	9
27	для него	6	9
28	но и	10	9
29	то же	5	9
30	т п	9	9
31	по словам	4	8
32	все эти	5	8
33	в своем	2	8
34	другой стороны	7	8
35	могут быть	5	8
36	ни один	2	8
37	произведения в	2	7
38	из этих	6	7
39	как и	9	7
40	том что	29	7
41	было бы	17	7
42	говорит о	3	7
43	отношению к	3	7
44	во всех	8	7
45	по отношению	3	7
46	этому поводу	2	7
47	не было	4	7
48	а не	16	7
49	у него	2	6
50	это не	8	6
51	в себе	2	6
52	это и	4	6
53	то что	18	6
54	в нем	5	6
55	так и	9	6
56	бы и	4	6
57	и его	8	6
58	их в	2	6
59	между тем	3	6
60	в то	9	6
61	в результате	3	5
62	тому что	3	5
63	же время	4	5
64	все же	8	5
65	как бы	4	5
66	сказать что	7	5
67	только в	10	5
68	не в	12	5
69	не является	3	5
70	никогда не	5	4
71	в целом	5	4
72	что все	2	4
73	что он	10	4
74	в ее	4	4
75	в своей	6	4
76	в самом	7	4
77	даже в	3	4
78	должен быть	3	4
79	как раз	4	4
80	в статье	7	4
81	в этой	11	4
82	во время	3	3
83	всех этих	2	3
84	даже и	2	3
85	в конце	3	3
86	п в	3	3
87	у нас	11	3
88	по существу	2	3
89	что они	7	3
90	говорит в	2	3
91	как о	2	3
92	по поводу	7	3
93	с этим	3	3
94	что не	3	3
95	например в	8	3
96	в котором	5	3
97	его в	2	3
98	что и	6	3
99	жизни и	5	3
100	и их	2	3
101	именно в	6	3
102	этот вопрос	4	3
103	этой области	5	3
104	того что	9	3
105	и по	5	3
106	так же	5	3
107	в слове	5	3
108	в которых	5	3
109	точки зрения	11	3
110	она не	2	3
111	является не	4	3
112	том как	4	3
113	не менее	5	2
114	на вопрос	4	2
115	том числе	2	2
116	что ни	2	2
117	в каждом	3	2
118	я бы	2	2
119	никаких оснований	2	2
120	можно ли	4	2
121	пушкину и	2	2
122	целого ряда	2	2
123	по крайней	2	2
124	к сожалению	3	2
125	у пушкина	8	2
126	не всегда	2	2
127	вовсе не	19	2
128	а как	2	2
129	нет никаких	2	2
130	что при	2	2
131	крайней мере	2	2
132	ли не	2	2
133	до сих	7	2
134	и потому	2	2
135	но не	3	2
136	чуть ли	2	2
137	но для	2	2
138	том отношении	4	2
139	числе и	2	2
140	так например	7	2
141	в пользу	2	2
142	еще не	3	2
143	одной стороны	2	2
144	для того	10	2
145	отношении что	2	2
146	то это	3	2
147	если бы	9	2
148	мы имеем	2	2
149	подчеркнуть что	2	2
150	в представлении	2	2
151	ни с	3	2
152	в ней	3	2
153	что она	4	2
154	и даже	5	2
155	всяком случае	6	2
156	на эти	7	2
157	если в	2	2
158	ни одного	2	2
159	что для	3	2
160	при помощи	2	2
161	не по	3	2
162	сих пор	7	2
163	между прочим	2	2
164	может не	2	2
165	даже не	4	2
166	бы не	2	2
167	а в	17	2
168	начиная с	2	2
169	еще и	2	2
170	с одной	3	2
171	что оно	3	2
172	несколько примеров	5	2
173	но с	3	2
174	заключается в	4	2
175	того чтобы	11	2
176	должны быть	3	2
177	и для	3	2
178	по его	2	2
179	другом месте	2	2
180	эти вопросы	3	2
181	отметить что	2	2
182	можно было	13	2
183	в своих	2	2
184	также и	9	2
185	во всяком	6	2
186	лишь в	3	2
187	он не	2	2
188	говорить о	2	2
189	в другом	3	2
190	что мы	5	2
191	стороны в	2	2
192	того или	4	2
193	будто бы	3	2
194	которые в	2	2
195	в чем	3	2
196	в которой	4	2
197	в области	14	2
198	говорит об	2	2
199	же как	3	2
200	могло бы	2	2
201	нет ни	2	2
202	в сознании	2	2
203	но в	10	2
204	значит что	3	2
205	что нет	2	2
