N	2gram	Berdyaev_M_1	Psycholo
1	в том	6	37
2	и в	28	32
3	и что	2	22
4	том что	3	21
5	то что	5	21
6	потому что	16	21
7	то есть	3	21
8	что в	10	20
9	может быть	30	18
10	что и	4	17
11	не может	28	17
12	точки зрения	4	17
13	того чтобы	2	14
14	что он	10	13
15	для того	2	13
16	в этом	20	13
17	в самом	11	12
18	не только	29	12
19	так как	3	12
20	с тем	9	11
21	было бы	10	11
22	в основе	2	11
23	как и	5	10
24	когда он	3	10
25	но и	25	10
26	и не	11	10
27	никогда не	14	9
28	как в	2	9
29	тем что	4	9
30	не в	16	8
31	того что	7	8
32	к тому	3	7
33	и как	2	7
34	а не	25	7
35	все эти	2	7
36	и его	9	7
37	сказать что	2	7
38	как будто	2	7
39	только в	6	7
40	в этой	6	6
41	и мы	2	6
42	он не	24	6
43	как бы	2	6
44	о том	2	6
45	если бы	2	6
46	в ней	15	5
47	до сих	2	5
48	сих пор	2	5
49	все это	6	5
50	есть только	2	5
51	и на	6	5
52	в то	2	5
53	с этой	4	4
54	в жизни	3	4
55	есть не	4	4
56	и когда	2	4
57	и по	4	4
58	в нем	13	4
59	все же	2	4
60	жизни и	2	4
61	а в	4	4
62	и все	10	4
63	мы видим	2	4
64	не имеет	3	4
65	и для	2	4
66	и те	2	4
67	и с	3	4
68	могут быть	2	4
69	с этим	3	4
70	и это	12	4
71	в творчестве	10	4
72	ничего не	3	4
73	по своему	2	3
74	не могут	5	3
75	но он	9	3
76	хотя бы	3	3
77	не как	4	3
78	в конце	7	3
79	и к	2	3
80	это значит	3	3
81	до конца	14	3
82	в свою	2	3
83	в своей	15	3
84	конце концов	2	3
85	относится к	2	3
86	один из	4	3
87	не к	4	3
88	и их	3	3
89	бы и	3	3
90	в их	4	3
91	на этом	3	3
92	и вот	3	3
93	время как	2	3
94	и он	12	3
95	то время	2	3
96	он в	2	3
97	в каком	2	3
98	в которых	4	3
99	отношении к	2	3
100	но в	7	3
101	значит что	4	3
102	в виду	2	3
103	не существует	2	2
104	из самых	8	2
105	место в	2	2
106	и этот	4	2
107	с его	3	2
108	в них	4	2
109	все что	2	2
110	это не	5	2
111	и от	2	2
112	интерес к	3	2
113	до самой	4	2
114	но не	8	2
115	по сравнению	2	2
116	она не	4	2
117	должен был	4	2
118	душевной жизни	2	2
119	к нему	7	2
120	в его	9	2
121	в него	3	2
122	в ее	3	2
123	его с	2	2
124	не так	3	2
125	как он	2	2
126	в этих	4	2
127	отношение к	4	2
128	для нас	3	2
129	на том	3	2
130	вместе с	6	2
131	отличается от	2	2
132	не остается	2	2
133	заключает в	3	2
134	себе и	2	2
135	бы не	2	2
136	не было	18	2
137	у всех	2	2
138	в самой	7	2
139	что без	2	2
140	и у	2	2
141	на этот	2	2
142	увидим что	4	2
143	это очень	3	2
144	также и	2	2
145	и загадки	2	2
146	начинает с	2	2
147	в себе	7	2
148	с того	2	2
149	в свете	3	2
150	не значит	2	2
151	когда мы	2	2
152	в которой	6	2
153	всю жизнь	4	2
