N	2gram	Vygotskiy__1	Vladivir
1	и в	23	30
2	то что	17	20
3	в этом	17	20
4	в том	24	18
5	и не	9	18
6	и с	9	14
7	что он	7	13
8	в конце	2	13
9	том что	21	12
10	что в	14	12
11	не только	16	12
12	в его	14	11
13	а в	2	11
14	как мы	5	11
15	сказать что	11	11
16	и даже	2	10
17	не в	4	9
18	для него	2	9
19	было бы	4	9
20	все же	3	9
21	потому что	6	9
22	не может	12	9
23	в то	7	9
24	связи с	3	8
25	в своем	3	8
26	вместе с	9	8
27	но и	14	8
28	но в	5	8
29	никогда не	2	7
30	точки зрения	26	7
31	и все	5	7
32	ни в	4	7
33	может быть	14	7
34	а не	3	7
35	как это	2	7
36	хотя и	2	6
37	к этому	4	6
38	прежде всего	10	6
39	и к	4	6
40	об этом	3	6
41	то время	5	6
42	только в	6	6
43	всяком случае	3	6
44	во всяком	3	6
45	в себе	6	6
46	жизни и	2	6
47	и его	6	6
48	о чем	2	6
49	и то	3	5
50	и я	2	5
51	по себе	5	5
52	как и	14	5
53	при этом	4	5
54	в своей	4	5
55	как бы	11	5
56	в котором	4	5
57	для себя	4	5
58	так и	5	5
59	все это	6	5
60	с этим	6	5
61	в течение	2	5
62	и что	5	5
63	того что	15	5
64	в результате	4	5
65	все эти	4	5
66	так как	7	5
67	из этого	5	5
68	с его	4	4
69	именно в	6	4
70	с этой	6	4
71	я не	3	4
72	вовсе не	3	4
73	можно сказать	5	4
74	что его	2	4
75	в этой	7	4
76	в целом	20	4
77	и если	3	4
78	что это	3	4
79	несмотря на	2	4
80	и мы	3	4
81	он не	5	4
82	в этих	2	4
83	то же	8	4
84	и наконец	2	4
85	на этот	3	4
86	так же	16	4
87	той же	2	4
88	и на	8	4
89	мы должны	5	4
90	о том	6	4
91	в которой	3	4
92	под влиянием	2	3
93	учение о	3	3
94	уже в	3	3
95	всех этих	2	3
96	в них	2	3
97	в отношении	10	3
98	хотя бы	4	3
99	едва ли	2	3
100	из этих	3	3
101	же время	2	3
102	в свою	4	3
103	по существу	4	3
104	и как	5	3
105	тем более	5	3
106	но не	4	3
107	в данном	2	3
108	том же	2	3
109	с точки	18	3
110	во всех	3	3
111	как в	4	3
112	отношения к	3	3
113	таким образом	26	3
114	и вот	2	3
115	уже не	2	3
116	должно быть	2	3
117	наконец в	2	3
118	не столько	4	3
119	в виде	2	3
120	его на	2	3
121	и это	3	3
122	дело в	2	3
123	в области	3	3
124	учения о	6	3
125	не могли	2	3
126	в самых	3	2
127	с тем	7	2
128	первый план	2	2
129	больше того	2	2
130	является как	2	2
131	и от	3	2
132	если не	3	2
133	тогда когда	3	2
134	на все	3	2
135	мы видели	2	2
136	к тому	4	2
137	на первый	2	2
138	в общем	3	2
139	только тогда	2	2
140	свою очередь	3	2
141	на этом	2	2
142	но тем	2	2
143	она не	3	2
144	также еще	2	2
145	себе и	2	2
146	в самом	7	2
147	в сущности	6	2
148	не могу	3	2
149	в частности	2	2
150	том чтобы	3	2
151	на то	5	2
152	и потому	2	2
153	для того	15	2
154	время как	4	2
155	даже в	2	2
156	не имеет	2	2
157	можно назвать	2	2
158	с ней	2	2
159	и до	2	2
160	ее на	4	2
161	данном случае	2	2
162	в их	3	2
163	того как	2	2
164	начиная с	2	2
165	но все	2	2
166	в двух	2	2
167	в теории	4	2
168	мы находим	3	2
169	заключается в	8	2
170	того чтобы	17	2
171	в чем	4	2
172	те кто	2	2
173	к этим	2	2
174	его не	3	2
175	что для	5	2
176	можно было	3	2
177	приходит к	3	2
178	в своих	5	2
179	мысли и	6	2
180	их в	4	2
181	и при	2	2
182	еще на	3	2
183	сам по	3	2
184	к его	2	2
185	прибавить еще	2	2
186	что если	2	2
187	что эти	2	2
188	как он	3	2
189	к середине	2	2
190	ничего не	3	2
191	и представить	2	2
192	мы не	7	2
193	в новом	3	2
