N	2gram	Vinokur_St_3	Myslijsy
1	то есть	2	34
2	потому что	5	33
3	то что	12	29
4	может быть	19	26
5	таким образом	10	24
6	в том	20	23
7	и в	25	23
8	в этом	24	23
9	и не	10	18
10	что в	19	17
11	в языке	8	16
12	только в	6	15
13	как и	4	14
14	то же	5	14
15	того что	5	14
16	так как	3	14
17	если бы	4	13
18	том что	15	12
19	не было	4	12
20	а не	5	12
21	что я	3	11
22	но и	9	11
23	не в	6	11
24	не может	7	11
25	что мы	3	10
26	не только	12	10
27	тем что	19	10
28	между тем	6	9
29	было бы	7	8
30	тогда когда	2	8
31	мы не	2	8
32	сказать что	4	8
33	о том	8	8
34	но в	5	8
35	с тем	4	7
36	что это	16	7
37	это не	7	7
38	на то	5	7
39	и что	3	7
40	вовсе не	2	7
41	и т	8	7
42	могут быть	2	7
43	как в	6	7
44	с этим	7	7
45	что такое	7	7
46	этого слова	2	7
47	что если	2	6
48	независимо от	5	6
49	и к	4	6
50	для того	2	6
51	вместе с	2	6
52	что не	2	6
53	известно что	2	6
54	заметить что	2	6
55	в которой	4	6
56	так и	5	6
57	уже в	3	5
58	по крайней	4	5
59	только тогда	2	5
60	так что	11	5
61	для него	3	5
62	в его	12	5
63	как бы	6	5
64	к нему	4	5
65	крайней мере	4	5
66	все это	8	5
67	не менее	2	5
68	внимание на	2	5
69	а в	6	5
70	во всяком	4	5
71	тем более	3	5
72	говорить о	3	5
73	есть в	2	5
74	так сказать	2	5
75	не имеет	2	5
76	на вопрос	3	4
77	и более	3	4
78	каждый раз	2	4
79	что все	3	4
80	что он	19	4
81	тем не	2	4
82	до сих	2	4
83	на котором	2	4
84	можно сказать	4	4
85	и может	2	4
86	но есть	2	4
87	от того	2	4
88	в котором	5	4
89	и тем	4	4
90	сих пор	2	4
91	то и	2	4
92	слово в	2	4
93	между собою	2	4
94	точки зрения	7	4
95	в каком	4	4
96	т п	6	4
97	в то	7	4
98	мы имеем	5	4
99	и с	4	4
100	это слово	3	4
101	при помощи	2	3
102	все более	2	3
103	никогда не	2	3
104	связи с	3	3
105	в этих	11	3
106	в них	5	3
107	нельзя сказать	3	3
108	в смысле	4	3
109	формы в	2	3
110	но это	4	3
111	же время	3	3
112	кроме того	3	3
113	еще не	2	3
114	быть назван	2	3
115	и если	3	3
116	к тому	2	3
117	например в	4	3
118	к слову	2	3
119	на его	4	3
120	в самом	2	3
121	между прочим	3	3
122	в виду	2	3
123	всяком случае	4	3
124	на себе	2	3
125	в каждом	4	3
126	со стороны	3	3
127	только что	2	3
128	и только	2	3
129	т д	2	3
130	той же	2	3
131	все эти	3	3
132	и других	2	3
133	что у	2	3
134	уже не	3	3
135	лишь в	4	3
136	самом деле	2	3
137	в речи	4	3
138	и по	2	3
139	и на	6	3
140	это есть	4	3
141	в которых	2	3
142	то в	4	3
143	в поэзии	2	3
144	с точки	4	3
145	что эти	4	3
146	на нее	2	3
147	и тот	2	3
148	во время	3	2
149	самого начала	2	2
150	состоит в	4	2
151	тому что	3	2
152	по тому	2	2
153	с другой	5	2
154	то он	2	2
155	не как	2	2
156	из этих	6	2
157	а как	4	2
158	отношение к	4	2
159	и здесь	3	2
160	у нас	4	2
161	такое же	2	2
162	из этого	4	2
163	несколько слов	2	2
164	об этом	5	2
165	более и	2	2
166	отношения между	5	2
167	в свою	2	2
168	что по	3	2
169	в это	2	2
170	в сущности	2	2
171	с которым	3	2
172	в ней	4	2
173	он не	5	2
174	и др	4	2
175	один из	2	2
176	и это	5	2
177	можно назвать	4	2
178	в общих	2	2
179	этот образ	2	2
180	мы видим	4	2
181	быть не	2	2
182	и для	4	2
183	выражения как	2	2
184	в течение	4	2
185	дело не	2	2
186	что его	2	2
187	как мы	2	2
188	из которых	4	2
189	и у	2	2
190	не так	3	2
191	и его	3	2
192	во многих	2	2
193	в своих	8	2
194	тем как	2	2
195	в отдельных	4	2
196	в виде	3	2
197	к ней	4	2
198	том смысле	2	2
199	его к	2	2
200	в области	6	2
201	если и	2	2
202	это было	8	2
