N	2gram	Voloshinov_1	EvropaiC
1	таким образом	7	32
2	в том	2	31
3	и в	38	24
4	том что	3	20
5	все эти	2	19
6	не может	12	18
7	то что	8	17
8	может быть	13	15
9	все же	7	15
10	точки зрения	10	13
11	сих пор	2	12
12	самом деле	4	12
13	в этом	10	12
14	все это	4	11
15	между тем	3	11
16	с этим	2	11
17	как бы	28	10
18	во всех	6	10
19	так и	6	10
20	при этом	9	9
21	как и	10	9
22	не в	6	8
23	в самом	4	8
24	так же	4	8
25	если бы	4	8
26	и все	4	8
27	ясно что	2	8
28	мы говорили	2	8
29	с точки	5	8
30	к тому	4	7
31	но и	13	7
32	и не	14	7
33	по своей	2	7
34	о том	4	7
35	что он	2	7
36	на самом	3	7
37	того чтобы	7	7
38	для того	9	7
39	в этой	6	6
40	несмотря на	2	6
41	того что	4	6
42	и на	6	6
43	так как	7	6
44	с ним	2	6
45	в сознании	3	6
46	и при	2	6
47	еще не	3	6
48	что и	3	6
49	в мире	2	6
50	у них	2	6
51	мы можем	7	6
52	только в	6	6
53	вместе с	5	6
54	что это	4	5
55	и без	4	5
56	и от	7	5
57	тому же	2	5
58	в целом	4	5
59	и их	5	5
60	и с	5	5
61	потому что	5	5
62	его в	4	5
63	но в	5	5
64	к этому	2	5
65	и к	4	5
66	в то	9	5
67	по своему	3	5
68	в его	6	5
69	не только	27	5
70	не будет	3	5
71	и для	3	5
72	но все	4	5
73	между двумя	2	5
74	лишь в	4	5
75	в себе	9	5
76	в которой	7	5
77	никогда не	7	4
78	та же	3	4
79	в конце	6	4
80	этом случае	3	4
81	в дальнейшем	2	4
82	хотя и	3	4
83	отношение к	2	4
84	из них	3	4
85	не так	3	4
86	должно быть	2	4
87	и то	3	4
88	между собой	2	4
89	связи с	3	4
90	ни один	2	4
91	социальной жизни	2	4
92	мы должны	10	4
93	мы уже	10	4
94	он не	2	4
95	конце концов	3	4
96	совершенно не	3	4
97	то же	14	4
98	а с	5	4
99	если мы	4	4
100	из которых	3	4
101	хотя бы	18	4
102	и т.д	21	4
103	в области	5	4
104	мы будем	6	3
105	но даже	2	3
106	в нашем	5	3
107	в этих	2	3
108	вопрос о	2	3
109	в тех	3	3
110	для нас	3	3
111	очевидно что	2	3
112	за ними	2	3
113	в нем	4	3
114	от того	3	3
115	целый ряд	3	3
116	в разных	3	3
117	что оно	3	3
118	и наконец	5	3
119	а в	5	3
120	это не	3	3
121	каждый из	2	3
122	в начале	3	3
123	что мы	11	3
124	и потому	2	3
125	бы в	5	3
126	с тем	8	3
127	прежде всего	21	3
128	в жизни	2	3
129	у нас	4	3
130	тот же	2	3
131	конечно не	3	3
132	случаях когда	2	3
133	в связи	2	3
134	и вообще	2	3
135	и это	7	3
136	свою очередь	4	2
137	независимо от	5	2
138	в частности	3	2
139	тому что	5	2
140	точку зрения	3	2
141	что у	3	2
142	что эти	2	2
143	вследствие этого	2	2
144	как мы	9	2
145	следует искать	2	2
146	для него	3	2
147	же время	7	2
148	в свою	6	2
149	и сам	2	2
150	к нему	2	2
151	но для	3	2
152	в ней	8	2
153	в виду	3	2
154	в котором	3	2
155	и уже	3	2
156	мы видели	5	2
157	другими словами	7	2
158	этот процесс	2	2
159	заключает в	4	2
160	те же	4	2
161	и тому	3	2
162	в которых	2	2
163	и так	6	2
164	которые носят	2	2
165	но как	2	2
166	не было	2	2
167	все то	2	2
168	также и	2	2
169	то есть	4	2
170	в основе	2	2
171	отнюдь не	10	2
172	он должен	3	2
173	гораздо более	2	2
174	должен быть	2	2
175	если он	3	2
176	представить себе	3	2
177	вовсе не	2	2
178	при условии	2	2
179	только тогда	2	2
180	а к	2	2
181	ответить на	2	2
182	но не	2	2
183	было бы	7	2
184	жизни и	3	2
185	как не	2	2
186	в процессе	6	2
187	будет иметь	2	2
188	на него	4	2
189	что же	8	2
190	одной и	2	2
191	тем самым	7	2
192	между ними	3	2
193	которой мы	4	2
194	этот вопрос	2	2
195	не знает	3	2
196	общества и	3	2
197	этого слова	3	2
198	и поэтому	3	2
