N	2gram	Berdyaev_V_1	slovoVRo
1	и в	16	39
2	и т	2	35
3	не только	2	24
4	и не	20	22
5	но и	5	21
6	в нем	4	19
7	все это	5	16
8	в этом	4	16
9	так и	4	15
10	а не	7	14
11	во всех	3	12
12	в истории	8	11
13	не в	3	9
14	прежде всего	2	8
15	оно не	3	8
16	с его	3	7
17	для него	2	7
18	еще не	8	7
19	в его	4	7
20	как бы	5	7
21	никогда не	3	7
22	в этих	3	7
23	и потому	7	7
24	могут быть	2	7
25	с ним	2	7
26	в них	3	6
27	как и	4	6
28	но не	2	6
29	жизни и	3	6
30	все эти	3	6
31	но в	3	6
32	не могут	2	5
33	это не	2	5
34	и для	3	5
35	и все	4	5
36	для нас	2	5
37	том что	2	5
38	только в	2	5
39	в том	3	5
40	один из	2	5
41	уже не	2	5
42	от него	2	5
43	конечно не	2	5
44	ни в	3	4
45	одна из	2	4
46	его не	2	4
47	а в	2	4
48	так как	9	4
49	что в	3	3
50	хотя бы	3	3
51	человека и	6	3
52	должна быть	3	3
53	не с	2	3
54	что и	3	3
55	но это	3	3
56	в ней	4	3
57	бы и	3	3
58	лишь в	3	3
59	между тем	2	3
60	говорить о	4	3
61	в чем	3	3
62	во всяком	2	3
63	не было	3	2
64	хотя и	5	2
65	его и	2	2
66	что он	4	2
67	все что	4	2
68	но мы	2	2
69	то что	9	2
70	в форме	2	2
71	т д	2	2
72	в себя	2	2
73	мы не	2	2
74	того чтобы	2	2
75	людей и	2	2
76	в прошлом	2	2
