N	3gram	Voloshinov_1	Formalny
1	с точки зрения	10	14
2	не может быть	3	14
3	на самом деле	2	12
4	то же время	5	7
5	в то же	5	7
6	во всяком случае	3	6
7	в зависимости от	2	5
8	в данном случае	3	4
9	в самом деле	5	4
10	в большинстве случаев	4	4
11	в этом отношении	2	3
12	в том что	4	3
13	по отношению к	9	3
14	мы увидим что	4	2
15	то или иное	2	2
16	так и в	2	2
17	тем не менее	2	2
18	в следующей главе	3	2
19	как мы видели	4	2
20	и не нуждается	2	2
21	в высшей степени	2	2
22	только то что	2	2
23	мы уже знаем	2	2
