N	2gram	Tiupa_Teor_1	Dialekti
1	и не	13	27
2	а не	9	26
3	точки зрения	9	25
4	и в	18	24
5	не только	16	23
6	не может	4	19
7	и что	3	15
8	то что	3	14
9	с точки	3	14
10	может быть	17	13
11	таким образом	3	13
12	и даже	2	13
13	вовсе не	3	13
14	того что	4	12
15	не менее	4	11
16	тем не	3	10
17	отнюдь не	3	10
18	только не	2	10
19	ни в	2	9
20	но и	9	9
21	что она	2	9
22	прежде всего	2	8
23	и как	2	8
24	отличается от	2	8
25	том что	9	8
26	в этом	8	8
27	что в	9	7
28	никогда не	4	7
29	в самом	4	7
30	потому что	3	7
31	в виду	5	7
32	как и	4	7
33	как раз	2	7
34	– не	4	7
35	я не	2	6
36	и –	3	6
37	все это	2	6
38	если бы	3	6
39	превращается в	2	6
40	– в	15	6
41	об этом	2	6
42	что и	2	6
43	– это	18	6
44	не на	2	6
45	то же	7	6
46	но –	2	5
47	в том	16	5
48	хотя и	3	5
49	и его	8	5
50	в то	6	5
51	как это	8	5
52	в них	2	5
53	и к	3	5
54	он не	3	5
55	так и	10	5
56	уже не	4	5
57	и притом	2	5
58	личности и	4	5
59	только в	6	5
60	тому что	2	4
61	с другой	7	4
62	это не	2	4
63	не могут	2	4
64	или иной	4	4
65	к тому	2	4
66	от себя	3	4
67	и больше	2	4
68	так же	2	4
69	сказать что	3	4
70	у нас	2	4
71	субъекта и	2	4
72	говорить о	3	4
73	– и	2	4
74	и мира	2	4
75	и то	2	4
76	и это	2	4
77	для него	2	4
78	перед нами	2	3
79	за пределы	2	3
80	в своем	4	3
81	была бы	3	3
82	не в	7	3
83	есть в	2	3
84	особого рода	2	3
85	же время	5	3
86	одной стороны	2	3
87	случае не	2	3
88	в основе	3	3
89	в нем	4	3
90	это было	2	3
91	– как	2	3
92	с одной	2	3
93	все эти	2	3
94	того или	3	3
95	коем случае	2	3
96	ни к	3	3
97	он должен	2	3
98	на себя	2	3
99	в коем	2	3
100	и о	4	3
101	но она	2	3
102	не будет	2	3
103	как бы	5	3
104	быть и	2	3
105	– все	3	3
106	тем самым	4	3
107	в слове	3	3
108	и ее	3	3
109	не знает	3	3
110	в частности	16	2
111	из этих	3	2
112	о себе	2	2
113	еще не	4	2
114	при этом	12	2
115	и является	2	2
116	не вполне	2	2
117	так или	4	2
118	субъект и	2	2
119	и тем	3	2
120	а именно	2	2
121	другой стороны	5	2
122	именно в	3	2
123	и вот	3	2
124	и по	2	2
125	а в	13	2
126	о ней	2	2
127	их в	3	2
128	и здесь	2	2
129	в первом	2	2
130	и потому	2	2
131	но в	9	2
132	я и	2	2
133	с его	5	2
134	тех или	3	2
135	нового времени	3	2
136	в их	2	2
137	личности в	3	2
138	или иного	3	2
139	что можно	3	2
140	то в	2	2
141	но не	9	2
142	от своего	2	2
143	никто не	2	2
144	со стороны	2	2
145	себя в	6	2
146	ее в	2	2
147	так в	4	2
148	и для	2	2
149	или в	3	2
150	или иначе	5	2
151	тот или	2	2
152	в данном	8	2
153	могут быть	4	2
154	в себе	9	2
155	в его	6	2
