N	2gram	Bakhtin_sl_2	Narrotol
1	не только	24	32
2	может быть	37	25
3	но и	21	23
4	и не	22	20
5	и в	39	19
6	то есть	26	19
7	в том	5	18
8	в этом	16	17
9	том что	5	14
10	не в	9	14
11	а не	14	12
12	то что	2	11
13	а в	4	11
14	не может	20	10
15	точки зрения	8	10
16	при этом	7	9
17	так и	15	9
18	в его	7	9
19	с другой	5	8
20	героя в	3	8
21	и т.п	2	8
22	в себе	2	8
23	как и	6	7
24	еще не	7	7
25	а также	3	7
26	все же	6	7
27	как в	13	7
28	по отношению	4	7
29	с одной	5	7
30	одной стороны	5	7
31	с его	7	6
32	что он	2	6
33	отношению к	4	6
34	но не	6	6
35	точка зрения	2	6
36	именно в	2	6
37	в себя	2	6
38	в той	4	6
39	как это	3	6
40	на протяжении	2	6
41	о том	2	6
42	но в	6	6
43	и как	3	5
44	нуждается в	2	5
45	по себе	5	5
46	или иной	5	5
47	себя в	8	5
48	не все	2	5
49	в форме	2	5
50	уже не	5	5
51	к нему	3	5
52	и его	33	5
53	в данном	2	5
54	в основе	4	5
55	в отличие	12	5
56	отличие от	13	5
57	далеко не	2	5
58	перед нами	3	4
59	точку зрения	3	4
60	прежде всего	8	4
61	в нем	19	4
62	у него	3	4
63	то же	4	4
64	но все	5	4
65	в противовес	2	4
66	же время	4	4
67	связи с	3	4
68	той или	5	4
69	как бы	7	4
70	о нем	2	4
71	хотя бы	3	4
72	отличается от	2	4
73	в особенности	3	4
74	те же	2	4
75	не столько	3	4
76	сказать что	3	4
77	только в	5	4
78	героя и	5	4
79	здесь не	4	4
80	и с	9	4
81	не менее	4	3
82	жизни в	2	3
83	что в	3	3
84	могут быть	7	3
85	никогда не	7	3
86	двуголосого слова	4	3
87	уже в	2	3
88	в прошлом	2	3
89	в свою	3	3
90	ни в	4	3
91	это и	2	3
92	может не	2	3
93	одна из	4	3
94	свою очередь	2	3
95	в сущности	6	3
96	хотя и	2	3
97	в ней	3	3
98	он не	2	3
99	и даже	7	3
100	один из	5	3
101	не с	3	3
102	с ее	2	3
103	жизни и	6	3
104	на него	2	3
105	а именно	2	3
106	особенно в	2	3
107	этом отношении	3	3
108	как мы	7	3
109	и на	4	3
110	между тем	3	3
111	в то	4	3
112	дело с	4	2
113	включает в	2	2
114	независимо от	2	2
115	должна быть	3	2
116	говорит и	2	2
117	себя и	4	2
118	в своем	6	2
119	или даже	3	2
120	оно не	8	2
121	она может	2	2
122	не всегда	2	2
123	в собственном	3	2
124	точек зрения	3	2
125	его как	2	2
126	только о	2	2
127	более или	2	2
128	всех его	3	2
129	в значительной	6	2
130	для него	7	2
131	языка и	9	2
132	в пределах	13	2
133	она не	6	2
134	например в	5	2
135	значительной степени	6	2
136	наконец в	4	2
137	и потому	7	2
138	и др	4	2
139	даже в	2	2
140	зрения и	2	2
141	или менее	2	2
142	в чужой	2	2
143	которого он	2	2
144	отношение к	4	2
145	как к	3	2
146	в связи	2	2
147	отношения к	4	2
148	мифологическое мышление	2	2
149	не было	2	2
150	все эти	6	2
151	человека в	5	2
152	они не	2	2
153	одним из	2	2
154	и для	5	2
155	с точки	3	2
156	это не	5	2
157	роль в	2	2
158	в таком	4	2
159	или в	2	2
160	в результате	2	2
161	однако в	2	2
162	вокруг него	2	2
163	но как	2	2
164	говорить о	3	2
165	и все	5	2
166	его в	4	2
167	зрения на	2	2
168	мира и	5	2
169	оно может	2	2
