N	2gram	Potebnia_M_3	Istorich
1	и в	30	28
2	может быть	28	25
3	и т	5	25
4	т д	3	22
5	не может	6	15
6	а не	15	15
7	для нас	20	13
8	мы должны	4	13
9	что в	17	12
10	то же	23	12
11	не только	21	12
12	мы видим	2	11
13	только в	21	11
14	что он	6	10
15	все же	2	10
16	прежде всего	3	10
17	но и	19	10
18	мы не	9	10
19	и что	10	10
20	в том	32	9
21	о том	2	9
22	то что	18	9
23	и не	15	9
24	не в	15	9
25	так и	11	9
26	что это	4	8
27	не всегда	2	8
28	если бы	12	8
29	таким образом	14	8
30	в этом	10	8
31	том что	18	7
32	еще не	5	7
33	было бы	9	7
34	в ней	8	7
35	а в	12	7
36	так же	3	7
37	что мы	8	7
38	с другой	7	6
39	не менее	5	6
40	к тому	7	6
41	тем не	3	6
42	так например	2	6
43	вслед за	3	6
44	что и	13	6
45	в этой	2	6
46	его в	3	6
47	так как	13	6
48	вместе с	12	6
49	не знает	3	5
50	в одном	2	5
51	в силу	3	5
52	что они	2	5
53	более или	3	5
54	но не	7	5
55	до сих	3	5
56	например в	6	5
57	что она	3	5
58	сих пор	3	5
59	или менее	3	5
60	другой стороны	4	5
61	в своем	5	5
62	или в	3	5
63	их в	2	5
64	сказать что	5	5
65	в его	4	5
66	все это	4	4
67	с тем	7	4
68	связи с	2	4
69	там где	3	4
70	на то	2	4
71	об этом	2	4
72	так что	7	4
73	но все	2	4
74	но это	6	4
75	одной стороны	3	4
76	но оно	6	4
77	даже в	2	4
78	один из	4	4
79	на него	3	4
80	связь с	3	4
81	так в	2	4
82	с этим	6	4
83	с одной	7	4
84	как и	10	4
85	того что	18	4
86	и даже	2	4
87	и с	2	4
88	и на	3	4
89	потому что	46	4
90	могут быть	3	4
91	должны будем	3	4
92	одним словом	2	4
93	не все	4	4
94	не то	3	4
95	в какой	2	3
96	во время	2	3
97	не как	2	3
98	точно так	12	3
99	в образе	3	3
100	перед нами	2	3
101	по себе	16	3
102	показывает что	2	3
103	ему в	2	3
104	на котором	2	3
105	именно в	3	3
106	в начале	3	3
107	при этом	3	3
108	то время	4	3
109	не можем	3	3
110	что например	3	3
111	выше мы	2	3
112	у меня	2	3
113	в котором	4	3
114	или на	2	3
115	и по	4	3
116	то это	6	3
117	отношению к	5	3
118	из них	6	3
119	того как	4	3
120	в форме	2	3
121	в их	2	3
122	и тогда	3	3
123	что же	2	3
124	связь между	2	3
125	уже не	6	3
126	и его	4	3
127	как мы	7	3
128	есть только	5	3
129	по отношению	5	3
130	тем что	7	3
131	в то	10	3
132	бы быть	2	3
133	не существует	3	2
134	а с	2	2
135	не могут	5	2
136	есть еще	3	2
137	зависит от	6	2
138	по мере	4	2
139	заключить что	2	2
140	к этому	3	2
141	бы мы	2	2
142	столь же	4	2
143	то он	2	2
144	можно видеть	5	2
145	и от	4	2
146	и потому	4	2
147	была бы	4	2
148	вовсе не	7	2
149	в некотором	2	2
150	но мы	2	2
151	том чтобы	2	2
152	к своему	2	2
153	первых порах	2	2
154	видеть что	2	2
155	в ее	2	2
156	мы видели	4	2
157	и как	5	2
158	как о	2	2
159	само по	3	2
160	не дает	2	2
161	мере того	3	2
162	для него	9	2
163	и тот	2	2
164	мысль о	5	2
165	в действительности	5	2
166	и мы	2	2
167	и если	2	2
168	что не	8	2
169	одной из	2	2
170	никто не	3	2
171	что такое	2	2
172	с ним	6	2
173	когда например	2	2
174	как бы	3	2
175	воспоминание о	2	2
176	относится к	4	2
177	был бы	2	2
178	и тем	5	2
179	в нем	9	2
180	это было	3	2
181	не есть	17	2
182	в целом	3	2
183	не знаем	3	2
184	образов и	2	2
185	указывает на	6	2
186	со стороны	3	2
187	как в	10	2
188	то и	6	2
189	он не	4	2
190	в виде	2	2
191	там же	6	2
192	а только	3	2
193	на первых	2	2
194	должно быть	5	2
195	отказаться от	2	2
196	между тем	9	2
197	от этого	2	2
198	в себе	16	2
199	бы в	2	2
200	на это	4	2
201	и между	4	2
202	ответ на	3	2
203	когда мы	2	2
204	в области	2	2
205	тогда когда	9	2
206	этой мысли	2	2
207	том как	3	2
