N	2gram	Tiupa_Narr_1	NovoeSre
1	а не	13	17
2	не может	8	16
3	и в	11	16
4	и не	23	11
5	что в	3	9
6	жизни и	6	8
7	он не	3	8
8	в том	8	8
9	не будет	2	7
10	как и	13	7
11	в этом	12	7
12	может быть	15	7
13	с его	4	6
14	никогда не	4	6
15	не в	6	6
16	лишь в	3	6
17	в нем	4	5
18	в жизни	3	5
19	истории в	4	5
20	с ее	2	5
21	в ней	4	5
22	не только	31	5
23	не менее	3	4
24	то что	9	4
25	это не	3	4
26	и все	3	4
27	не было	3	4
28	не имеет	2	4
29	и для	2	4
30	потому что	5	4
31	по своему	2	4
32	прежде всего	4	4
33	о том	4	4
34	истории не	3	3
35	к жизни	2	3
36	к ее	2	3
37	но и	27	3
38	не существует	3	3
39	в своей	5	3
40	жизни в	2	3
41	с другой	2	3
42	к тому	6	3
43	в мире	4	3
44	подобно тому	3	3
45	как в	4	3
46	она не	2	3
47	еще не	4	3
48	тому как	3	3
49	сказать что	2	3
50	к ним	2	3
51	это было	2	3
52	времени в	2	2
53	жизни как	2	2
54	времени и	9	2
55	на протяжении	7	2
56	себя в	2	2
57	у него	7	2
58	вместе с	2	2
59	так и	5	2
60	и т.п	8	2
61	который в	2	2
62	другой стороны	2	2
63	и от	2	2
64	а в	13	2
65	уже не	8	2
66	роль в	2	2
67	того чтобы	4	2
68	зависит от	2	2
69	и даже	2	2
70	хотя бы	2	2
71	но не	4	2
72	мы не	3	2
73	том что	7	2
74	одна из	4	2
75	и с	3	2
76	и на	5	2
77	в себе	6	2
78	в то	4	2
79	не могла	2	2
80	как будто	3	2
81	такого рода	10	2
82	в центре	3	2
83	как это	3	2
84	но для	3	2
85	хотя и	4	2
86	более не	2	2
87	но в	7	2
