N	3gram	Trubetskoy_1	Vvedenie
1	для того чтобы	5	20
2	о том что	4	12
3	в том что	3	12
4	тем не менее	3	8
5	то же время	2	6
6	в то же	2	6
7	до сих пор	5	6
8	с течением времени	3	5
9	по крайней мере	5	4
10	с одной стороны	7	4
11	по сравнению с	2	4
12	в этом отношении	2	4
13	и в этом	2	4
14	во всяком случае	6	4
15	так или иначе	3	4
16	в том виде	2	3
17	можно сказать что	2	3
18	вместе с тем	8	3
19	но все же	4	3
20	влечет за собой	2	2
21	а так как	3	2
22	в конце концов	3	2
23	той или иной	2	2
24	с точки зрения	6	2
25	но вместе с	2	2
26	в значительной мере	2	2
27	точно так же	3	2
28	то же самое	2	2
29	в связи с	3	2
30	может быть и	2	2
