N	2gram	Bakhtin_Pr_1	NovoeSre
1	а не	5	17
2	не может	27	16
3	и в	38	16
4	и не	42	11
5	и есть	2	10
6	что в	7	9
7	он не	3	8
8	в том	8	8
9	культуры и	3	7
10	как и	7	7
11	в этом	15	7
12	может быть	26	7
13	с его	2	6
14	никогда не	5	6
15	в высшей	5	6
16	не знает	3	6
17	не в	7	6
18	высшей степени	5	6
19	лишь в	2	6
20	но это	3	6
21	ни в	11	6
22	должен быть	2	5
23	в нем	15	5
24	все это	3	5
25	и к	3	5
26	в ней	4	5
27	не только	9	5
28	не менее	4	4
29	то что	8	4
30	перестает быть	4	4
31	в них	5	4
32	это не	5	4
33	не во	2	4
34	и все	3	4
35	не было	2	4
36	всех сторон	2	4
37	не имеет	9	4
38	и для	11	4
39	должно быть	5	4
40	есть лишь	3	4
41	прежде всего	13	4
42	о том	4	4
43	со всех	2	4
44	и потому	4	4
45	но и	9	3
46	не есть	6	3
47	должна быть	4	3
48	в своей	7	3
49	в истории	2	3
50	с другой	7	3
51	во всех	11	3
52	и пр	2	3
53	в мире	3	3
54	в ее	4	3
55	в основе	5	3
56	смысле слова	2	3
57	конечно не	5	3
58	как в	4	3
59	она не	2	3
60	еще не	7	3
61	в россии	2	3
62	за пределы	12	3
63	сказать что	4	3
64	что все	2	2
65	я не	2	2
66	и весь	2	2
67	центр тяжести	2	2
68	себя в	2	2
69	место в	8	2
70	но она	2	2
71	бытия в	3	2
72	все они	5	2
73	так и	5	2
74	другой стороны	4	2
75	формы и	5	2
76	и от	3	2
77	а в	6	2
78	с одной	3	2
79	этом смысле	3	2
80	все эти	5	2
81	нет и	3	2
82	того чтобы	2	2
83	одной стороны	3	2
84	и даже	3	2
85	хотя бы	4	2
86	но не	12	2
87	ни к	2	2
88	по существу	2	2
89	том что	3	2
90	можно было	4	2
91	связаны с	2	2
92	одна из	2	2
93	и с	17	2
94	и что	2	2
95	могут быть	5	2
96	и на	3	2
97	не к	6	2
98	в себе	4	2
99	в то	4	2
100	познания и	30	2
101	и это	3	2
102	не имеют	2	2
103	к содержанию	17	2
104	ни одна	2	2
105	как это	2	2
106	и должно	3	2
107	не могли	2	2
108	хотя и	3	2
109	но в	4	2
110	помнить что	3	2
