N	2gram	Nazirov_Tv_1	Istorich
1	и т	3	27
2	и в	21	26
3	так же	3	18
4	то что	8	16
5	не только	7	15
6	что в	12	14
7	может быть	5	14
8	но и	3	12
9	что он	6	10
10	так и	2	10
11	таким образом	5	10
12	и его	6	10
13	при помощи	2	10
14	что и	2	9
15	все же	5	9
16	и не	7	9
17	так как	3	9
18	то же	13	8
19	а в	6	8
20	в этих	2	7
21	об этом	2	7
22	как и	12	7
23	в качестве	2	7
24	он не	8	7
25	как в	8	7
26	в этом	6	7
27	в дальнейшем	3	6
28	когда он	2	6
29	вместе с	2	6
30	не может	4	6
31	а не	5	6
32	потому что	5	6
33	могут быть	2	6
34	у него	7	5
35	и как	4	5
36	это не	4	5
37	точно так	2	5
38	к этому	2	5
39	это и	3	5
40	но не	3	5
41	в его	13	5
42	и у	2	5
43	уже не	3	5
44	и по	3	5
45	не в	2	5
46	и с	3	5
47	но в	7	5
48	с другой	3	4
49	вовсе не	5	4
50	а по	2	4
51	в своей	4	4
52	даже в	3	4
53	и даже	3	4
54	но он	2	4
55	о том	6	4
56	только что	2	3
57	перед нами	2	3
58	в одной	2	3
59	герой в	2	3
60	в том	7	3
61	а затем	2	3
62	том что	11	3
63	и других	3	3
64	но это	5	3
65	при этом	7	3
66	и другие	3	3
67	на его	3	3
68	как бы	17	3
69	и он	2	3
70	данном случае	2	3
71	что она	2	3
72	на земле	3	3
73	не мог	2	3
74	или в	2	3
75	на смену	2	3
76	в данном	2	3
77	связан с	3	3
78	только в	5	3
79	в русской	5	3
80	переходит в	2	3
81	человека с	2	3
82	уже в	3	2
83	не менее	6	2
84	это уже	5	2
85	никогда не	3	2
86	однако в	2	2
87	в своем	4	2
88	в лице	2	2
89	и все	6	2
90	а как	2	2
91	и тем	2	2
92	представлений о	2	2
93	тем не	2	2
94	его как	2	2
95	говорит о	3	2
96	живет в	2	2
97	так что	2	2
98	представляет собой	3	2
99	что я	3	2
100	одна из	2	2
101	говорит что	2	2
102	в частности	2	2
103	он говорит	3	2
104	хотя и	3	2
105	хотя бы	5	2
106	в нем	3	2
107	в целом	4	2
108	из них	2	2
109	на том	2	2
110	не по	3	2
111	дело не	3	2
112	на берегу	3	2
113	все это	10	2
114	никуда не	2	2
115	тут и	3	2
116	здесь мы	2	2
117	того что	3	2
118	и на	7	2
119	не случайно	4	2
120	сказать что	2	2
121	в виде	3	2
122	известно что	2	2
123	в себе	2	2
124	в этой	5	2
125	сливается с	3	2
126	собой в	2	2
127	говорит об	2	2
