N	2gram	Bakhtin_Fr_4	Poddanst
1	не только	10	17
2	и в	29	14
3	и не	16	12
4	в этом	11	10
5	то же	10	9
6	в том	7	9
7	в качестве	3	9
8	но в	12	9
9	же время	8	7
10	в то	10	7
11	только в	2	7
12	быть может	2	6
13	но и	9	6
14	в ней	3	6
15	с другой	4	5
16	и о	5	5
17	может быть	2	5
18	в котором	2	4
19	то что	4	4
20	в своем	3	4
21	не может	2	4
22	и к	2	4
23	том что	3	4
24	тех кто	2	4
25	а также	2	4
26	как бы	8	4
27	в нем	5	3
28	это не	5	3
29	с одной	2	3
30	прежде всего	8	3
31	для того	3	3
32	с точки	2	3
33	и как	3	3
34	с ними	3	3
35	но не	2	3
36	точки зрения	4	3
37	в себе	3	3
38	тот же	3	3
39	одной стороны	2	3
40	хотя и	2	3
41	том числе	3	2
42	так называемые	2	2
43	начала и	3	2
44	именно в	2	2
45	и есть	4	2
46	в частности	3	2
47	со стороны	2	2
48	в них	7	2
49	все это	4	2
50	как раз	2	2
51	не столько	2	2
52	в жизни	2	2
53	между прочим	2	2
54	и других	3	2
55	и вот	3	2
56	было в	2	2
57	и мучеников	2	2
58	того что	3	2
59	в ее	3	2
60	как на	2	2
61	если в	2	2
62	есть в	2	2
63	из них	6	2
64	и мы	2	2
65	и это	2	2
66	церкви и	3	2
67	да и	2	2
68	в эту	3	2
69	что из	2	2
70	в его	8	2
71	и с	9	2
