N	3gram	Tiupa_Anal_2	TeoriaLi
1	по отношению к	4	8
2	в отличие от	2	7
3	кадров внутреннего зрения	7	7
4	то же время	2	6
5	в то же	2	6
6	в том что	6	6
7	так и не	4	5
8	в данном случае	5	5
9	присутствия в мире	2	5
10	того или иного	3	5
11	состоит в том	4	4
12	в конечном счете	2	4
13	в своем составе	3	3
14	той или иной	3	3
15	в этом смысле	2	3
16	с другой стороны	2	3
17	тем не менее	3	3
18	милой гостьи с	2	2
19	в этой системе	2	2
20	организации феноменов ментального	2	2
21	субъектной организации художественного	2	2
22	феноменов ментального внутреннего	2	2
23	организации художественного произведения	2	2
24	мы имеем дело	3	2
25	и тем самым	2	2
26	тех или иных	2	2
27	в соответствии с	2	2
28	не только не	2	2
29	тогда как в	2	2
30	гостьи с дудочкой	2	2
31	в самом начале	3	2
32	с точки зрения	2	2
33	в сочетании с	7	2
34	с одной стороны	4	2
35	факторов художественного впечатления	6	2
36	бенвенист ритм манифестирован	2	2
37	как и в	3	2
