N	2gram	Losev_Vlad_2	Hudozhes
1	то есть	7	18
2	и не	18	16
3	в том	18	15
4	и в	30	15
5	не только	12	15
6	в частности	2	13
7	может быть	7	13
8	при этом	5	12
9	а в	11	12
10	и его	6	12
11	но не	3	11
12	в этом	20	11
13	в себе	6	11
14	я в	3	11
15	как бы	5	10
16	но и	8	10
17	так и	5	10
18	то же	4	10
19	а не	7	10
20	такого рода	2	9
21	в его	11	9
22	точки зрения	7	9
23	себя в	2	8
24	в отличие	3	7
25	в то	9	7
26	отличие от	3	7
27	но в	8	7
28	я и	2	7
29	с его	4	6
30	что в	12	6
31	том что	12	6
32	не в	9	6
33	же время	3	6
34	отношение к	4	6
35	не может	9	6
36	можно сказать	4	5
37	а также	10	5
38	ни в	7	5
39	только в	6	5
40	в самом	2	5
41	того что	5	5
42	в нем	4	5
43	то что	20	5
44	или менее	3	5
45	в их	2	5
46	уже не	3	5
47	более или	3	5
48	в этих	4	4
49	не столько	3	4
50	прежде всего	6	4
51	к тому	2	4
52	и как	3	4
53	для него	9	4
54	хотя и	6	4
55	он не	4	4
56	в своей	5	4
57	со стороны	4	4
58	как к	2	4
59	отношения к	3	4
60	и то	5	4
61	сказать что	11	4
62	как это	7	4
63	не менее	7	3
64	однако в	2	3
65	в отношении	3	3
66	это не	2	3
67	что он	13	3
68	в стихотворении	2	3
69	и к	6	3
70	к его	2	3
71	тем не	6	3
72	по своему	2	3
73	того же	5	3
74	в свою	3	3
75	со своей	2	3
76	о чем	6	3
77	к нему	2	3
78	в целом	4	3
79	не на	2	3
80	таким образом	3	3
81	как и	5	3
82	в той	2	3
83	и что	5	3
84	с точки	3	3
85	и для	3	3
86	в таком	3	3
87	их в	2	3
88	потому что	9	3
89	но он	3	3
90	что можно	3	3
91	в данном	3	3
92	его в	4	3
93	в которой	4	3
94	в области	3	3
95	в виду	2	3
96	на этом	2	2
97	я не	4	2
98	так или	3	2
99	жизни в	2	2
100	в своем	8	2
101	в них	3	2
102	и особенно	3	2
103	вовсе не	4	2
104	по себе	5	2
105	об этом	6	2
106	о его	5	2
107	это тоже	2	2
108	тем более	3	2
109	свою очередь	2	2
110	и сам	2	2
111	несмотря на	4	2
112	во всех	3	2
113	и о	4	2
114	и потому	2	2
115	не вполне	2	2
116	даже в	2	2
117	для себя	5	2
118	как в	3	2
119	а именно	6	2
120	и прежде	2	2
121	здесь не	4	2
122	собственно говоря	2	2
123	и притом	2	2
124	именно в	4	2
125	все эти	5	2
126	в году	24	2
127	того чтобы	2	2
128	для того	2	2
129	и больше	3	2
130	существующее в	2	2
131	и по	2	2
132	так же	4	2
133	с ним	5	2
134	или иначе	3	2
135	и на	4	2
136	у него	19	2
137	начиная с	2	2
138	в этой	4	2
139	о том	4	2
140	еще один	2	2
141	и это	3	2
142	из этого	5	2
143	в чем	2	2
144	для меня	4	2
