N	2gram	Bakhtin_Pr_5	VrazhdaK
1	не только	10	9
2	в этом	14	8
3	и что	6	8
4	и в	35	8
5	достоевского в	3	7
6	но и	14	7
7	что в	6	7
8	достоевского и	2	7
9	то что	10	7
10	и все	15	7
11	в котором	3	6
12	в нем	16	6
13	все же	8	6
14	и даже	5	6
15	как и	18	6
16	в начале	3	6
17	но в	19	6
18	и с	12	6
19	о нем	2	6
20	то же	15	5
21	и не	27	5
22	у него	4	5
23	между тем	4	5
24	в то	11	5
25	же время	10	5
26	уже в	3	4
27	у достоевского	12	4
28	как бы	31	4
29	все это	14	4
30	это не	3	4
31	что он	24	4
32	так же	7	4
33	с ним	7	4
34	может быть	14	4
35	при этом	2	4
36	о том	2	4
37	в ней	2	4
38	в виду	3	4
39	в этот	2	3
40	я не	8	3
41	с его	7	3
42	в своем	2	3
43	что у	6	3
44	эти слова	3	3
45	я хотел	2	3
46	и во	3	3
47	о себе	17	3
48	в конце	5	3
49	и у	4	3
50	в том	5	3
51	раз в	2	3
52	и его	14	3
53	том что	3	3
54	и как	2	3
55	тем что	4	3
56	в его	21	3
57	его в	4	3
58	из подполья	35	3
59	но он	4	3
60	в чем	4	3
61	он не	13	3
62	и т.п	6	2
63	в эти	2	2
64	его с	5	2
65	а с	3	2
66	он сам	6	2
67	в своей	4	2
68	и это	5	2
69	в роман	2	2
70	из них	3	2
71	не менее	2	2
72	никогда не	4	2
73	вместе с	2	2
74	его и	3	2
75	в них	4	2
76	человека с	3	2
77	столь же	2	2
78	как раз	4	2
79	так в	2	2
80	не может	18	2
81	а в	7	2
82	таким образом	7	2
83	рядом с	4	2
84	это в	2	2
85	но это	6	2
86	в той	4	2
87	уже не	3	2
88	к себе	18	2
89	с которым	4	2
90	не мог	3	2
91	и он	2	2
92	в повести	3	2
93	же не	4	2
94	мы знаем	2	2
95	с точки	2	2
96	что я	13	2
97	и то	5	2
98	их в	2	2
99	но как	4	2
100	точки зрения	7	2
101	в себе	5	2
102	отношение к	6	2
103	для него	14	2
104	еще не	7	2
105	во время	5	2
106	в мире	4	2
107	в эту	4	2
108	в него	3	2
