N	2gram	Propp_Isto_7	Narrotol
1	не только	21	26
2	а не	8	17
3	представляет собой	4	16
4	но и	11	15
5	тогда как	3	15
6	в том	7	14
7	при этом	4	14
8	в качестве	3	14
9	и не	4	14
10	том что	10	13
11	и в	24	13
12	в этом	12	13
13	только в	6	11
14	может быть	14	10
15	в данном	4	10
16	своего рода	4	9
17	так и	5	9
18	а в	10	9
19	то что	7	8
20	не может	14	8
21	не в	9	8
22	к себе	3	7
23	никогда не	4	6
24	прежде всего	2	6
25	того что	6	6
26	данном случае	3	6
27	со стороны	2	6
28	все же	9	6
29	у него	10	6
30	как бы	4	6
31	ничего не	5	6
32	но в	5	6
33	точки зрения	4	5
34	не столько	3	5
35	тем не	4	5
36	что он	21	5
37	одной стороны	5	5
38	хотя и	3	5
39	он не	6	5
40	в котором	2	5
41	и тем	2	5
42	в нем	6	5
43	на него	2	5
44	как в	12	5
45	в форме	2	5
46	таким образом	7	5
47	с одной	5	5
48	с другой	9	5
49	в то	2	5
50	о том	9	5
51	ответ на	6	5
52	перед нами	2	4
53	что это	6	4
54	не менее	5	4
55	в герое	3	4
56	в конце	3	4
57	в литературе	2	4
58	об этом	6	4
59	как и	6	4
60	у нее	2	4
61	что в	13	4
62	в ее	2	4
63	то же	8	4
64	уже не	2	4
65	и у	2	4
66	в силу	2	4
67	все его	2	4
68	и все	6	4
69	как это	2	4
70	с ним	5	4
71	но при	2	4
72	в ответ	3	3
73	с его	3	3
74	тому что	2	3
75	мы имеем	12	3
76	или даже	2	3
77	это не	10	3
78	что они	3	3
79	одна из	7	3
80	но не	6	3
81	к ней	2	3
82	и когда	2	3
83	один из	7	3
84	на том	2	3
85	то и	4	3
86	все эти	2	3
87	и даже	3	3
88	и по	3	3
89	и его	3	3
90	с этой	6	3
91	сказать что	2	3
92	которой он	3	3
93	же как	4	2
94	и дело	2	2
95	должен был	2	2
96	восходит к	2	2
97	а потом	2	2
98	что у	4	2
99	превращается в	3	2
100	представления о	4	2
101	из этих	3	2
102	точно так	2	2
103	у героя	2	2
104	вовсе не	4	2
105	и здесь	12	2
106	на то	3	2
107	для нас	6	2
108	говорит о	2	2
109	и т	17	2
110	тем более	2	2
111	участие в	2	2
112	еще не	8	2
113	было бы	2	2
114	и он	3	2
115	со своим	4	2
116	себе и	3	2
117	со своей	2	2
118	в самом	2	2
119	во сне	2	2
120	но для	2	2
121	что она	5	2
122	не вполне	3	2
123	не все	3	2
124	что и	8	2
125	он может	4	2
126	не будет	2	2
127	только на	2	2
128	в других	4	2
129	если не	4	2
130	они не	2	2
131	и что	10	2
132	не имеет	4	2
133	по его	2	2
134	так же	6	2
135	мы не	4	2
136	в чем	5	2
137	но это	3	2
138	не случайно	3	2
139	вступает в	3	2
140	но он	2	2
141	во время	6	2
142	видно что	5	2
143	представляют собой	5	2
144	как он	6	2
145	героя и	5	2
146	здесь не	2	2
147	потому что	9	2
148	то чтобы	2	2
149	видит в	2	2
