N	2gram	Bakhtin_Fr_1	Sovremen
1	не может	3	17
2	точки зрения	7	12
3	может быть	6	12
4	в этом	15	7
5	и в	65	7
6	и не	22	6
7	как и	5	6
8	ничего не	3	6
9	в стадии	2	5
10	прежде всего	11	5
11	все эти	10	5
12	и наконец	2	5
13	с точки	3	5
14	в условиях	13	5
15	как бы	22	4
16	нет и	2	4
17	в целом	2	4
18	жизни и	7	4
19	это не	3	4
20	не только	10	4
21	в том	16	4
22	в дальнейшем	8	4
23	их в	2	4
24	из них	4	4
25	так как	6	4
26	в системе	3	3
27	все же	6	3
28	на этой	3	3
29	при таком	2	3
30	все это	9	3
31	не подлежит	2	3
32	его развития	5	3
33	в нем	13	3
34	и к	4	3
35	для нас	4	3
36	не в	4	3
37	в этой	4	3
38	еще не	6	3
39	при этом	6	3
40	в одном	5	3
41	и все	5	3
42	в себе	3	3
43	в области	7	3
44	но в	14	3
45	и потому	10	3
46	так сказать	4	2
47	совершенно не	4	2
48	этих двух	2	2
49	не могут	3	2
50	и именно	2	2
51	в некоторых	2	2
52	на котором	3	2
53	приводит к	2	2
54	и во	3	2
55	в отличие	4	2
56	из этих	2	2
57	с одной	2	2
58	еще более	5	2
59	как мы	6	2
60	уже не	3	2
61	или иной	5	2
62	самом деле	3	2
63	роль в	2	2
64	и пр	5	2
65	на этот	2	2
66	и даже	8	2
67	и по	2	2
68	конечно в	2	2
69	мы видим	2	2
70	в таком	2	2
71	но все	3	2
72	времени и	6	2
73	могут быть	2	2
74	что в	3	2
75	на его	2	2
76	в самом	4	2
77	отличие от	5	2
78	в его	9	2
79	между всеми	3	2
