N	2gram	Tiupa_Disk_2	Poddanst
1	не только	10	17
2	и в	16	14
3	и не	15	12
4	в области	2	11
5	в этом	16	10
6	то же	6	9
7	в том	8	9
8	в качестве	16	9
9	но в	11	9
10	в пределах	4	8
11	же время	5	7
12	в то	5	7
13	только в	3	7
14	но и	11	6
15	в ней	2	6
16	с другой	5	5
17	не в	3	5
18	может быть	16	5
19	в котором	3	4
20	то что	5	4
21	что в	5	4
22	в своем	5	4
23	не может	9	4
24	а в	2	4
25	том что	10	4
26	в русской	3	4
27	а также	8	4
28	как бы	4	4
29	в нем	7	3
30	столь же	3	3
31	это не	3	3
32	с одной	4	3
33	прежде всего	7	3
34	тем самым	6	3
35	с точки	2	3
36	сводится к	2	3
37	и как	3	3
38	между тем	2	3
39	но не	7	3
40	могут быть	3	3
41	точки зрения	4	3
42	в себе	19	3
43	одной стороны	4	3
44	потому что	4	3
45	я и	4	3
46	не менее	7	2
47	в мире	11	2
48	не к	2	2
49	именно в	2	2
50	в частности	12	2
51	время в	2	2
52	отнюдь не	6	2
53	со стороны	10	2
54	заключает в	2	2
55	в них	3	2
56	все это	2	2
57	не столько	3	2
58	может и	2	2
59	стороны и	2	2
60	было в	3	2
61	а не	14	2
62	должно быть	2	2
63	как на	3	2
64	говорить о	2	2
65	мира с	2	2
66	есть в	2	2
67	из важнейших	2	2
68	не нужно	2	2
69	не было	3	2
70	из них	3	2
71	более чем	2	2
72	например в	3	2
73	и это	2	2
74	мысль о	3	2
75	в ряду	2	2
76	не о	2	2
77	в сочетании	2	2
78	в его	3	2
79	и с	2	2
