N	2gram	Nazirov_Tr_1	VerxiiNi
1	и в	18	26
2	с тем	2	18
3	в этом	9	15
4	как бы	7	12
5	в том	2	11
6	может быть	7	10
7	не только	8	10
8	и с	7	10
9	что в	4	9
10	но и	4	9
11	и не	7	8
12	том что	4	7
13	но все	2	7
14	к нему	3	7
15	то что	4	7
16	потому что	2	7
17	но в	6	7
18	в конце	3	6
19	к тому	2	6
20	несмотря на	5	6
21	что и	2	6
22	все же	5	6
23	так и	5	6
24	все это	4	6
25	все эти	3	6
26	в себе	4	6
27	о том	2	6
28	отношение к	2	5
29	в его	3	5
30	никогда не	2	5
31	к жизни	5	5
32	так же	4	5
33	не имеет	2	5
34	в мире	3	5
35	что все	2	4
36	что он	6	4
37	в нем	4	4
38	в самом	2	4
39	не может	5	4
40	то же	5	4
41	и что	4	4
42	ничем не	2	4
43	в виде	2	4
44	он не	2	4
45	в то	5	4
46	то есть	3	4
47	в этой	4	4
48	что это	5	3
49	точно так	2	3
50	для него	3	3
51	так что	2	3
52	и как	3	3
53	в своем	3	3
54	при этом	3	3
55	уже не	2	3
56	и даже	4	3
57	в таком	2	3
58	что эти	2	3
59	в одном	2	3
60	уже в	3	2
61	не могут	2	2
62	с его	2	2
63	но при	2	2
64	в образе	6	2
65	прежде всего	4	2
66	из своих	2	2
67	и здесь	2	2
68	же время	6	2
69	еще не	4	2
70	один из	3	2
71	между этими	2	2
72	в глазах	2	2
73	и на	7	2
74	в русском	2	2
75	не в	2	2
76	и все	4	2
77	и это	2	2
78	этими двумя	2	2
