N	2gram	Propp_Russ_2	Problema
1	то что	5	38
2	и в	29	35
3	не только	10	24
4	том что	22	19
5	о том	9	18
6	может быть	13	18
7	у нас	4	18
8	в этом	11	17
9	но и	8	16
10	не менее	2	13
11	и что	5	13
12	потому что	5	13
13	не может	5	13
14	тем не	2	12
15	в том	22	12
16	того что	3	12
17	что в	22	11
18	прежде всего	2	11
19	так что	4	11
20	в таком	4	11
21	и с	10	10
22	еще не	6	10
23	а не	4	10
24	в данном	6	10
25	и то	2	10
26	для нас	6	9
27	в этой	3	9
28	пока еще	2	9
29	уже не	4	8
30	было бы	3	8
31	в виду	2	8
32	все же	2	8
33	этом случае	6	7
34	совсем не	2	7
35	все эти	3	7
36	не имеет	3	7
37	так как	13	7
38	мы не	6	7
39	с другой	2	6
40	о чем	4	6
41	и т	5	6
42	а именно	3	6
43	а а	8	6
44	т д	5	6
45	в то	2	6
46	когда мы	2	6
47	и для	2	6
48	в виде	4	6
49	но в	5	6
50	представление о	5	5
51	кроме того	2	5
52	данном случае	7	5
53	с этим	2	5
54	с одной	2	5
55	так же	4	5
56	и на	6	5
57	между собой	2	5
58	и все	4	5
59	как и	11	5
60	связи с	2	5
61	то же	4	5
62	как мы	3	5
63	одной стороны	2	5
64	можно было	2	5
65	с другими	3	5
66	будто бы	5	5
67	не был	2	4
68	в этих	3	4
69	эта теория	4	4
70	что на	2	4
71	и как	2	4
72	есть в	2	4
73	не можем	2	4
74	как бы	18	4
75	что она	3	4
76	все это	10	4
77	таким образом	6	4
78	а в	9	4
79	их в	4	4
80	но если	3	4
81	тем что	3	4
82	на первый	3	4
83	но не	5	4
84	что при	2	4
85	и о	3	4
86	или вообще	4	4
87	не будем	3	4
88	на самом	2	4
89	то и	4	4
90	далеко не	4	4
91	не все	4	4
92	или даже	3	3
93	и от	3	3
94	из этих	2	3
95	вопрос о	4	3
96	нас не	2	3
97	один из	2	3
98	в их	2	3
99	для этого	5	3
100	не было	2	3
101	при этом	6	3
102	здесь мы	2	3
103	и по	3	3
104	что для	3	3
105	в своих	2	3
106	иное как	2	3
107	что иное	2	3
108	его в	8	3
109	с тем	6	3
110	для них	2	3
111	по этому	2	3
112	тогда когда	4	3
113	не что	2	3
114	только тогда	3	3
115	это и	2	3
116	одна из	11	3
117	она не	3	3
118	только как	2	3
119	должны были	2	3
120	мы здесь	2	3
121	в свете	3	3
122	для того	6	3
123	тому как	3	3
124	быть только	2	3
125	в таких	3	3
126	и многие	2	2
127	о них	2	2
128	не в	4	2
129	что с	2	2
130	в и	3	2
131	из которых	2	2
132	в него	2	2
133	к нему	4	2
134	многие другие	2	2
135	в советской	2	2
136	эта связь	2	2
137	или в	7	2
138	должно быть	2	2
139	каждый из	2	2
140	это в	2	2
141	в разные	2	2
142	в них	4	2
143	об этом	2	2
144	и при	2	2
145	представляет собой	2	2
146	в качестве	3	2
147	а также	4	2
148	еще в	2	2
149	что и	2	2
150	во всех	3	2
151	вместе с	6	2
152	но можно	2	2
153	совершенно не	2	2
154	этому поводу	2	2
155	того чтобы	6	2
156	подобно тому	3	2
157	и ее	2	2
158	на эту	2	2
159	во многих	9	2
160	из этого	2	2
