N	2gram	Bakhtin_Pr_1	Tragedij
1	и в	23	18
2	в романе	11	10
3	в этом	25	9
4	не только	13	8
5	он сам	3	7
6	и не	34	7
7	достоевский в	7	7
8	и на	10	7
9	и с	4	7
10	может быть	21	7
11	как бы	28	7
12	что он	10	6
13	и его	13	6
14	же время	7	6
15	у него	6	6
16	но в	4	6
17	все же	5	5
18	так и	10	5
19	это не	10	5
20	не может	11	5
21	то же	10	5
22	как и	8	5
23	у достоевского	24	5
24	в то	10	5
25	несмотря на	6	5
26	это очень	3	5
27	но и	11	4
28	то что	18	4
29	в целом	4	4
30	что в	8	4
31	все это	7	4
32	я не	3	4
33	прежде всего	7	4
34	и все	3	4
35	в нем	20	4
36	и даже	3	4
37	так же	6	4
38	том что	9	4
39	но это	5	4
40	в этой	4	4
41	достоевский не	5	4
42	что достоевский	3	4
43	в себе	5	4
44	еще не	5	4
45	уже в	5	3
46	один из	2	3
47	достоевского в	19	3
48	с ее	2	3
49	в своем	8	3
50	романа и	4	3
51	в конце	5	3
52	как в	6	3
53	все эти	8	3
54	и как	8	3
55	к нему	3	3
56	сам достоевский	2	3
57	в основном	2	3
58	в его	24	3
59	для него	15	3
60	при этом	3	3
61	и сам	2	3
62	как будто	3	3
63	в мире	7	3
64	с ним	6	3
65	то есть	24	3
66	перед нами	4	2
67	не могут	6	2
68	но они	4	2
69	что и	5	2
70	как же	3	2
71	раз и	3	2
72	в отличие	2	2
73	данном случае	2	2
74	романах достоевского	6	2
75	то и	2	2
76	что все	3	2
77	романа достоевского	14	2
78	а как	6	2
79	вопрос о	4	2
80	но эта	4	2
81	для достоевского	6	2
82	уже не	8	2
83	бы и	4	2
84	с его	6	2
85	роман достоевского	11	2
86	и здесь	3	2
87	ни в	3	2
88	в том	11	2
89	до конца	5	2
90	друг друга	3	2
91	отличие от	2	2
92	но все	4	2
93	не в	6	2
94	точно так	2	2
95	в данном	2	2
96	одна из	2	2
97	потому что	12	2
98	в первом	2	2
99	тем что	3	2
100	он и	5	2
101	как у	2	2
102	ивана карамазова	5	2
103	о том	2	2
104	его в	4	2
105	и это	5	2
106	в самом	8	2
107	ничего не	6	2
108	он не	4	2
109	в одном	9	2
110	что она	2	2
111	никогда не	5	2
112	одном из	2	2
