N	2gram	Tiupa_Vved_1	Psycholo
1	то что	6	32
2	и в	13	31
3	в том	10	30
4	то есть	8	26
5	что в	3	23
6	может быть	18	22
7	таким образом	4	20
8	при этом	26	19
9	не может	7	17
10	как и	11	16
11	том что	7	16
12	и не	12	16
13	только в	6	14
14	а не	15	13
15	не только	20	13
16	что и	2	13
17	мы не	4	12
18	в этом	21	12
19	в самом	2	11
20	могут быть	4	11
21	не в	6	11
22	в области	3	11
23	того что	6	10
24	потому что	5	10
25	по себе	2	9
26	как в	4	9
27	самом деле	3	9
28	никогда не	4	8
29	что мы	2	8
30	том чтобы	2	7
31	есть в	2	7
32	и его	5	7
33	тому как	2	7
34	о том	5	7
35	одной стороны	5	6
36	до конца	3	6
37	было бы	4	6
38	если бы	7	6
39	из этих	3	6
40	вслед за	2	6
41	отнюдь не	7	6
42	целый ряд	2	6
43	а в	6	6
44	в его	4	6
45	и все	4	5
46	не является	3	5
47	все же	6	5
48	с одной	5	5
49	для нас	2	5
50	в какой	4	5
51	как бы	4	5
52	в целом	3	5
53	другой стороны	2	5
54	и для	3	5
55	то же	5	5
56	с другой	5	5
57	иначе говоря	6	5
58	подобно тому	2	5
59	в то	4	5
60	как будто	4	5
61	к тому	6	4
62	в котором	8	4
63	прежде всего	7	4
64	в себе	5	4
65	отличие от	2	4
66	одна из	4	4
67	никак не	2	4
68	точка зрения	3	4
69	один из	3	4
70	в этих	3	4
71	со стороны	5	4
72	к этому	2	4
73	те же	2	4
74	в своих	2	4
75	в результате	3	4
76	мы можем	2	4
77	могло бы	3	4
78	мы имеем	5	4
79	дело с	2	3
80	состоит в	10	3
81	в частности	13	3
82	в своем	5	3
83	должна быть	2	3
84	представить себе	2	3
85	и к	2	3
86	что на	2	3
87	точек зрения	2	3
88	тому же	4	3
89	но это	3	3
90	в силу	2	3
91	но не	5	3
92	все что	3	3
93	не можем	2	3
94	например в	2	3
95	хотя и	7	3
96	в слове	3	3
97	он не	3	3
98	жизни и	7	3
99	в своей	5	3
100	так и	8	3
101	который в	2	3
102	в отличие	2	3
103	не было	2	3
104	и по	3	3
105	в одной	2	3
106	слова в	2	3
107	исходя из	2	3
108	но в	6	3
109	в основе	3	2
110	не менее	4	2
111	не существует	2	2
112	тот кто	2	2
113	и составляет	3	2
114	если она	2	2
115	в них	2	2
116	и от	2	2
117	в жизни	4	2
118	не всегда	2	2
119	с ним	3	2
120	обратиться к	2	2
121	или не	2	2
122	тем не	3	2
123	уже не	5	2
124	представляет собой	15	2
125	более или	2	2
126	в качестве	8	2
127	ли это	2	2
128	по поводу	2	2
129	о чем	2	2
130	что такое	18	2
131	имеет место	4	2
132	далеко не	4	2
133	и тем	2	2
134	в нем	5	2
135	мы видели	2	2
136	отношение к	2	2
137	но и	19	2
138	или менее	2	2
139	что же	3	2
140	приводит к	2	2
141	как мы	3	2
142	как раз	2	2
143	то и	2	2
144	этом отношении	4	2
145	на самом	4	2
146	тем самым	5	2
147	к ним	2	2
148	их в	2	2
149	и с	2	2
150	бы и	4	2
151	в сознании	4	2
152	это только	2	2
153	бы в	3	2
154	будто бы	3	2
155	как он	2	2
156	стало быть	7	2
