N	2gram	Bakhtin_KF_1	Komedia
1	и в	24	22
2	том что	4	12
3	в том	6	11
4	но и	9	11
5	не только	5	10
6	в то	3	10
7	как и	5	9
8	может быть	45	9
9	в одном	4	8
10	и не	26	8
11	и его	17	8
12	о том	3	8
13	едва ли	2	7
14	в этой	2	7
15	и других	2	7
16	что в	4	6
17	что он	2	6
18	ни в	12	6
19	то же	5	6
20	не в	12	6
21	а в	4	6
22	прежде всего	2	5
23	при этом	4	5
24	в его	40	5
25	один из	2	5
26	так и	2	5
27	как в	2	5
28	все это	10	5
29	потому что	2	5
30	между тем	4	5
31	именно в	5	4
32	в их	8	4
33	к этому	2	4
34	ясно что	3	4
35	в другом	3	4
36	в качестве	2	4
37	же время	2	4
38	в котором	24	4
39	в нем	28	4
40	что и	7	4
41	тем что	3	4
42	точки зрения	12	4
43	из его	3	4
44	но в	5	4
45	место в	5	3
46	не менее	3	3
47	вопрос о	2	3
48	включая сюда	2	3
49	и как	2	3
50	по своему	3	3
51	он не	6	3
52	все же	5	3
53	отношению к	22	3
54	в целом	10	3
55	отношение к	5	3
56	по отношению	26	3
57	здесь мы	4	3
58	мы не	3	3
59	и на	3	3
60	в этом	14	3
61	в виде	2	3
62	могут быть	3	3
63	и ее	2	3
64	только в	16	3
65	и все	7	3
66	его в	5	3
67	в чем	4	3
68	ничего не	3	3
69	в сознании	2	3
70	времени и	4	2
71	и здесь	7	2
72	ни было	4	2
73	независимо от	3	2
74	то ни	2	2
75	и мир	2	2
76	вовсе не	7	2
77	в свою	3	2
78	тем не	2	2
79	но не	12	2
80	совсем не	2	2
81	именно на	2	2
82	в себя	7	2
83	время и	5	2
84	до конца	3	2
85	еще не	4	2
86	было бы	8	2
87	для себя	5	2
88	и тем	3	2
89	с ее	2	2
90	то что	7	2
91	бы то	2	2
92	со стороны	7	2
93	для этого	2	2
94	не может	27	2
95	из которых	2	2
96	в принципе	2	2
97	к нему	12	2
98	где он	3	2
99	но это	6	2
100	тем как	3	2
101	в своих	3	2
102	в себе	21	2
103	на нем	2	2
104	в области	2	2
105	ли это	2	2
