N	3gram	Bakhtin_fo_1	Problemy
1	и т п	8	9
2	с точки зрения	2	8
3	до сих пор	3	7
4	то же время	9	5
5	по отношению к	3	5
6	в то же	6	5
7	с самим собою	3	5
8	в отличие от	2	4
9	не может быть	3	4
10	той или иной	2	3
11	как и в	2	3
12	к себе самому	4	3
13	мы уже говорили	3	3
14	к тому же	2	3
15	с самим собой	2	3
16	друг на друга	2	2
17	в то время	3	2
18	одно и то	3	2
19	человека и его	7	2
20	как если бы	2	2
21	как раз и	2	2
22	может быть и	2	2
23	и то же	3	2
24	здесь не место	2	2
25	друг к другу	2	2
26	то время как	2	2
27	но все же	2	2
