N	2gram	Bakhtin_Fr_7	Psycholo
1	то что	8	32
2	и в	41	31
3	в том	11	30
4	то есть	20	26
5	что в	9	23
6	может быть	4	22
7	таким образом	19	20
8	при этом	3	19
9	так как	3	18
10	не может	3	17
11	как и	14	16
12	том что	4	16
13	и не	7	16
14	точки зрения	5	15
15	только в	6	14
16	а не	2	13
17	не только	5	13
18	что и	5	13
19	так же	5	12
20	мы не	2	12
21	в этом	15	12
22	не в	9	11
23	в области	2	11
24	в сущности	4	10
25	того что	2	10
26	потому что	5	10
27	ни в	6	9
28	как в	5	9
29	никогда не	2	8
30	вместе с	5	8
31	все это	10	8
32	во всяком	2	8
33	что он	3	7
34	есть в	6	7
35	и его	9	7
36	о том	6	7
37	что это	4	6
38	вовсе не	7	6
39	до конца	2	6
40	было бы	4	6
41	целый ряд	4	6
42	а в	5	6
43	в его	12	6
44	и есть	3	5
45	и все	14	5
46	мы видим	6	5
47	говорит что	2	5
48	несмотря на	3	5
49	как бы	7	5
50	в процессе	2	5
51	оказывается что	3	5
52	и для	5	5
53	то же	13	5
54	в то	10	5
55	к тому	2	4
56	в которой	2	4
57	все время	2	4
58	и другие	3	4
59	в виду	4	4
60	прежде всего	11	4
61	и так	2	4
62	очень часто	3	4
63	в себе	11	4
64	по существу	8	4
65	одна из	4	4
66	у него	6	4
67	со всеми	2	4
68	точка зрения	2	4
69	в этих	2	4
70	к этому	5	4
71	для всех	2	4
72	и у	5	4
73	в результате	2	4
74	мы имеем	2	4
75	уже в	5	3
76	совсем не	3	3
77	в своем	9	3
78	что у	3	3
79	в состоянии	2	3
80	та же	4	3
81	что все	2	3
82	и к	5	3
83	но это	3	3
84	все что	4	3
85	из которых	2	3
86	например в	3	3
87	в этой	13	3
88	хотя и	4	3
89	он не	4	3
90	не есть	2	3
91	жизни и	3	3
92	в своей	3	3
93	так и	10	3
94	только на	2	3
95	не было	3	3
96	и других	2	3
97	и вот	2	3
98	и по	3	3
99	той же	3	3
100	роль в	2	3
101	в которых	2	3
102	в одной	2	3
103	с этим	2	3
104	может стать	2	3
105	все то	3	3
106	в конце	8	3
107	и это	5	3
108	конце концов	4	3
109	но в	8	3
110	такой же	3	2
111	по этому	3	2
112	и как	2	2
113	в них	7	2
114	и во	2	2
115	и от	8	2
116	это в	3	2
117	с ним	2	2
118	на место	4	2
119	и здесь	4	2
120	есть не	2	2
121	а только	2	2
122	том и	2	2
123	мы найдем	3	2
124	уже не	2	2
125	из всех	2	2
126	и потому	3	2
127	более или	2	2
128	в качестве	9	2
129	того же	3	2
130	тот же	2	2
131	и может	2	2
132	и их	3	2
133	в область	3	2
134	далеко не	2	2
135	к жизни	4	2
136	в нем	7	2
137	мы видели	5	2
138	не знаем	2	2
139	отношение к	2	2
140	из них	3	2
141	но и	9	2
142	или менее	2	2
143	как мы	11	2
144	что есть	2	2
145	в связи	2	2
146	нигде не	2	2
147	этом отношении	2	2
148	на самом	2	2
149	в себя	2	2
150	тем самым	3	2
151	к нему	5	2
152	с точки	3	2
153	и самым	2	2
154	в чем	2	2
155	ничего не	4	2
156	нас в	3	2
157	их в	2	2
158	и с	4	2
159	и то	2	2
160	бы в	2	2
161	ту же	2	2
162	его в	3	2
163	как он	2	2
164	одном из	4	2
165	в одном	3	2
166	оно было	2	2
