N	2gram	Propp_Russ_1	Otkroven
1	у него	2	22
2	и в	36	19
3	но и	16	13
4	и не	6	13
5	в этом	12	12
6	а не	2	11
7	может быть	8	11
8	не только	22	11
9	в нем	2	10
10	не было	2	9
11	потому что	10	9
12	он был	2	8
13	до конца	2	7
14	в его	2	7
15	все это	6	6
16	как и	10	6
17	то что	6	5
18	а в	9	5
19	в том	17	5
20	в россии	4	5
21	т е	17	4
22	все эти	2	4
23	не может	4	4
24	что в	19	4
25	в этих	3	3
26	это не	10	3
27	того что	4	3
28	в своих	2	3
29	еще не	4	3
30	могут быть	2	3
31	когда он	2	3
32	о том	8	3
33	с ним	2	3
34	как бы	5	3
35	в этот	10	2
36	подойти к	2	2
37	все же	5	2
38	что и	7	2
39	и для	2	2
40	с тем	8	2
41	природы и	2	2
42	так и	7	2
43	в своем	3	2
44	что у	2	2
45	за все	2	2
46	к этому	4	2
47	и к	3	2
48	не имеет	6	2
49	в других	11	2
50	их не	2	2
51	том что	19	2
52	так что	2	2
53	и на	10	2
54	что они	7	2
55	и с	2	2
56	чем в	2	2
57	тем что	4	2
58	одно из	5	2
59	на западе	2	2
60	русского народа	3	2
61	так как	15	2
62	ничего не	3	2
63	и из	3	2
64	хотя и	2	2
65	к ней	2	2
66	но в	2	2
67	и потому	2	2
