N	2gram	Medvedev_U_1	FransuaR
1	и в	14	45
2	и не	8	15
3	не только	10	14
4	в этом	7	14
5	но в	3	14
6	в его	2	13
7	то же	5	11
8	в то	3	11
9	прежде всего	8	10
10	в том	2	10
11	но и	4	10
12	как и	3	10
13	и с	2	10
14	же время	3	9
15	таким образом	2	8
16	с его	2	7
17	в конце	2	7
18	том что	2	7
19	не в	2	7
20	что и	2	7
21	все это	5	7
22	всех этих	2	6
23	что он	2	6
24	в этой	4	6
25	но это	2	5
26	одним из	2	5
27	как раз	2	5
28	не может	7	5
29	этом отношении	2	5
30	самом деле	2	5
31	и у	2	5
32	все они	2	4
33	мы не	2	4
34	но не	2	4
35	ничего не	2	4
36	в самом	2	4
37	в их	4	4
38	а не	10	4
39	только в	2	4
40	это было	2	4
41	это не	3	3
42	по существу	2	3
43	для него	3	3
44	в своей	3	3
45	для всех	2	3
46	до сих	2	3
47	сих пор	2	3
48	что она	2	3
49	и для	2	3
50	о чем	2	3
51	не могут	2	2
52	в сторону	2	2
53	превращается в	2	2
54	хотя бы	5	2
55	перестает быть	5	2
56	что все	2	2
57	то что	7	2
58	было бы	3	2
59	конечно не	4	2
60	может быть	6	2
61	все же	3	2
62	и только	5	2
63	в системе	2	2
64	нас в	2	2
65	не столько	2	2
66	между тем	2	2
67	же самое	2	2
68	на эту	2	2
69	и т.д	3	2
