N	2gram	Tiupa_Lite_1	VerxiiNi
1	и в	8	26
2	таким образом	3	22
3	русской культуры	3	15
4	в этом	12	15
5	точки зрения	6	13
6	как бы	7	12
7	в том	16	11
8	может быть	13	10
9	не только	24	10
10	из этих	2	10
11	связи с	6	9
12	что в	3	9
13	но и	17	9
14	в области	3	9
15	с другой	3	8
16	но не	4	8
17	и не	12	8
18	том что	14	7
19	одной стороны	2	7
20	из них	4	7
21	то что	10	7
22	с одной	2	7
23	потому что	3	7
24	но в	3	7
25	в конце	4	6
26	к тому	2	6
27	того же	2	6
28	несмотря на	3	6
29	всяком случае	2	6
30	все же	4	6
31	так и	4	6
32	все эти	2	6
33	с точки	2	6
34	во всяком	3	6
35	в себе	7	6
36	о том	2	6
37	тому же	2	5
38	в его	7	5
39	никогда не	4	5
40	лишь в	4	5
41	а не	16	5
42	в силу	4	5
43	в мире	2	5
44	что он	5	4
45	в нем	2	4
46	в самом	3	4
47	не может	5	4
48	и только	2	4
49	а в	3	4
50	то же	5	4
51	в то	5	4
52	только в	8	4
53	то есть	6	4
54	в этой	4	4
55	далеко не	3	4
56	не менее	7	3
57	в рамках	6	3
58	так или	8	3
59	хотя бы	2	3
60	для него	2	3
61	представляет собой	4	3
62	в своем	11	3
63	в качестве	17	3
64	и нет	2	3
65	тем не	2	3
66	отношению к	2	3
67	в связи	4	3
68	при этом	19	3
69	уже не	7	3
70	того что	6	3
71	и даже	3	3
72	или иначе	9	3
73	с этой	5	3
74	уже в	5	2
75	с его	5	2
76	состоит в	11	2
77	одно из	3	2
78	перестает быть	4	2
79	превращается в	2	2
80	не как	4	2
81	но при	2	2
82	прежде всего	11	2
83	или иной	2	2
84	а также	5	2
85	же время	5	2
86	еще не	4	2
87	общего с	2	2
88	вплоть до	2	2
89	и является	2	2
90	он один	2	2
91	не могло	2	2
92	один из	3	2
93	не к	2	2
94	жизни и	3	2
95	приводит к	3	2
96	для этого	4	2
97	не было	3	2
98	этом отношении	2	2
99	этой точки	3	2
100	ко всему	2	2
101	одним из	5	2
102	всем и	2	2
103	не в	8	2
104	по своей	3	2
105	в россии	2	2
106	относится к	2	2
107	между тем	2	2
108	в виду	3	2
