N	3gram	Losev_Prob_4	VeschiIm
1	и т д	3	20
2	это значит что	7	17
3	и больше ничего	2	9
4	не что иное	2	8
5	что иное как	2	8
6	по крайней мере	6	6
7	в том что	8	6
8	не есть ни	2	6
9	тем не менее	10	5
10	есть не что	2	5
11	содержит в себе	8	5
12	не только в	4	4
13	с точки зрения	11	4
14	в то же	2	4
15	более или менее	2	3
16	можно было бы	4	3
17	то и другое	3	3
18	можно ли сказать	2	3
19	сама по себе	2	3
20	сам по себе	6	3
21	вместе с тем	3	3
22	но даже и	4	2
23	в данном случае	5	2
24	и в частности	2	2
25	и не просто	2	2
26	заключается в том	2	2
