N	2gram	Nazirov_Vr_1	StatiiOP
1	и в	8	25
2	в этом	8	24
3	в том	3	20
4	что в	7	19
5	что он	4	19
6	может быть	4	19
7	тем что	3	19
8	том что	3	15
9	в этой	2	14
10	в его	3	12
11	то что	7	12
12	не только	9	12
13	таким образом	2	10
14	и не	5	10
15	у него	5	9
16	но и	7	9
17	все это	4	8
18	т е	3	8
19	в своих	4	8
20	о том	4	8
21	это не	4	7
22	не может	2	7
23	точки зрения	2	7
24	в то	5	7
25	место в	2	6
26	в конце	3	6
27	как бы	4	6
28	а в	2	6
29	в русской	3	6
30	в россии	5	6
31	между тем	5	6
32	то же	5	5
33	в них	2	5
34	на то	3	5
35	об этом	5	5
36	в котором	6	5
37	и это	2	5
38	ответ на	2	5
39	в году	18	5
40	он не	3	5
41	но в	6	5
42	это в	2	4
43	как и	6	4
44	но это	2	4
45	в начале	6	4
46	в ней	4	4
47	а также	2	4
48	в своей	2	4
49	отношение к	2	4
50	не было	5	4
51	с точки	2	4
52	в чем	3	4
53	и с	6	4
54	все же	6	4
55	в эту	2	4
56	уже в	4	3
57	с его	3	3
58	во время	2	3
59	к этому	3	3
60	же время	5	3
61	с которым	2	3
62	он был	3	3
63	для него	2	3
64	тем более	2	3
65	что я	2	3
66	и что	8	3
67	несмотря на	4	3
68	как раз	2	3
69	и далее	2	3
70	в связи	3	3
71	по мнению	2	3
72	г а	5	3
73	в в	2	3
74	уже не	2	3
75	и его	3	3
76	но он	3	3
77	связи с	3	3
78	во многом	4	2
79	а с	2	2
80	при помощи	2	2
81	не менее	2	2
82	никогда не	2	2
83	и у	3	2
84	что у	3	2
85	и во	3	2
86	и ее	2	2
87	этот человек	2	2
88	х годов	4	2
89	в свою	2	2
90	еще не	2	2
91	в это	2	2
92	одна из	2	2
93	в виду	4	2
94	речь идет	3	2
95	года в	7	2
96	вместе с	2	2
97	начиная с	2	2
98	эти годы	2	2
99	о которой	2	2
100	не мог	2	2
101	на основе	2	2
102	он писал	2	2
103	но как	2	2
104	на это	2	2
