N	2gram	Losev_Dial_4	RusskieA
1	и в	15	36
2	не только	8	22
3	что в	7	19
4	том что	10	19
5	в том	11	17
6	т е	46	17
7	но и	4	16
8	так как	14	15
9	в этом	11	12
10	в этот	2	10
11	это не	12	10
12	как и	7	10
13	и т	17	10
14	вместе с	2	10
15	и на	5	10
16	потому что	10	10
17	об этом	3	9
18	т д	15	9
19	с тем	4	8
20	у нас	3	8
21	из них	2	8
22	может быть	17	8
23	один из	4	8
24	и по	2	8
25	е в	2	8
26	о том	5	8
27	как это	2	8
28	что они	4	7
29	что и	6	7
30	так и	5	7
31	и не	30	6
32	при этом	2	6
33	в них	2	6
34	уже не	9	6
35	таким образом	5	6
36	мы не	9	6
37	все это	9	6
38	не имеет	14	6
39	в виде	3	6
40	то что	16	6
41	показывает что	2	5
42	все же	2	5
43	как будто	2	5
44	как бы	14	5
45	в течение	4	5
46	с ними	4	5
47	как в	3	5
48	того как	2	5
49	из этих	2	4
50	к этому	3	4
51	что на	2	4
52	еще не	4	4
53	во всех	2	4
54	и их	2	4
55	в их	3	4
56	не может	11	4
57	мы имеем	5	4
58	и что	9	4
59	того что	13	4
60	что этот	2	4
61	но это	4	4
62	тем что	2	4
63	только в	7	4
64	что по	2	4
65	не менее	2	3
66	к жизни	3	3
67	что это	13	3
68	в качестве	2	3
69	в своем	5	3
70	но все	2	3
71	но они	2	3
72	в одном	4	3
73	представление о	2	3
74	думать что	2	3
75	в свою	3	3
76	тем не	2	3
77	на этом	3	3
78	в целях	2	3
79	и из	2	3
80	в разных	2	3
81	то же	9	3
82	она в	3	3
83	с точки	9	3
84	так же	4	3
85	ничего не	17	3
86	точки зрения	14	3
87	то на	3	3
88	в области	3	3
89	не было	2	2
90	в частности	2	2
91	могут быть	3	2
92	день и	2	2
93	только для	3	2
94	та же	3	2
95	с этим	3	2
96	и потому	3	2
97	не просто	7	2
98	главным образом	2	2
99	на все	2	2
100	что именно	7	2
101	в нем	5	2
102	не что	8	2
103	в жизни	5	2
104	так что	6	2
105	и как	4	2
106	мы видим	4	2
107	в силу	4	2
108	свою очередь	2	2
109	быть и	3	2
110	но что	5	2
111	далее в	2	2
112	она не	4	2
113	отнюдь не	4	2
114	когда он	3	2
115	в ней	5	2
116	на что	2	2
117	в его	4	2
118	не значит	2	2
119	и с	4	2
120	как не	2	2
121	его как	2	2
122	значит что	9	2
123	природы и	2	2
124	что она	5	2
125	находится в	2	2
126	в свете	5	2
127	для этого	2	2
128	в особенности	4	2
129	не объясняет	2	2
130	все эти	3	2
131	можно говорить	2	2
132	а не	18	2
133	и пр	9	2
134	и для	5	2
135	с ним	3	2
136	или в	7	2
137	мы можем	3	2
138	хотя и	6	2
139	себя и	3	2
140	что иное	8	2
141	но в	3	2
142	ничего общего	4	2
143	мы должны	4	2
144	в один	3	2
145	если угодно	3	2
146	иное как	8	2
