N	2gram	Vinokur_Vv_1	Sotsiolo
1	истории литературы	3	10
2	все это	6	7
3	в том	31	5
4	в этом	34	5
5	не в	8	3
6	но ведь	4	3
7	в его	10	3
8	и в	27	3
9	не только	21	3
10	по отношению	4	2
11	еще не	4	2
12	было бы	5	2
13	как будто	3	2
14	только в	13	2
15	в конце	3	2
16	по существу	2	2
17	таким образом	19	2
18	том что	26	2
19	то же	8	2
20	отношению к	4	2
21	то что	17	2
22	тем более	2	2
23	может быть	24	2
24	в результате	3	2
25	в частности	3	2
26	и что	4	2
27	но и	5	2
28	дело не	3	2
29	и заключается	4	2
30	только как	6	2
31	одно дело	2	2
32	как бы	5	2
33	должна быть	2	2
34	конце концов	2	2
35	что в	11	2
