N	2gram	Bakhtin_Pr_2	KFilosof
1	может быть	23	43
2	в его	10	39
3	в нем	12	31
4	не может	18	27
5	и не	29	26
6	по отношению	5	25
7	и в	43	22
8	в котором	6	21
9	отношению к	5	21
10	в себе	5	21
11	не есть	2	19
12	а не	7	17
13	и его	8	17
14	только в	4	16
15	точки зрения	13	13
16	в этом	13	13
17	ни в	2	12
18	для него	8	12
19	но не	5	12
20	и это	4	12
21	все эти	5	11
22	в своей	4	11
23	не в	11	11
24	к нему	5	11
25	в своем	4	10
26	это не	3	10
27	все это	5	10
28	во всех	4	10
29	с точки	8	10
30	в целом	2	9
31	но и	14	9
32	в их	3	9
33	как бы	22	9
34	и все	6	9
35	и для	3	9
36	лишь в	8	8
37	если бы	3	8
38	было бы	5	8
39	момент его	2	8
40	и здесь	3	7
41	во всем	3	7
42	в единстве	3	7
43	вовсе не	5	7
44	конечно не	2	7
45	что и	3	7
46	то что	7	7
47	себя в	3	7
48	в себя	3	7
49	я не	4	6
50	в том	6	6
51	но это	4	6
52	отношение к	2	6
53	и только	3	6
54	совершенно не	4	6
55	и их	3	6
56	он не	9	6
57	уже не	3	6
58	никогда не	9	5
59	хотя бы	2	5
60	но эта	2	5
61	то же	8	5
62	но все	2	5
63	должно быть	4	5
64	но ведь	5	5
65	его в	3	5
66	с ним	3	5
67	но в	10	5
68	не знает	3	5
69	как и	14	5
70	что я	6	5
71	не только	11	5
72	для себя	2	5
73	все же	3	5
74	там где	4	5
75	времени и	2	4
76	что в	4	4
77	входит в	2	4
78	ни было	2	4
79	для нас	2	4
80	здесь мы	2	4
81	при этом	6	4
82	не проникает	2	4
83	в своих	2	4
84	с ними	2	4
85	между тем	3	4
86	в категориях	2	4
87	в одном	12	4
88	не как	6	4
89	быть в	2	4
90	том что	2	4
91	о нем	6	4
92	как его	4	4
93	а в	5	4
94	а лишь	2	3
95	бы и	2	3
96	должна быть	3	3
97	с человеком	2	3
98	что это	2	3
99	не менее	3	3
100	в каждом	11	3
101	из его	2	3
102	лишь как	2	3
103	до конца	4	3
104	и пр	2	3
105	в виду	3	3
106	себе и	4	3
107	здесь нет	3	3
108	меня и	2	3
109	того что	2	3
110	слово не	8	3
111	рядом с	5	3
112	и на	10	3
113	в то	7	3
114	о том	5	3
115	но здесь	5	3
116	мы не	4	3
117	сознания и	3	3
118	этом смысле	2	3
119	но конечно	2	3
120	по своему	2	3
121	еще не	9	3
122	не могу	2	3
123	быть и	2	3
124	бы не	2	3
125	самом деле	5	3
126	что не	2	3
127	что этот	2	3
128	тем что	3	3
129	могут быть	3	3
130	в другом	7	3
131	есть я	2	3
132	здесь не	6	3
133	и этим	3	3
134	ничего не	3	3
135	слова в	12	2
136	а с	2	2
137	его и	2	2
138	та же	2	2
139	прежде всего	10	2
140	вопрос о	2	2
141	его к	2	2
142	или иной	3	2
143	тем не	2	2
144	себе а	2	2
145	и как	2	2
146	же время	5	2
147	но для	3	2
148	себя и	3	2
149	в него	7	2
150	его жизни	2	2
151	по себе	11	2
152	для этого	2	2
153	для другого	3	2
154	он и	3	2
155	к себе	7	2
156	той или	3	2
157	себя как	3	2
158	я и	2	2
159	и свой	3	2
160	а как	4	2
161	с его	4	2
162	и то	2	2
163	раз и	2	2
164	в жизни	3	2
165	что он	13	2
166	конечно в	2	2
167	герой и	3	2
168	даны в	3	2
169	не нужно	2	2
170	себе как	2	2
171	тот же	3	2
172	со всеми	3	2
173	кажется что	3	2
174	бы он	2	2
175	но этот	2	2
176	этого слова	2	2
177	в процессе	2	2
178	так и	3	2
179	как в	2	2
180	нами в	2	2
181	в виде	3	2
182	еще более	2	2
183	чтобы не	2	2
184	мы здесь	2	2
185	и эта	2	2
186	и та	2	2
187	человек и	2	2
188	отношении к	2	2
189	дело в	2	2
190	или как	4	2
191	автора как	2	2
