N	2gram	Tiupa_Narr_1	Komedia
1	и в	19	22
2	и не	20	21
3	том что	14	13
4	в том	18	12
5	со стороны	9	11
6	ни в	3	10
7	в своем	2	8
8	что он	6	8
9	в его	9	8
10	в этом	17	8
11	о том	6	8
12	его в	2	8
13	о чем	2	7
14	при этом	9	7
15	в свою	3	7
16	то же	4	7
17	а в	11	7
18	тому же	5	6
19	свою очередь	3	6
20	еще не	7	6
21	к тому	7	6
22	может быть	25	6
23	как раз	2	6
24	самом деле	2	6
25	и его	5	6
26	в то	3	6
27	не менее	3	5
28	связи с	4	5
29	что в	3	5
30	же время	4	5
31	прежде всего	4	5
32	а по	2	5
33	как это	6	5
34	хотя и	3	5
35	не только	32	5
36	речь идет	4	5
37	отношение к	2	5
38	из них	3	5
39	по отношению	7	5
40	он не	3	5
41	тем что	3	5
42	к нему	5	5
43	к себе	5	5
44	но в	6	5
45	но все	4	4
46	у него	4	4
47	отнюдь не	5	4
48	однако в	2	4
49	между собой	2	4
50	с другой	8	4
51	нет и	2	4
52	все же	7	4
53	не в	14	4
54	несмотря на	2	4
55	в ней	3	4
56	тем более	2	4
57	то что	11	4
58	когда он	3	4
59	но и	23	4
60	на него	3	4
61	а не	12	4
62	и для	2	4
63	так же	2	4
64	точки зрения	10	4
65	на себя	3	4
66	в себе	8	4
67	в связи	2	4
68	так и	9	4
69	не является	8	4
70	хотя бы	4	4
71	и с	4	4
72	с его	6	3
73	в частности	14	3
74	никогда не	3	3
75	то ни	3	3
76	в какой	2	3
77	если не	4	3
78	одного из	4	3
79	в нем	4	3
80	далеко не	5	3
81	идет о	2	3
82	тем не	3	3
83	в ее	3	3
84	как и	7	3
85	в этой	5	3
86	который в	2	3
87	одной стороны	7	3
88	было бы	4	3
89	и тот	2	3
90	как бы	4	3
91	один из	3	3
92	отношению к	6	3
93	даже не	3	3
94	приводит к	2	3
95	дело с	2	3
96	не может	10	3
97	с одной	7	3
98	в двух	2	3
99	что не	4	3
100	с точки	2	3
101	столь же	3	3
102	и даже	3	3
103	не имеет	2	3
104	одной из	4	3
105	не о	3	3
106	представляет собой	13	3
107	говорить о	2	3
108	ничего не	2	3
109	каким он	2	2
110	в основе	5	2
111	уже в	3	2
112	ни было	3	2
113	состоит в	13	2
114	себя и	2	2
115	конечном счете	2	2
116	в качестве	21	2
117	не как	2	2
118	как в	7	2
119	не будет	3	2
120	это не	2	2
121	нового времени	2	2
122	и все	2	2
123	отличие от	5	2
124	по существу	2	2
125	в силу	4	2
126	в присутствии	3	2
127	что они	3	2
128	она не	2	2
129	бы то	3	2
130	в пределах	2	2
131	не мог	4	2
132	совершенно не	2	2
133	в сущности	3	2
134	при всей	4	2
135	одним из	2	2
136	в конечном	3	2
137	а также	7	2
138	и он	3	2
139	между ними	2	2
140	так или	2	2
141	представляют собой	2	2
142	не с	3	2
143	наряду с	2	2
144	как мы	3	2
145	другой стороны	4	2
146	при всем	2	2
147	вплоть до	2	2
148	бы не	2	2
149	отношения к	2	2
150	не было	2	2
151	этом отношении	3	2
152	человека в	2	2
153	в мире	9	2
154	из которых	4	2
155	роль в	2	2
156	в таком	2	2
157	можно было	2	2
158	или иначе	3	2
159	и на	3	2
160	здесь и	2	2
161	в результате	2	2
162	между тем	3	2
163	нуждается в	5	2
164	что касается	2	2
165	и ее	2	2
166	исходя из	2	2
167	и после	2	2
168	что мы	2	2
169	здесь не	4	2
170	всего лишь	2	2
171	который по	3	2
172	в области	2	2
