N	2gram	Ircho_Kome_1	Morfolog
1	может быть	9	52
2	и т	9	49
3	т д	4	47
4	таким образом	8	20
5	не может	2	17
6	т е	13	16
7	могут быть	3	15
8	и в	22	13
9	в этом	3	13
10	действующих лиц	4	13
11	так как	4	12
12	чаще всего	3	11
13	прежде всего	5	9
14	так и	5	9
15	то же	6	9
16	и не	8	9
17	с другой	5	8
18	что и	4	8
19	в результате	4	8
20	вопрос о	3	7
21	в тех	3	7
22	в качестве	4	7
23	все же	3	7
24	и здесь	2	6
25	в том	11	6
26	но не	2	6
27	а также	4	6
28	в форме	2	6
29	а в	6	6
30	во время	5	6
31	не менее	3	5
32	в образе	3	5
33	наряду с	2	5
34	вслед за	2	5
35	один из	5	5
36	то что	2	5
37	или в	2	5
38	потому что	5	5
39	мы не	3	5
40	что в	6	4
41	и как	3	4
42	вовсе не	2	4
43	тем не	2	4
44	отношению к	3	4
45	было бы	2	4
46	на его	5	4
47	несмотря на	4	4
48	не только	10	4
49	как в	5	4
50	как мы	4	4
51	другой стороны	5	4
52	тех же	2	4
53	так же	3	4
54	по отношению	3	4
55	как и	9	4
56	хотя и	3	4
57	тем что	4	4
58	точки зрения	4	4
59	на этом	2	4
60	его в	3	4
61	ничего не	3	4
62	в других	2	4
63	только что	2	3
64	независимо от	2	3
65	а то	2	3
66	в начале	3	3
67	же в	4	3
68	том что	12	3
69	но это	2	3
70	что они	4	3
71	на нем	2	3
72	в целом	3	3
73	в сущности	2	3
74	он не	3	3
75	ни в	6	3
76	но и	11	3
77	на него	4	3
78	из которых	2	3
79	и по	6	3
80	к нему	2	3
81	мы можем	4	3
82	из них	10	3
83	и ее	3	3
84	большей частью	2	3
85	в то	10	3
86	но в	4	3
87	совсем не	2	2
88	в виде	3	2
89	в частности	3	2
90	однако в	3	2
91	к этому	4	2
92	что он	6	2
93	в в	4	2
94	путь к	2	2
95	из его	4	2
96	вывод что	2	2
97	только в	3	2
98	то время	5	2
99	можно сделать	3	2
100	одной стороны	3	2
101	одному из	2	2
102	одной из	3	2
103	см ниже	3	2
104	ни одной	2	2
105	или менее	2	2
106	и таким	2	2
107	с одной	3	2
108	право на	2	2
109	и его	8	2
110	если они	2	2
111	в другом	4	2
112	или по	2	2
113	о том	8	2
114	ясно что	4	2
115	одна из	2	2
116	как это	3	2
117	время как	4	2
