N	2gram	Vinokur_Ku_3	VLabPisa
1	таким образом	9	27
2	в этом	16	26
3	и в	23	25
4	и т	54	24
5	не только	17	22
6	может быть	14	21
7	хотя бы	9	20
8	и не	10	19
9	т е	32	17
10	не может	6	17
11	в его	11	15
12	т д	8	15
13	в процессе	3	14
14	прежде всего	9	13
15	в том	22	13
16	в частности	2	12
17	все это	2	12
18	как это	7	12
19	с другой	7	11
20	в силу	6	11
21	не могут	5	10
22	в качестве	2	10
23	о том	6	10
24	что в	13	9
25	но и	3	9
26	то же	6	9
27	т п	41	9
28	все эти	7	8
29	в своем	4	8
30	другой стороны	3	8
31	могут быть	6	8
32	из этих	5	7
33	как и	5	7
34	том что	11	7
35	было бы	16	7
36	отношению к	2	7
37	вместе с	2	7
38	он пишет	2	7
39	по отношению	3	7
40	не было	4	7
41	а не	11	7
42	это не	3	6
43	это и	3	6
44	то что	4	6
45	более или	2	6
46	главным образом	2	6
47	в зависимости	7	6
48	так и	6	6
49	или менее	2	6
50	бы и	3	6
51	между тем	4	6
52	в то	3	6
53	в результате	3	5
54	тому что	4	5
55	все же	5	5
56	и при	2	5
57	зависимости от	8	5
58	очевидно что	3	5
59	в пределах	2	5
60	связи с	6	5
61	и есть	5	5
62	как бы	5	5
63	один из	4	5
64	в их	6	5
65	сказать что	7	5
66	только в	6	5
67	не в	5	5
68	к тому	3	4
69	равно как	2	4
70	в одном	2	4
71	в целом	4	4
72	что все	2	4
73	что он	6	4
74	можно сказать	2	4
75	в ее	4	4
76	в своей	4	4
77	в нашей	4	4
78	в самом	13	4
79	когда он	2	4
80	как раз	4	4
81	в связи	5	4
82	в статье	2	4
83	чем же	2	4
84	и к	3	3
85	с тем	6	3
86	и как	2	3
87	п в	3	3
88	только что	2	3
89	у нас	10	3
90	по существу	3	3
91	мы видели	3	3
92	что они	2	3
93	но как	3	3
94	как о	3	3
95	по поводу	3	3
96	что не	4	3
97	далеко не	5	3
98	в виду	8	3
99	в котором	2	3
100	его в	2	3
101	что и	6	3
102	именно в	3	3
103	этот вопрос	3	3
104	того что	11	3
105	так же	2	3
106	в слове	4	3
107	в которых	3	3
108	никак не	2	3
109	как на	8	3
110	а вот	2	3
111	точки зрения	23	3
112	она не	3	3
113	образом не	2	2
114	не менее	12	2
115	на вопрос	3	2
116	том числе	2	2
117	отличается от	2	2
118	формы и	3	2
119	и значит	2	2
120	вовсе не	5	2
121	по себе	6	2
122	об образе	3	2
123	только о	2	2
124	или иной	7	2
125	до сих	8	2
126	но не	3	2
127	естественно что	3	2
128	но для	3	2
129	в различных	2	2
130	том отношении	2	2
131	смысле слова	2	2
132	еще не	9	2
133	одной стороны	4	2
134	в большей	2	2
135	для того	12	2
136	в общем	6	2
137	то это	3	2
138	если бы	8	2
139	мы имеем	2	2
140	подчеркнуть что	2	2
141	том чтобы	4	2
142	в ней	3	2
143	что она	5	2
144	относится к	2	2
145	отнюдь не	3	2
146	ни одного	2	2
147	только то	3	2
148	каждой из	2	2
149	не по	3	2
150	сих пор	8	2
151	и дальше	2	2
152	все они	2	2
153	от того	5	2
154	между прочим	8	2
155	примеров можно	2	2
156	вообще и	3	2
157	бы не	3	2
158	а в	5	2
159	в особенности	2	2
160	как об	2	2
161	и через	2	2
162	еще и	2	2
163	с одной	4	2
164	чтобы не	2	2
165	заключается в	4	2
166	того чтобы	11	2
167	что такое	4	2
168	само собою	2	2
169	отметить что	3	2
170	можно было	11	2
171	с другими	2	2
172	тому как	2	2
173	не столько	4	2
174	также и	5	2
175	во всяком	2	2
176	также что	2	2
177	хотя и	5	2
178	лишь в	8	2
179	не о	2	2
180	он в	2	2
181	он не	3	2
182	они не	3	2
183	этого рода	3	2
184	как например	2	2
185	к его	2	2
186	говорить о	6	2
187	что мы	2	2
188	того или	3	2
189	как он	2	2
190	которые в	4	2
191	в чем	5	2
192	в области	14	2
193	могло бы	3	2
194	тогда когда	4	2
195	о чем	2	2
196	но в	2	2
