N	2gram	Tiupa_Vved_1	Narrotol
1	не только	20	32
2	может быть	18	25
3	но и	19	23
4	в качестве	8	21
5	и не	12	20
6	и в	13	19
7	то есть	8	19
8	в том	10	18
9	в этом	21	17
10	в тексте	10	16
11	в частности	13	14
12	том что	7	14
13	не в	6	14
14	состоит в	10	13
15	в рамках	4	12
16	а не	15	12
17	своего рода	10	12
18	тогда как	10	12
19	коммуникативного события	5	12
20	представляет собой	15	12
21	то что	6	11
22	а в	6	11
23	не может	7	10
24	нарративного дискурса	5	9
25	при этом	26	9
26	со стороны	5	9
27	так и	8	9
28	в его	4	9
29	в мире	8	9
30	с другой	5	8
31	не является	3	8
32	во времени	2	8
33	и т.п	9	8
34	в себе	5	8
35	времени и	7	7
36	и т.д	5	7
37	в случае	2	7
38	как и	11	7
39	еще не	7	7
40	к тому	6	7
41	такого рода	16	7
42	а также	8	7
43	все же	6	7
44	как в	4	7
45	по отношению	7	7
46	с одной	5	7
47	одной стороны	5	7
48	отношению к	7	6
49	но не	5	6
50	точка зрения	3	6
51	в той	4	6
52	тем самым	5	6
53	иначе говоря	6	6
54	о том	5	6
55	но в	6	6
56	отнюдь не	7	5
57	по себе	2	5
58	или иной	3	5
59	можно сказать	4	5
60	картина мира	12	5
61	тому же	4	5
62	картины мира	5	5
63	не все	2	5
64	нарративный дискурс	2	5
65	события рассказывания	2	5
66	уже не	5	5
67	и его	5	5
68	в данном	13	5
69	в основе	3	5
70	между двумя	3	5
71	в отличие	2	5
72	отличие от	2	5
73	далеко не	4	5
74	мира в	8	5
75	перед нами	6	4
76	во втором	2	4
77	прежде всего	7	4
78	одного из	3	4
79	несобственно-прямой речи	2	4
80	в нем	5	4
81	то же	5	4
82	в силу	2	4
83	в противовес	3	4
84	при всей	2	4
85	же время	3	4
86	было бы	4	4
87	вслед за	2	4
88	имеет место	4	4
89	той или	3	4
90	как бы	4	4
91	и тем	2	4
92	данном случае	6	4
93	другой стороны	2	4
94	или напротив	2	4
95	те же	2	4
96	нарративного текста	5	4
97	не столько	4	4
98	в рассказе	6	4
99	только в	6	4
100	как правило	6	4
101	героя и	3	4
102	здесь не	2	4
103	пока еще	4	4
104	и с	2	4
105	не существует	2	3
106	не менее	4	3
107	по мысли	5	3
108	а с	2	3
109	жизни в	4	3
110	что в	3	3
111	могут быть	4	3
112	никогда не	4	3
113	восходит к	2	3
114	из этих	3	3
115	но о	2	3
116	повествовательного текста	3	3
117	в свою	4	3
118	тем не	3	3
119	различного рода	3	3
120	одна из	4	3
121	свою очередь	4	3
122	хотя и	7	3
123	в ней	4	3
124	он не	3	3
125	обратимся к	2	3
126	если в	2	3
127	один из	3	3
128	не с	3	3
129	в первом	2	3
130	статус события	3	3
131	жизни и	7	3
132	коммуникативное событие	6	3
133	бытия в	2	3
134	на него	2	3
135	свидетель и	2	3
136	этом отношении	4	3
137	повествуемого мира	6	3
138	как мы	3	3
139	сводится к	4	3
140	истории в	5	3
141	или иначе	2	3
142	нарратологического анализа	3	3
143	и на	3	3
144	о ней	4	3
145	будто бы	3	3
146	тем что	2	3
147	не о	2	3
148	по своей	3	3
149	в то	4	3
150	как будто	4	3
151	присутствия в	7	3
152	дело с	2	2
153	этом ряду	2	2
154	художественного высказывания	2	2
155	бы не	2	2
156	зависит от	2	2
157	дискурс в	2	2
158	рассказываемой истории	4	2
159	должна быть	2	2
160	с человеком	2	2
161	очевидным образом	2	2
162	действующее лицо	2	2
163	между собой	2	2
164	которая в	3	2
165	в своем	5	2
166	в какой	4	2
167	текста в	3	2
168	нарративной истории	2	2
169	в нарративном	2	2
170	не как	2	2
171	современной нарратологии	4	2
172	не могло	2	2
173	эпизоды и	2	2
174	не всегда	2	2
175	в литературе	2	2
176	не сводится	4	2
177	и представляет	2	2
178	что на	2	2
179	точек зрения	2	2
180	по выражению	2	2
181	рассказывания в	4	2
182	аспект нарративного	2	2
183	чтобы стать	2	2
184	и судии	3	2
185	есть в	2	2
186	более или	2	2
187	у нее	2	2
188	референтное событие	2	2
189	имеем дело	3	2
190	для него	3	2
191	в пределах	2	2
192	в аспекте	2	2
193	например в	2	2
194	наряду с	2	2
195	коммуникативной ситуации	3	2
196	в молчание	2	2
197	события но	2	2
198	не имеет	2	2
199	по сути	2	2
200	картину мира	3	2
201	и судия	2	2
202	рассказа о	2	2
203	повествование может	2	2
204	или менее	2	2
205	приводит к	2	2
206	который в	2	2
207	отношение к	2	2
208	как раз	2	2
209	не было	2	2
210	самом деле	3	2
211	что мы	2	2
212	времени в	3	2
213	одним из	5	2
214	и для	3	2
215	это не	6	2
216	можно было	2	2
217	тому как	2	2
218	являет собой	2	2
219	в результате	3	2
220	участок текста	2	2
221	нового времени	3	2
222	однако в	4	2
223	всей его	2	2
224	следует признать	4	2
225	подобно тому	2	2
226	что касается	5	2
227	всей своей	2	2
228	говорить о	2	2
229	исходя из	2	2
230	художественного текста	2	2
231	без исключения	2	2
232	и соответственно	2	2
233	и все	4	2
234	рассказ в	2	2
235	представляют собой	3	2
236	всего лишь	5	2
237	мира и	2	2
238	мы имеем	5	2
239	к которому	2	2
240	о чем	2	2
