N	2gram	Vinokur_Vv_1	Analitik
1	в качестве	7	31
2	может быть	24	29
3	в том	31	27
4	не может	13	22
5	и не	13	21
6	в частности	3	19
7	и в	27	18
8	а не	3	17
9	но и	5	17
10	представляет собой	12	16
11	не только	21	15
12	тогда как	2	14
13	не в	8	14
14	как и	5	13
15	в его	10	13
16	в этом	34	13
17	литературное произведение	2	12
18	том что	26	12
19	при этом	3	12
20	состоит в	2	11
21	в себе	4	11
22	но не	7	10
23	то же	8	9
24	а в	5	9
25	в то	5	9
26	есть не	3	8
27	текста и	3	8
28	не есть	4	8
29	в той	7	8
30	в принципе	2	8
31	нуждается в	2	8
32	но в	10	8
33	к тому	4	7
34	особого рода	4	7
35	том чтобы	6	7
36	этого слова	2	7
37	времени и	4	6
38	это не	8	6
39	прежде всего	8	6
40	же время	5	6
41	в самом	12	6
42	в сущности	3	6
43	себя в	2	6
44	должен быть	4	6
45	то что	17	6
46	в своей	4	6
47	в отличие	3	6
48	отличие от	3	6
49	по отношению	4	6
50	точки зрения	7	6
51	только в	13	6
52	мы имеем	3	6
53	и того	2	5
54	и как	9	5
55	в этой	3	5
56	что в	11	5
57	такого рода	2	5
58	как бы	5	5
59	отношению к	4	5
60	в целом	5	5
61	в тексте	4	5
62	в их	11	5
63	и его	5	5
64	между тем	8	5
65	и на	3	5
66	что иное	4	5
67	о том	15	5
68	иное как	5	5
69	на вопрос	6	4
70	того что	12	4
71	истории литературы	3	4
72	могут быть	4	4
73	с другой	8	4
74	по себе	9	4
75	не что	4	4
76	в широком	7	4
77	большей или	2	4
78	того же	3	4
79	для того	21	4
80	в области	4	4
81	не с	2	4
82	все же	8	4
83	вместе с	6	4
84	дело с	6	4
85	именно в	8	4
86	из того	2	4
87	уже не	5	4
88	из которых	2	4
89	с точки	2	4
90	или меньшей	2	4
91	в другом	3	4
92	не следует	2	4
93	не могут	5	3
94	однако не	4	3
95	и есть	3	3
96	однако в	3	3
97	хотя бы	5	3
98	в собственном	2	3
99	в нем	13	3
100	что он	4	3
101	и т	43	3
102	в силу	3	3
103	еще не	4	3
104	одной стороны	4	3
105	что не	5	3
106	одним из	5	3
107	в котором	4	3
108	дело не	3	3
109	что и	3	3
110	ни с	2	3
111	а именно	6	3
112	таким образом	19	3
113	с одной	4	3
114	от себя	3	3
115	того чтобы	21	3
116	к нему	2	3
117	мере в	4	3
118	т п	5	3
119	как будто	3	3
120	что мы	2	3
121	будто бы	2	3
122	как он	6	3
123	а также	3	3
124	если бы	2	3
125	своего рода	3	3
126	и то	5	2
127	взгляде на	2	2
128	никогда не	3	2
129	все эти	3	2
130	для этого	3	2
131	в какой	4	2
132	первом случае	2	2
133	не столько	2	2
134	из этих	5	2
135	научного анализа	2	2
136	тогда когда	3	2
137	не просто	4	2
138	он написан	2	2
139	вовсе не	6	2
140	вопрос о	8	2
141	или иных	3	2
142	как уже	2	2
143	его к	2	2
144	что именно	2	2
145	той мере	4	2
146	а как	3	2
147	можно сказать	3	2
148	об искусстве	4	2
149	тех или	3	2
150	в начале	3	2
151	соответствии с	2	2
152	должно быть	2	2
153	и сам	2	2
154	отношение к	3	2
155	к тексту	2	2
156	было бы	5	2
157	несмотря на	2	2
158	как совокупность	2	2
159	свое время	2	2
160	она есть	5	2
161	в свое	2	2
162	науки о	9	2
163	широком смысле	8	2
164	один из	6	2
165	какой бы	2	2
166	представляют собой	6	2
167	не к	2	2
168	из них	3	2
169	не говоря	2	2
170	и до	2	2
171	данном случае	5	2
172	со стороны	12	2
173	что же	3	2
174	и тогда	3	2
175	другой стороны	5	2
176	здесь не	2	2
177	на этом	3	2
178	той же	4	2
179	этом отношении	3	2
180	самом деле	6	2
181	может служить	3	2
182	текст и	3	2
183	следует что	2	2
184	как мы	9	2
185	каждый из	2	2
186	также и	16	2
187	культуры в	5	2
188	тем более	2	2
189	в данном	11	2
190	одного и	2	2
191	же самое	2	2
192	и заключается	4	2
193	при помощи	2	2
194	в первом	5	2
195	так как	13	2
196	потому что	14	2
197	и с	2	2
