N	2gram	Berdyaev_V_1	Narrotol
1	не только	2	32
2	но и	5	23
3	и не	20	20
4	и в	16	19
5	в том	3	18
6	в этом	4	17
7	том что	2	14
8	не в	3	14
9	а не	7	12
10	то что	9	11
11	а в	2	11
12	так и	4	9
13	в его	4	9
14	в мире	5	9
15	как и	4	7
16	еще не	8	7
17	к тому	3	7
18	с его	3	6
19	что он	4	6
20	но не	2	6
21	в себя	2	6
22	но в	3	6
23	в форме	2	5
24	уже не	2	5
25	мира в	2	5
26	прежде всего	2	4
27	в нем	4	4
28	что не	4	4
29	да и	2	4
30	если не	3	4
31	вслед за	2	4
32	как бы	5	4
33	хотя бы	3	4
34	только в	2	4
35	а с	2	3
36	что в	3	3
37	могут быть	2	3
38	никогда не	3	3
39	в прошлом	2	3
40	ни в	3	3
41	что они	7	3
42	одна из	2	3
43	на том	2	3
44	хотя и	5	3
45	в ней	4	3
46	один из	2	3
47	не с	2	3
48	не есть	6	3
49	не будет	2	3
50	жизни и	3	3
51	между тем	2	3
52	тем что	2	3
53	на себя	5	3
54	должна быть	3	2
55	оно не	3	2
56	которым можно	2	2
57	для него	2	2
58	они в	3	2
59	и потому	7	2
60	нет и	2	2
61	не имеет	3	2
62	нет у	4	2
63	не было	3	2
64	все эти	3	2
65	что мы	4	2
66	и для	3	2
67	это не	2	2
68	можно было	2	2
69	говорить о	4	2
70	и все	4	2
71	это все	2	2
72	истории и	2	2
