N	2gram	Vygotskiy__4	Russkaja
1	не может	10	22
2	и не	13	19
3	в том	21	17
4	в этом	28	17
5	и в	33	14
6	с другом	4	14
7	друг с	4	14
8	то что	44	13
9	таким образом	13	11
10	то же	9	11
11	точки зрения	6	11
12	же время	2	10
13	но и	3	10
14	в то	3	10
15	том что	22	9
16	не только	7	9
17	в себе	6	9
18	с точки	4	9
19	может быть	22	9
20	во всяком	3	9
21	прежде всего	2	8
22	того чтобы	22	8
23	как на	6	8
24	к тому	12	7
25	и если	9	7
26	не будет	4	7
27	самом деле	12	7
28	мы должны	6	7
29	о том	20	7
30	и с	2	7
31	если бы	10	6
32	на самом	6	6
33	что он	20	6
34	и к	2	6
35	с тем	4	6
36	к которой	3	6
37	для того	23	6
38	всяком случае	3	6
39	все это	13	6
40	в своем	7	6
41	и для	3	6
42	в своих	3	6
43	хотя бы	2	5
44	вопрос о	2	5
45	на то	10	5
46	и на	5	5
47	при этом	2	5
48	до сих	3	5
49	было бы	12	5
50	конечно не	3	5
51	в своей	4	5
52	он не	11	5
53	никогда не	5	5
54	в нем	7	5
55	сих пор	3	5
56	во всех	2	5
57	и только	7	5
58	по существу	2	5
59	из которых	3	5
60	а в	4	5
61	потому что	24	5
62	только в	4	5
63	но не	3	4
64	что в	21	4
65	в мире	3	4
66	как и	5	4
67	ли это	3	4
68	как бы	25	4
69	себе и	2	4
70	все же	5	4
71	себя в	4	4
72	бы то	2	4
73	жизни и	4	4
74	вместе с	8	4
75	со стороны	2	4
76	в их	2	4
77	тому чтобы	3	4
78	не в	2	4
79	можно было	4	4
80	что такой	2	4
81	и то	2	4
82	в этой	9	4
83	во всем	2	4
84	в его	10	4
85	его в	3	4
86	так как	12	4
87	к этой	3	4
88	что это	13	3
89	именно в	2	3
90	из этих	2	3
91	в конце	8	3
92	что все	11	3
93	что может	3	3
94	о которых	2	3
95	всех этих	3	3
96	да и	3	3
97	и как	5	3
98	что они	6	3
99	так чтобы	2	3
100	должно быть	3	3
101	в самом	12	3
102	том чтобы	4	3
103	но если	3	3
104	знаем что	4	3
105	и потому	2	3
106	и этот	3	3
107	для этого	8	3
108	но мы	2	3
109	то это	3	3
110	что и	3	3
111	и т	6	3
112	из них	4	3
113	все они	2	3
114	не было	3	3
115	что оно	3	3
116	и сейчас	3	3
117	сводится к	2	3
118	того что	4	3
119	что для	5	3
120	тем что	3	3
121	в виде	3	3
122	говорить о	3	3
123	связи с	2	3
124	из этого	5	3
125	конце концов	3	3
126	одна из	4	3
127	в порядке	4	2
128	место в	2	2
129	а с	2	2
130	сама по	3	2
131	нисколько не	5	2
132	и есть	4	2
133	в частности	4	2
134	у него	6	2
135	его и	2	2
136	бы его	3	2
137	и от	2	2
138	с этим	5	2
139	точно так	3	2
140	этот вопрос	4	2
141	это в	4	2
142	ясно что	5	2
143	по себе	9	2
144	ни в	3	2
145	к такому	2	2
146	так что	7	2
147	не можем	3	2
148	указывает на	3	2
149	она не	3	2
150	совершенно не	4	2
151	за то	3	2
152	и о	4	2
153	в ней	6	2
154	и является	2	2
155	но совершенно	4	2
156	в котором	2	2
157	речь идет	3	2
158	для нас	7	2
159	ее в	4	2
160	сделать это	3	2
161	даже не	2	2
162	тому что	6	2
163	целый ряд	5	2
164	все эти	6	2
165	не просто	4	2
166	и вот	6	2
167	и что	25	2
168	тем самым	3	2
169	а не	6	2
170	стоит только	2	2
171	и наконец	2	2
172	так же	13	2
173	в таком	4	2
174	в результате	2	2
175	их в	3	2
176	больше чем	2	2
177	мы можем	5	2
178	мы уже	5	2
179	во время	6	2
180	как будто	8	2
181	другом и	2	2
182	только с	2	2
183	с ним	5	2
184	но в	2	2
