N	2gram	Savitsky_E_1	Komedia
1	и в	37	22
2	и не	14	21
3	т е	9	16
4	том что	6	13
5	в том	11	12
6	таким образом	2	12
7	со стороны	5	11
8	так как	7	11
9	потому что	3	10
10	в самом	4	9
11	вместе с	2	9
12	если бы	2	8
13	в своем	14	8
14	к ней	4	8
15	в его	2	8
16	что и	3	8
17	в этом	12	8
18	о том	3	8
19	в свою	3	7
20	то же	15	7
21	а в	2	7
22	свою очередь	2	6
23	того же	3	6
24	для того	6	6
25	к тому	8	6
26	может быть	6	6
27	и что	2	6
28	того чтобы	6	6
29	в то	16	6
30	что в	21	5
31	же время	14	5
32	прежде всего	9	5
33	как это	4	5
34	хотя и	2	5
35	не только	18	5
36	в своей	8	5
37	из них	3	5
38	он не	2	5
39	тем что	3	5
40	более чем	2	5
41	к нему	2	5
42	в которых	3	5
43	но в	14	5
44	с тем	3	4
45	отнюдь не	9	4
46	между собой	2	4
47	с другой	7	4
48	вовсе не	6	4
49	не в	5	4
50	не дает	3	4
51	несмотря на	4	4
52	в ней	4	4
53	тем более	4	4
54	то что	6	4
55	когда он	3	4
56	но и	14	4
57	что к	2	4
58	в отношении	32	4
59	а не	2	4
60	и для	3	4
61	так же	9	4
62	точки зрения	23	4
63	на себя	3	4
64	в себе	9	4
65	бы в	2	4
66	так и	10	4
67	не является	3	4
68	хотя бы	15	4
69	и поэтому	2	4
70	и с	2	4
71	на месте	2	3
72	в частности	5	3
73	никогда не	3	3
74	в них	3	3
75	то ни	4	3
76	в какой	2	3
77	на них	2	3
78	с этой	6	3
79	с этим	2	3
80	на долю	3	3
81	себе в	3	3
82	далеко не	2	3
83	идет о	3	3
84	на то	6	3
85	и к	3	3
86	и еще	2	3
87	в ее	8	3
88	как и	7	3
89	в этой	2	3
90	чем в	4	3
91	по своему	7	3
92	одной стороны	8	3
93	было бы	8	3
94	и мы	3	3
95	к ним	3	3
96	на этот	2	3
97	как бы	6	3
98	не может	9	3
99	с одной	8	3
100	в течение	5	3
101	из того	2	3
102	с точки	17	3
103	столь же	5	3
104	и даже	6	3
105	не имеет	4	3
106	в других	2	3
107	одной из	5	3
108	мы можем	3	3
109	во всяком	3	3
110	но если	5	3
111	представляет собой	3	3
112	всяком случае	3	3
113	ни было	4	2
114	в качестве	14	2
115	сравнению с	2	2
116	обстоит дело	3	2
117	как в	3	2
118	не будет	3	2
119	и все	2	2
120	в одном	2	2
121	представление о	2	2
122	именно потому	2	2
123	не могут	2	2
124	для понимания	2	2
125	стороны и	6	2
126	иначе обстоит	2	2
127	из всех	3	2
128	в силу	2	2
129	она не	2	2
130	бы то	4	2
131	в пределах	25	2
132	даже при	2	2
133	и если	2	2
134	известной степени	3	2
135	а также	7	2
136	между ними	2	2
137	в котором	2	2
138	и со	3	2
139	в развитии	2	2
140	по сравнению	2	2
141	во всех	6	2
142	наряду с	2	2
143	на основании	2	2
144	в их	11	2
145	как мы	5	2
146	другой стороны	2	2
147	целый ряд	2	2
148	в известной	3	2
149	этом отношении	3	2
150	мы не	4	2
151	является ли	3	2
152	в мире	2	2
153	с другими	2	2
154	в таком	3	2
155	можно было	3	2
156	меньше чем	2	2
157	в своих	2	2
158	и на	6	2
159	в результате	3	2
160	между тем	8	2
161	и во	2	2
162	его на	2	2
163	всего лишь	3	2
164	в области	11	2
