N	2gram	Losev_Prob_1	Analitik
1	в этом	19	18
2	и в	32	16
3	не только	17	16
4	так и	12	15
5	как и	3	14
6	в том	9	12
7	но и	9	12
8	и не	31	12
9	том что	12	12
10	в качестве	2	11
11	могут быть	2	10
12	как бы	14	10
13	при этом	6	10
14	а не	15	10
15	и даже	11	9
16	в этой	10	9
17	ничего не	10	9
18	то есть	33	9
19	в данном	9	8
20	отнюдь не	10	8
21	к тому	3	7
22	в себе	15	7
23	то что	42	7
24	особенно в	2	7
25	о том	11	7
26	а также	4	7
27	с другой	3	6
28	в самом	6	6
29	и на	8	6
30	говорить о	6	6
31	может быть	14	6
32	как это	6	6
33	но в	14	6
34	говорит о	3	5
35	данном случае	8	5
36	на себя	2	5
37	не менее	19	4
38	только не	3	4
39	в своем	5	4
40	в конце	6	4
41	можно сказать	5	4
42	о его	2	4
43	этом случае	2	4
44	уже не	3	4
45	не в	4	4
46	за пределы	6	4
47	но не	9	4
48	того же	3	4
49	тем самым	4	4
50	для него	2	4
51	в сущности	2	4
52	по преимуществу	2	4
53	и является	7	4
54	и особенно	2	4
55	и тем	13	4
56	во всех	7	4
57	как в	4	4
58	все это	7	4
59	как раз	13	4
60	не может	8	4
61	и его	3	4
62	то же	10	4
63	хотя и	6	4
64	он в	2	4
65	точки зрения	3	4
66	только в	7	4
67	в сознании	5	4
68	содержит в	7	3
69	казалось бы	4	3
70	никогда не	7	3
71	по крайней	2	3
72	прежде всего	10	3
73	или иного	2	3
74	или иной	5	3
75	тем не	18	3
76	его от	3	3
77	так что	6	3
78	есть в	5	3
79	по поводу	4	3
80	было бы	8	3
81	в действительности	3	3
82	крайней мере	2	3
83	несмотря на	3	3
84	и если	6	3
85	мы имеем	2	3
86	на его	2	3
87	ни о	5	3
88	или в	4	3
89	той или	5	3
90	из них	3	3
91	в их	4	3
92	только на	4	3
93	если бы	4	3
94	именно в	4	3
95	того или	2	3
96	можно было	3	3
97	а в	4	3
98	как мы	7	3
99	тому как	2	3
100	и то	6	3
101	в результате	2	3
102	тем что	7	3
103	подобно тому	2	3
104	как будто	3	3
105	едва ли	2	3
106	в эту	2	3
107	я и	2	3
108	и все	7	3
109	того что	7	2
110	уже и	3	2
111	тот кто	2	2
112	вообще не	2	2
113	что все	3	2
114	этом смысле	6	2
115	в случае	3	2
116	вовсе не	35	2
117	или иных	2	2
118	по себе	15	2
119	на то	8	2
120	его как	2	2
121	по существу	2	2
122	ведь это	2	2
123	что в	12	2
124	она не	2	2
125	еще не	9	2
126	о чем	6	2
127	такого рода	7	2
128	в своей	8	2
129	текста и	5	2
130	некоторого рода	5	2
131	не о	2	2
132	в таких	2	2
133	в котором	5	2
134	себе не	3	2
135	один из	4	2
136	это было	2	2
137	не есть	29	2
138	на этой	2	2
139	вместе с	2	2
140	что она	5	2
141	другой стороны	3	2
142	вообще и	4	2
143	в нас	2	2
144	собственно говоря	2	2
145	таким образом	6	2
146	здесь в	3	2
147	тех или	3	2
148	этих случаях	3	2
149	свидетельствует о	3	2
150	на этот	3	2
151	не имеет	2	2
152	и для	4	2
153	с точки	3	2
154	так же	9	2
155	в таком	9	2
156	и до	2	2
157	никак не	4	2
158	между тем	2	2
159	и во	3	2
160	одно из	2	2
161	он не	3	2
162	он и	8	2
163	к его	2	2
164	это только	2	2
165	в то	6	2
166	в его	6	2
167	его в	6	2
168	в этих	3	2
169	таком случае	6	2
170	сказать что	13	2
171	с ним	3	2
172	особого рода	2	2
