N	2gram	Losev_Dial_2	Literetu
1	и не	30	22
2	и в	19	16
3	в мире	2	16
4	при этом	4	15
5	не только	19	14
6	но и	12	14
7	в этом	8	14
8	а не	16	12
9	то что	14	12
10	может быть	20	12
11	в том	14	12
12	в частности	2	11
13	не в	8	10
14	я и	2	10
15	то же	12	9
16	так и	10	9
17	того что	6	9
18	в то	6	9
19	в жизни	2	8
20	том что	10	8
21	не может	9	8
22	в этой	3	8
23	как бы	14	8
24	в своей	8	7
25	же время	5	7
26	себя в	2	7
27	точки зрения	12	7
28	только в	5	7
29	с другой	5	6
30	к тому	2	6
31	еще не	4	6
32	и его	5	6
33	в себе	15	6
34	в другом	4	6
35	о том	5	6
36	это не	10	5
37	что он	6	5
38	в ее	4	5
39	субъекта и	4	5
40	как и	10	5
41	вместе с	2	5
42	как в	2	5
43	а именно	5	5
44	а в	4	5
45	именно в	2	5
46	что я	2	5
47	в поэзии	7	5
48	но не	6	4
49	никогда не	9	4
50	даже в	3	4
51	и если	4	4
52	говоря уже	2	4
53	из них	3	4
54	не говоря	2	4
55	данном случае	2	4
56	с одной	2	4
57	должно быть	7	4
58	в данном	3	4
59	одно из	4	4
60	как будто	7	4
61	в одном	4	4
62	все время	3	3
63	личности в	8	3
64	отнюдь не	6	3
65	взгляд на	2	3
66	прежде всего	8	3
67	а я	2	3
68	и как	10	3
69	о чем	3	3
70	совершенно не	7	3
71	например в	2	3
72	и к	7	3
73	на его	2	3
74	в самом	5	3
75	с ее	2	3
76	жизни и	6	3
77	бы и	2	3
78	это как	3	3
79	уже не	3	3
80	самом деле	4	3
81	с точки	8	3
82	потому что	14	3
83	обратим внимание	2	3
84	по своей	4	3
85	уже о	2	3
86	как это	7	3
87	в области	2	3
88	но в	2	3
89	между тем	2	3
90	в противоположность	2	2
91	сознания и	5	2
92	что в	7	2
93	она и	2	2
94	не менее	3	2
95	так или	2	2
96	что у	2	2
97	не как	2	2
98	в конце	2	2
99	я не	6	2
100	не знаю	2	2
101	вопрос о	3	2
102	по себе	18	2
103	ни с	4	2
104	в нем	10	2
105	же в	2	2
106	раз в	2	2
107	и при	2	2
108	связи с	4	2
109	так чтобы	2	2
110	можно сказать	5	2
111	было бы	3	2
112	что не	6	2
113	несмотря на	2	2
114	во всех	2	2
115	не могу	6	2
116	поэзии и	4	2
117	той или	4	2
118	то это	2	2
119	что и	5	2
120	все же	4	2
121	и тогда	3	2
122	как мы	3	2
123	так же	2	2
124	как раз	5	2
125	и только	4	2
126	по этой	2	2
127	и вот	4	2
128	другой стороны	4	2
129	и даже	14	2
130	на свете	5	2
131	но без	3	2
132	или иначе	2	2
133	с ними	2	2
134	в своих	2	2
135	и с	5	2
136	еще на	2	2
137	быть только	2	2
138	тем что	2	2
139	же самое	2	2
140	его в	3	2
141	и потому	5	2
142	ее в	2	2
