N	2gram	Potebnia_M_2	Literetu
1	и не	19	22
2	тогда как	10	17
3	и в	24	16
4	при этом	13	15
5	не только	15	14
6	но и	9	14
7	в этом	8	14
8	а не	18	12
9	то что	20	12
10	может быть	23	12
11	в том	18	12
12	не в	13	10
13	то же	12	9
14	так и	5	9
15	того что	7	9
16	в то	6	9
17	в жизни	2	8
18	том что	8	8
19	не может	12	8
20	как бы	9	8
21	же время	2	7
22	со стороны	3	7
23	тем самым	4	7
24	только в	11	7
25	с его	2	6
26	состоит в	2	6
27	с другой	6	6
28	еще не	4	6
29	в его	2	6
30	и его	2	6
31	в себе	10	6
32	в другом	2	6
33	о том	5	6
34	это не	3	5
35	что он	4	5
36	как и	7	5
37	в целом	3	5
38	вместе с	11	5
39	как в	10	5
40	а в	8	5
41	то есть	30	5
42	место в	4	4
43	но не	12	4
44	никогда не	4	4
45	одной стороны	3	4
46	и если	4	4
47	и для	3	4
48	хотя и	3	4
49	из них	5	4
50	в природе	5	4
51	по отношению	2	4
52	с одной	4	4
53	должно быть	2	4
54	одно из	3	4
55	в одном	6	4
56	только для	5	3
57	прежде всего	7	3
58	и как	6	3
59	например в	3	3
60	в самом	4	3
61	вслед за	3	3
62	в слове	13	3
63	и тем	3	3
64	в словах	3	3
65	уже не	4	3
66	самом деле	2	3
67	как на	3	3
68	той же	3	3
69	тому как	4	3
70	потому что	49	3
71	там где	4	3
72	как это	2	3
73	отношения к	2	3
74	но в	4	3
75	между тем	6	3
76	ни было	3	2
77	что в	16	2
78	не менее	5	2
79	если бы	11	2
80	быть может	7	2
81	что у	2	2
82	оно не	3	2
83	не как	3	2
84	к этому	2	2
85	вопрос о	2	2
86	по себе	15	2
87	и вместе	4	2
88	ни с	2	2
89	на то	5	2
90	в нем	9	2
91	же в	5	2
92	у нас	2	2
93	и при	3	2
94	связи с	6	2
95	это последнее	4	2
96	что ему	2	2
97	того же	14	2
98	в свою	6	2
99	для него	10	2
100	было бы	13	2
101	что не	5	2
102	во всех	7	2
103	от себя	2	2
104	себя и	2	2
105	один из	2	2
106	не с	3	2
107	то это	3	2
108	что и	11	2
109	все же	5	2
110	и тогда	3	2
111	последнее имеет	2	2
112	внимание на	2	2
113	так же	2	2
114	в нас	3	2
115	как например	3	2
116	а и	5	2
117	и только	6	2
118	быть не	3	2
119	если не	4	2
120	и наоборот	5	2
121	человека в	3	2
122	того чтобы	2	2
123	для того	5	2
124	о которой	3	2
125	другой стороны	2	2
126	с ними	3	2
127	и на	8	2
128	быть только	2	2
129	тем что	7	2
130	подобно тому	4	2
131	далеко не	3	2
132	могли бы	2	2
133	его в	3	2
134	и потому	2	2
135	это будет	3	2
136	если это	2	2
137	одном из	4	2
138	для меня	4	2
139	вне себя	2	2
