N	2gram	Nazirov_Tv_2	Poddanst
1	не только	13	17
2	и в	20	14
3	и не	9	12
4	в этом	8	10
5	то же	7	9
6	в том	8	9
7	но в	4	9
8	же время	7	7
9	в то	10	7
10	только в	2	7
11	быть может	3	6
12	но и	8	6
13	xix века	7	6
14	а н	2	5
15	с другой	2	5
16	а я	2	5
17	не в	4	5
18	в которых	3	5
19	может быть	8	5
20	в котором	3	4
21	то что	3	4
22	что в	7	4
23	если бы	4	4
24	не может	7	4
25	а в	4	4
26	том что	4	4
27	и если	2	4
28	в русской	2	4
29	как бы	11	4
30	и потому	4	4
31	в нем	3	3
32	и т	13	3
33	в россии	2	3
34	и без	2	3
35	это не	7	3
36	прежде всего	8	3
37	тем самым	4	3
38	сводится к	2	3
39	мы не	4	3
40	с ними	2	3
41	между тем	3	3
42	но не	5	3
43	могут быть	2	3
44	в себе	3	3
45	наряду с	7	3
46	потому что	7	3
47	хотя и	4	3
48	не менее	2	2
49	в мире	5	2
50	именно в	6	2
51	и есть	2	2
52	в частности	2	2
53	отнюдь не	4	2
54	все это	6	2
55	не столько	2	2
56	в xix	2	2
57	и других	2	2
58	а не	6	2
59	в которую	2	2
60	в ее	2	2
61	говорить о	2	2
62	одна из	3	2
63	в виде	2	2
64	не было	2	2
65	в начале	3	2
66	из них	2	2
67	xix веке	2	2
68	и мы	3	2
69	например в	5	2
70	и это	3	2
71	в статье	2	2
72	в его	10	2
73	и с	8	2
