N	3gram	Voloshinov_1	Vladivir
1	в том что	3	10
2	тем не менее	2	9
3	с точки зрения	20	6
4	не может быть	13	6
5	в конце концов	3	5
6	в этом смысле	2	3
7	в отличие от	5	3
8	в то же	3	3
9	бы то ни	8	3
10	во всяком случае	2	3
11	в настоящее время	6	3
12	то же время	3	2
13	так же как	2	2
14	на первый план	2	2
15	в связи с	7	2
16	в таком случае	2	2
17	себе отчет в	2	2
18	на самом же	2	2
19	ничего общего с	2	2
20	далеко за пределы	2	2
21	с другой стороны	5	2
22	в этом отношении	3	2
23	сводится к тому	2	2
24	как мы знаем	5	2
25	самом же деле	2	2
