N	2gram	Berdyaev_M_1	VrazhdaK
1	в бесах	2	10
2	и достоевского	2	9
3	достоевского с	2	9
4	не только	29	9
5	достоевский в	5	8
6	достоевский и	3	8
7	в этом	20	8
8	и что	2	8
9	и в	28	8
10	достоевского в	9	7
11	но и	25	7
12	что в	10	7
13	достоевского и	10	7
14	то что	5	7
15	и все	10	7
16	в котором	8	6
17	в нем	13	6
18	все же	2	6
19	как и	5	6
20	в начале	2	6
21	к достоевскому	8	6
22	но в	7	6
23	и с	3	6
24	о нем	2	6
25	не было	18	5
26	и не	11	5
27	у него	17	5
28	в то	2	5
29	в россии	2	5
30	уже в	4	4
31	для нас	3	4
32	у достоевского	42	4
33	как бы	2	4
34	подпольного человека	7	4
35	все это	6	4
36	это не	5	4
37	достоевского не	4	4
38	что он	10	4
39	что достоевский	4	4
40	в дневнике	2	4
41	с ним	2	4
42	может быть	30	4
43	в истории	2	4
44	о том	2	4
45	в ней	15	4
46	в виду	2	4
47	в этот	2	3
48	с его	3	3
49	который был	2	3
50	в своем	10	3
51	эти слова	2	3
52	я хотел	2	3
53	и во	2	3
54	что есть	5	3
55	сам достоевский	3	3
56	о себе	3	3
57	в конце	7	3
58	т е	2	3
59	к этому	2	3
60	человека в	13	3
61	и у	2	3
62	достоевского о	2	3
63	он был	14	3
64	в том	6	3
65	и его	9	3
66	достоевского к	5	3
67	том что	3	3
68	и как	2	3
69	тем что	4	3
70	достоевский не	6	3
71	в его	9	3
72	его в	3	3
73	из подполья	10	3
74	но он	9	3
75	одним из	2	3
76	он не	24	3
77	место в	2	2
78	его с	2	2
79	о достоевском	7	2
80	он сам	6	2
81	в своей	15	2
82	и это	12	2
83	достоевского –	9	2
84	никогда не	14	2
85	вместе с	6	2
86	в них	4	2
87	человека с	2	2
88	и достоевский	12	2
89	не может	28	2
90	а в	4	2
91	отношения к	4	2
92	в той	2	2
93	уже не	4	2
94	не мог	3	2
95	и он	12	2
96	достоевского он	7	2
97	в этой	6	2
98	в момент	3	2
99	достоевский был	9	2
100	точки зрения	4	2
101	в свою	2	2
102	в себе	7	2
103	отношение к	4	2
104	для него	11	2
105	о чем	2	2
106	в мире	10	2
107	великих писателей	2	2
108	личность и	2	2
109	в него	3	2
