N	2gram	Vinokur_Vv_1	VeschiIm
1	не есть	4	49
2	т е	38	42
3	не может	13	33
4	не только	21	31
5	может быть	24	29
6	и не	13	28
7	и в	27	26
8	то что	17	24
9	и есть	3	23
10	и т	43	21
11	т д	37	20
12	а не	3	20
13	не просто	4	18
14	есть только	2	17
15	что она	3	14
16	только в	13	14
17	и что	4	13
18	того что	12	13
19	по себе	9	13
20	что это	3	12
21	было бы	5	12
22	но и	5	12
23	сказать что	5	12
24	есть не	3	12
25	все же	8	12
26	и то	5	12
27	и ее	4	12
28	что же	3	11
29	таким образом	19	11
30	то же	8	10
31	уже не	5	10
32	в ней	3	10
33	как бы	5	10
34	потому что	14	10
35	что мы	2	10
36	что такое	10	10
37	в том	31	9
38	в самом	12	9
39	и с	2	9
40	прежде всего	8	9
41	что не	5	9
42	еще и	3	9
43	иное как	5	8
44	она есть	5	8
45	что иное	4	8
46	не что	4	8
47	в себе	4	8
48	и это	6	8
49	ничего не	2	8
50	что оно	2	7
51	также и	16	7
52	говорить о	3	7
53	в то	5	7
54	его в	6	7
55	так как	13	7
56	е в	4	7
57	том что	26	7
58	есть и	4	7
59	себя в	2	7
60	как раз	4	7
61	в этом	34	7
62	так что	5	6
63	и как	9	6
64	это есть	2	6
65	но что	3	6
66	что в	11	6
67	но если	3	6
68	жизни и	2	6
69	ни с	2	6
70	со стороны	12	6
71	должно быть	2	6
72	в результате	3	6
73	точки зрения	7	6
74	когда мы	2	6
75	но в	10	6
76	по крайней	4	6
77	ясно что	9	6
78	крайней мере	4	6
79	бы и	2	6
80	можно было	7	6
81	а если	2	6
82	не менее	8	5
83	должна быть	2	5
84	в отношении	2	5
85	вообще не	3	5
86	это не	8	5
87	с этой	4	5
88	тем не	8	5
89	не в	8	5
90	еще не	4	5
91	и до	2	5
92	для этого	3	5
93	а в	5	5
94	чем же	3	5
95	с тем	6	5
96	если бы	2	5
97	в ее	11	5
98	у нас	2	5
99	одна из	2	5
100	но не	7	5
101	того же	3	5
102	же это	2	5
103	в сущности	3	5
104	и для	4	5
105	в чем	4	5
106	с чем	2	4
107	собственном смысле	2	4
108	в своем	3	4
109	с другой	8	4
110	независимо от	3	4
111	же время	5	4
112	из них	3	4
113	в их	11	4
114	смысле и	2	4
115	мы говорим	2	4
116	от того	3	4
117	в и	4	4
118	и даже	5	4
119	знания и	3	4
120	с этим	2	4
121	о том	15	4
122	не существует	2	4
123	то это	3	4
124	как и	5	4
125	так чтобы	3	4
126	во всех	2	4
127	однако не	4	4
128	на почве	5	4
129	должен быть	4	4
130	что и	3	4
131	быть и	2	4
132	этот вопрос	4	4
133	между ними	2	4
134	с точки	2	4
135	е не	2	4
136	мы не	2	4
137	в данном	11	4
138	тем что	6	4
139	сама по	3	3
140	никогда не	3	3
141	вопрос о	8	3
142	есть еще	2	3
143	в собственном	2	3
144	что именно	2	3
145	можно сказать	3	3
146	к тому	4	3
147	несмотря на	2	3
148	это может	2	3
149	на этом	3	3
150	как о	4	3
151	и сам	2	3
152	в нем	13	3
153	отношение к	3	3
154	все это	6	3
155	можно только	2	3
156	но как	2	3
157	в чисто	4	3
158	мы имеем	3	3
159	тогда когда	3	3
160	или как	3	3
161	нисколько не	3	3
162	само по	3	3
163	даже и	3	3
164	в одном	4	3
165	один из	6	3
166	что он	4	3
167	в своей	4	3
168	вместе с	6	3
169	да и	4	3
170	только на	3	3
171	и тогда	3	3
172	из того	2	3
173	в той	7	3
174	самом деле	6	3
175	того чтобы	21	3
176	хотя бы	5	3
177	тем более	2	3
178	и вообще	3	3
179	как оно	3	3
180	если это	2	3
181	на вопрос	6	2
182	казалось бы	2	2
183	в частности	3	2
184	в подлинном	2	2
185	тому что	2	2
186	это однако	2	2
187	а потому	3	2
188	шла речь	4	2
189	а только	8	2
190	но зато	2	2
191	но все	3	2
192	обе эти	2	2
193	мог бы	2	2
194	в виду	4	2
195	так или	4	2
196	себе что	3	2
197	и тем	5	2
198	и уже	3	2
199	данном случае	5	2
200	в разных	5	2
201	и вот	3	2
202	тех или	3	2
203	заключается в	4	2
204	во втором	2	2
205	не мог	2	2
206	первом случае	2	2
207	так же	3	2
208	в своих	2	2
209	в более	2	2
210	понимать в	2	2
211	понять ее	2	2
212	но ведь	4	2
213	а так	2	2
214	в первом	5	2
215	свое выражение	3	2
216	как это	5	2
217	как она	4	2
218	мы можем	2	2
219	ни к	2	2
220	от этого	5	2
221	о которой	2	2
222	о чем	4	2
223	них и	2	2
224	не с	2	2
225	о которых	2	2
226	в силу	3	2
227	на этой	3	2
228	в качестве	7	2
229	не нужно	2	2
230	ближе к	2	2
231	себе и	2	2
232	наряду с	2	2
233	об этом	5	2
234	но уже	2	2
235	нечто целое	2	2
236	мысли и	2	2
237	как нечто	8	2
238	тогда как	2	2
239	и этого	3	2
240	как мы	9	2
241	в в	3	2
242	для того	21	2
243	и его	5	2
244	той же	4	2
245	или иначе	4	2
246	из его	2	2
247	во всяком	3	2
248	к делу	3	2
249	отношении к	2	2
250	если же	2	2
251	об отношении	2	2
252	дело в	3	2
253	в особенности	4	2
