N	3gram	Vygotskiy__5	StatiiOP
1	в том что	11	17
2	о том что	4	11
3	для того чтобы	14	10
4	можно было бы	3	8
5	с точки зрения	9	8
6	в этом отношении	5	7
7	до сих пор	3	7
8	с другой стороны	2	6
9	в самом деле	2	5
10	не может быть	3	5
11	и в области	2	4
12	так же как	7	3
13	том что в	2	3
14	ничего общего с	2	3
15	тем или иным	2	3
16	по отношению к	12	3
17	заключается в том	5	3
18	но все же	2	3
19	мере в какой	3	2
20	в то время	4	2
21	в свое время	2	2
22	в той же	2	2
23	то обстоятельство что	2	2
24	с одной стороны	3	2
25	в этом случае	3	2
26	на вопрос о	3	2
27	и то что	2	2
28	вопрос о том	3	2
