N	2gram	Tiupa_Narr_2	Myslijsy
1	то есть	9	34
2	потому что	2	33
3	то что	8	29
4	может быть	10	26
5	таким образом	5	24
6	в том	14	23
7	и в	13	23
8	в этом	13	23
9	в слове	3	22
10	и не	14	18
11	что в	4	17
12	при этом	14	15
13	только в	11	15
14	для нас	2	14
15	как и	4	14
16	в себе	8	14
17	то же	4	14
18	того что	6	14
19	если бы	4	13
20	том что	13	12
21	а не	17	12
22	что я	3	11
23	но и	15	11
24	не в	8	11
25	не может	8	11
26	по отношению	5	10
27	не только	26	10
28	между тем	3	9
29	в своем	6	8
30	было бы	2	8
31	отношению к	5	8
32	мы не	2	8
33	сказать что	3	8
34	о том	5	8
35	но в	6	8
36	стало быть	2	8
37	что это	4	7
38	это не	3	7
39	на то	2	7
40	в нем	5	7
41	что и	2	7
42	в силу	4	7
43	и что	2	7
44	вовсе не	2	7
45	и т	2	7
46	как в	5	7
47	и к	6	6
48	мысль о	2	6
49	так и	9	6
50	для него	4	5
51	хотя и	5	5
52	в его	6	5
53	как бы	6	5
54	не менее	4	5
55	внимание на	3	5
56	а в	9	5
57	с ним	4	5
58	тем более	2	5
59	говорить о	2	5
60	так сказать	3	5
61	не имеет	2	5
62	и более	2	4
63	и все	4	4
64	быть может	2	4
65	что он	5	4
66	тем не	5	4
67	тогда как	15	4
68	можно сказать	6	4
69	по поводу	2	4
70	со своим	2	4
71	в котором	5	4
72	и тем	5	4
73	да и	3	4
74	только на	2	4
75	то и	3	4
76	в той	5	4
77	тем самым	5	4
78	того чтобы	3	4
79	хотя бы	2	4
80	так же	2	4
81	в таком	3	4
82	точки зрения	5	4
83	в данном	10	4
84	т п	2	4
85	в сознании	2	4
86	в то	5	4
87	видно что	2	4
88	могли бы	2	4
89	мы имеем	3	4
90	только не	2	3
91	никогда не	6	3
92	и состоит	2	3
93	давно уже	2	3
94	с нею	2	3
95	именно в	2	3
96	но это	2	3
97	не будет	2	3
98	же время	3	3
99	еще не	2	3
100	к тому	9	3
101	в самом	2	3
102	в процессе	2	3
103	со стороны	6	3
104	только что	2	3
105	той же	2	3
106	все эти	3	3
107	что у	2	3
108	те же	2	3
109	на самом	2	3
110	уже не	4	3
111	самом деле	3	3
112	более чем	2	3
113	и по	3	3
114	ведет к	2	3
115	с ними	3	3
116	мы его	2	3
117	с точки	2	3
118	тому как	2	2
119	во время	2	2
120	я не	5	2
121	состоит в	12	2
122	в нашем	2	2
123	тому что	3	2
124	все что	4	2
125	превращается в	2	2
126	столь же	2	2
127	с другой	5	2
128	оно не	2	2
129	из этих	2	2
130	точно так	2	2
131	представить себе	3	2
132	а как	3	2
133	и здесь	2	2
134	в ее	4	2
135	у нас	2	2
136	об этом	4	2
137	по своему	2	2
138	имеем дело	2	2
139	отношения между	2	2
140	в свою	2	2
141	во сне	2	2
142	не могу	2	2
143	в ней	2	2
144	он не	5	2
145	и когда	3	2
146	не вполне	2	2
147	один из	3	2
148	в мире	4	2
149	на том	3	2
150	можно назвать	2	2
151	данном случае	6	2
152	что она	2	2
153	и для	3	2
154	в течение	2	2
155	и у	4	2
156	и даже	3	2
157	сводятся к	2	2
158	и его	3	2
159	в других	2	2
160	можно было	2	2
161	или иначе	2	2
162	в глазах	4	2
163	в своих	2	2
164	не следует	3	2
165	в виде	2	2
166	к ней	3	2
167	подобно тому	2	2
168	к его	3	2
169	бы в	2	2
170	я в	5	2
171	от его	2	2
172	в области	2	2
