N	2gram	Losev_Vesc_1	Problema
1	и не	29	28
2	не только	36	24
3	только в	14	23
4	вовсе не	10	21
5	в том	8	20
6	и в	21	20
7	не просто	19	16
8	все эти	3	16
9	то что	27	15
10	потому что	16	15
11	у нас	7	14
12	было бы	14	14
13	той или	2	14
14	но и	18	14
15	точки зрения	5	14
16	перед нами	2	13
17	не в	5	13
18	также и	6	13
19	даже и	4	13
20	не есть	49	12
21	в себе	14	12
22	том что	8	12
23	прежде всего	9	11
24	по себе	13	11
25	с точки	3	11
26	не менее	3	10
27	тем не	3	10
28	отнюдь не	5	10
29	так и	3	10
30	и его	2	10
31	это значит	24	10
32	при помощи	2	10
33	может быть	16	9
34	есть нечто	6	9
35	все это	5	9
36	и даже	6	9
37	в этом	4	9
38	содержит в	4	8
39	если бы	5	8
40	таким образом	8	8
41	в той	3	8
42	в результате	3	8
43	во всяком	3	8
44	и все	5	8
45	но в	5	8
46	значит что	24	8
47	с другой	6	7
48	это не	5	7
49	ясно что	8	7
50	еще не	8	7
51	мы не	6	7
52	и потому	5	7
53	и тем	3	7
54	тоже есть	3	7
55	то же	6	7
56	а не	19	7
57	сказать что	17	7
58	и с	8	7
59	в ней	12	7
60	хотя бы	6	7
61	об этом	3	6
62	и без	3	6
63	и от	3	6
64	по крайней	4	6
65	а только	3	6
66	так что	5	6
67	для нас	2	6
68	как и	8	6
69	но это	10	6
70	есть не	14	6
71	крайней мере	4	6
72	но если	8	6
73	в виду	2	6
74	другой стороны	2	6
75	в данном	5	6
76	сам по	3	6
77	мы имеем	7	6
78	но не	5	5
79	хотя и	4	5
80	в нем	2	5
81	в смысле	12	5
82	можно сказать	6	5
83	в ее	7	5
84	да и	3	5
85	действительности и	5	5
86	и если	2	5
87	и о	3	5
88	жизни и	2	5
89	данном случае	2	5
90	то и	4	5
91	не может	17	5
92	только и	2	5
93	так как	7	5
94	если мы	8	5
95	уже не	9	5
96	когда мы	6	5
97	или в	2	5
98	о том	6	5
99	те или	4	5
100	нет никакой	2	4
101	с тем	5	4
102	и есть	26	4
103	но даже	3	4
104	в отношении	4	4
105	и для	9	4
106	и во	3	4
107	в одном	2	4
108	и ее	18	4
109	в самой	2	4
110	это и	6	4
111	всегда есть	3	4
112	в этой	3	4
113	только не	2	4
114	кроме того	4	4
115	в своей	5	4
116	никак не	3	4
117	что она	15	4
118	тех или	5	4
119	как бы	12	4
120	всяком случае	2	4
121	однако не	2	4
122	и т	19	4
123	и образ	3	4
124	во всех	2	4
125	ни с	6	4
126	без всякого	4	4
127	отличается от	7	4
128	и только	3	4
129	с этим	3	4
130	в разных	4	4
131	а в	4	4
132	что не	5	4
133	можно было	2	4
134	как раз	9	4
135	в то	3	4
136	с ним	8	4
137	к тому	3	3
138	независимо от	5	3
139	не мешает	4	3
140	можно ли	7	3
141	вообще не	2	3
142	если не	3	3
143	в жизни	3	3
144	ни на	3	3
145	с собой	2	3
146	как мы	4	3
147	для него	4	3
148	и как	8	3
149	это есть	7	3
150	имеем дело	3	3
151	совершенно не	5	3
152	себе в	3	3
153	между прочим	3	3
154	в его	2	3
155	и этот	2	3
156	только к	2	3
157	нет никакого	2	3
158	но она	3	3
159	то это	3	3
160	что и	3	3
161	что в	9	3
162	другими словами	5	3
163	дело не	2	3
164	бы и	5	3
165	в своем	6	3
166	т д	19	3
167	еще и	8	3
168	и сама	3	3
169	все равно	2	3
170	самом деле	4	3
171	и другое	4	3
172	для того	2	3
173	что мы	14	3
174	с другими	8	3
175	или другой	2	3
176	тут же	2	3
177	тем что	2	3
178	из них	4	3
179	чем же	3	3
180	в другом	2	3
181	мы должны	2	3
182	без этого	2	3
183	нечто целое	2	3
184	а это	4	3
185	как это	2	3
186	мы можем	4	3
187	из себя	3	2
188	для этого	4	2
189	есть именно	6	2
190	ли сказать	3	2
191	или других	4	2
192	она является	3	2
193	в конце	2	2
194	только очень	2	2
195	в понятии	4	2
196	была бы	2	2
197	для ее	2	2
198	для себя	5	2
199	стороны и	2	2
200	сама по	3	2
201	как же	3	2
202	больше ничего	8	2
203	обойтись без	2	2
204	то в	4	2
205	что они	6	2
206	так чтобы	2	2
207	не что	7	2
208	тот же	3	2
209	есть ни	3	2
210	но именно	2	2
211	и может	2	2
212	самой же	2	2
213	что это	13	2
214	в самом	9	2
215	по преимуществу	2	2
216	свидетельствует о	3	2
217	между собою	6	2
218	к ней	2	2
219	действительность в	2	2
220	перестает быть	3	2
221	относится к	5	2
222	не вполне	2	2
223	в котором	3	2
224	сами по	3	2
225	только один	2	2
226	все же	4	2
227	с ее	6	2
228	себя в	10	2
229	не будет	12	2
230	если оно	4	2
231	каждой из	2	2
232	с ней	2	2
233	для всякого	2	2
234	но только	3	2
235	только на	3	2
236	и притом	3	2
237	есть тоже	4	2
238	можно только	4	2
239	мы находим	2	2
240	совершенно ясно	2	2
241	и что	15	2
242	того чтобы	3	2
243	и больше	9	2
244	ни было	4	2
245	только что	2	2
246	есть только	7	2
247	с ними	3	2
248	образ и	3	2
249	то мы	2	2
250	понятие не	3	2
251	и когда	4	2
252	у меня	3	2
253	это можно	2	2
254	что иное	7	2
255	говорить о	6	2
256	и то	10	2
257	его в	2	2
258	и это	14	2
259	дело в	4	2
260	вещь есть	7	2
261	вещь как	7	2
262	в чем	6	2
263	того же	5	2
264	не то	4	2
265	иное как	7	2
266	это будет	3	2
267	еще более	2	2
268	однако это	2	2
