N	3gram	Vygotskiy__2	Russkaja
1	то же время	2	10
2	в то же	2	10
3	с точки зрения	10	9
4	в том что	17	7
5	во всяком случае	2	6
6	на самом деле	5	6
7	для того чтобы	13	6
8	до сих пор	5	5
9	на то что	6	4
10	бы то ни	2	4
11	в том случае	4	4
12	не может быть	8	4
13	в конце концов	3	3
14	в данном случае	4	3
15	и не может	2	3
16	и то что	2	3
17	том случае если	4	3
18	можно было бы	4	3
19	только в том	4	2
20	о том что	4	2
21	и в том	2	2
22	к тому что	2	2
23	что он не	2	2
24	точно так же	3	2
25	в том и	2	2
26	того или иного	2	2
