N	2gram	Voloshinov_1	Freidism
1	таким образом	6	24
2	и не	8	23
3	не может	8	20
4	точки зрения	7	19
5	прежде всего	9	18
6	и пр	7	15
7	в этом	2	15
8	в его	7	15
9	с помощью	2	14
10	мы можем	4	13
11	может быть	8	13
12	и его	12	12
13	как и	3	11
14	как бы	6	11
15	то что	6	11
16	все эти	2	11
17	с точки	5	11
18	так и	3	10
19	самом деле	3	10
20	но в	4	10
21	и в	13	9
22	по отношению	3	9
23	отношению к	3	8
24	в своей	4	8
25	не только	6	8
26	все это	4	8
27	то же	4	8
28	только в	6	8
29	и все	3	8
30	так как	3	8
31	тот же	2	7
32	в самом	2	7
33	что же	3	7
34	те же	2	7
35	и наконец	5	7
36	мы уже	2	7
37	никогда не	3	6
38	точку зрения	3	6
39	вовсе не	2	6
40	и ее	2	6
41	для него	2	6
42	за пределы	3	6
43	в ней	2	6
44	хотя бы	5	6
45	и к	2	5
46	но мы	4	5
47	не в	3	5
48	в чем	2	5
49	что в	3	5
50	но и	3	5
51	а в	2	5
52	могут быть	2	5
53	с этим	3	5
54	мы должны	6	5
55	не менее	2	4
56	сознания и	2	4
57	связанных с	2	4
58	и др	2	4
59	в пределах	3	4
60	к тому	2	4
61	смысле слова	2	4
62	связанные с	2	4
63	при этом	2	4
64	в зависимости	2	4
65	в нем	2	4
66	все же	5	4
67	данном случае	2	4
68	с самого	2	4
69	и для	3	4
70	в которой	3	4
71	мы не	4	4
72	с ними	2	4
73	в данном	2	4
74	говорить о	3	4
75	зависимости от	2	4
76	самого начала	2	3
77	если бы	2	3
78	в них	2	3
79	от всех	2	3
80	конечно в	2	3
81	в себе	3	3
82	учение о	2	3
83	и может	2	3
84	было бы	4	3
85	в общем	2	3
86	ее в	2	3
87	как в	2	3
88	и т.п	7	3
89	при анализе	3	3
90	в искусстве	3	3
91	ничего общего	3	3
92	может стать	2	3
93	но ведь	5	3
94	слова и	2	3
95	не является	4	3
96	в сознании	4	3
97	не исчерпывается	2	2
98	в отношении	2	2
99	уже в	2	2
100	для себя	2	2
101	с другой	2	2
102	и уже	3	2
103	в ее	3	2
104	да и	3	2
105	том что	2	2
106	более того	2	2
107	а не	2	2
108	одной стороны	2	2
109	вполне понятно	4	2
110	но для	3	2
111	в процессе	5	2
112	в этот	2	2
113	на две	2	2
114	в их	3	2
115	во всей	2	2
116	с одной	2	2
117	социальной группы	4	2
118	так же	2	2
119	роль в	2	2
120	социального общения	6	2
121	мы видим	2	2
122	и то	3	2
123	от этого	2	2
124	иным как	2	2
125	чем же	2	2
126	нуждается в	2	2
127	в своих	2	2
128	и при	2	2
129	в другом	2	2
130	представлений и	2	2
131	в области	2	2
