N	2gram	Losev_Vesc_1	Formalny
1	т е	55	32
2	и не	29	30
3	вовсе не	10	28
4	и в	21	27
5	может быть	16	25
6	не может	17	24
7	так и	3	21
8	и его	2	19
9	таким образом	8	18
10	в этом	4	18
11	а не	19	17
12	точки зрения	5	16
13	самом деле	4	16
14	и пр	6	15
15	в нем	2	15
16	то же	6	15
17	между ними	3	15
18	как и	8	14
19	с точки	3	14
20	не в	5	12
21	если бы	5	12
22	и от	3	11
23	в самом	9	11
24	в жизни	3	11
25	и т	19	11
26	но и	18	10
27	в действительности	7	9
28	так как	7	9
29	не только	36	9
30	что в	9	8
31	как бы	12	8
32	отнюдь не	5	8
33	и все	5	8
34	то что	27	8
35	как раз	9	8
36	как мы	4	8
37	только в	14	8
38	не менее	3	7
39	в том	8	7
40	все это	5	7
41	потому что	16	7
42	в то	3	7
43	его в	2	7
44	с тем	5	7
45	совершенно не	5	7
46	в его	2	7
47	если мы	8	7
48	с другой	6	6
49	всяком случае	2	6
50	т д	19	6
51	все эти	3	6
52	бы в	5	6
53	но в	5	6
54	еще не	8	6
55	было бы	14	6
56	действительности и	5	6
57	и понимания	2	6
58	все же	4	6
59	в своей	5	6
60	хотя бы	6	6
61	и для	9	6
62	в данном	5	6
63	во всяком	3	6
64	и ее	18	6
65	независимо от	5	5
66	никогда не	2	5
67	ни было	4	5
68	что они	6	5
69	того чтобы	3	5
70	и их	7	5
71	другой стороны	2	5
72	в ней	12	5
73	и формы	2	5
74	в результате	3	5
75	но не	5	5
76	и потому	5	5
77	что же	8	5
78	сводится к	2	5
79	тому как	4	5
80	тем что	2	5
81	смысла и	5	4
82	то ни	4	4
83	прежде всего	9	4
84	в смысле	12	4
85	к тому	3	4
86	да и	3	4
87	и как	8	4
88	можно говорить	2	4
89	для того	2	4
90	быть понято	2	4
91	бы то	4	4
92	жизни и	2	4
93	данном случае	2	4
94	со стороны	5	4
95	смысл и	9	4
96	от всех	4	4
97	но ведь	2	4
98	о том	6	4
99	как это	2	4
100	мы можем	4	4
101	тогда когда	5	4
102	по себе	13	4
103	бы ни	2	4
104	не есть	49	4
105	в ее	7	4
106	том что	8	4
107	она не	4	4
108	как ее	2	4
109	на ее	3	4
110	только на	3	4
111	в слове	2	4
112	мы не	6	4
113	подобно тому	4	4
114	слова и	5	4
115	бы и	5	3
116	что это	13	3
117	его и	2	3
118	тому что	2	3
119	это не	5	3
120	в конце	2	3
121	можно сказать	6	3
122	для нас	2	3
123	должна быть	4	3
124	того что	8	3
125	она есть	8	3
126	в виду	2	3
127	и тем	3	3
128	только то	2	3
129	как таковая	2	3
130	той же	2	3
131	и что	15	3
132	действительности в	2	3
133	никак не	3	3
134	их в	3	3
135	сказать что	17	3
136	и с	8	3
137	в основе	3	3
138	и следовательно	7	3
139	от его	2	3
140	ясно что	8	3
141	у нас	7	3
142	того же	5	3
143	равно как	2	3
144	мы уже	3	3
145	во всех	2	3
146	оно не	3	3
147	а и	9	3
148	в той	3	3
149	уже не	9	3
150	и эта	3	3
151	ничто не	2	3
152	то мы	2	3
153	в себе	14	3
154	где она	2	2
155	она должна	2	2
156	мы еще	2	2
157	для этого	4	2
158	в отношении	4	2
159	вообще не	2	2
160	была бы	2	2
161	но это	10	2
162	в этой	3	2
163	на этом	2	2
164	ведь не	3	2
165	общения и	2	2
166	но для	2	2
167	но если	8	2
168	в котором	3	2
169	только один	2	2
170	из них	4	2
171	дело не	2	2
172	от того	3	2
173	что она	15	2
174	отличается от	7	2
175	в своем	6	2
176	и только	3	2
177	можно только	4	2
178	в самой	2	2
179	и даже	6	2
180	и конкретной	2	2
181	в философии	5	2
182	чем же	3	2
183	необходимо чтобы	3	2
184	в россии	2	2
185	конце концов	2	2
186	свое выражение	3	2
187	слово в	2	2
188	нисколько не	4	2
189	только не	2	2
190	перестает быть	3	2
191	и во	3	2
192	стороны и	2	2
193	самый смысл	4	2
194	языка как	2	2
195	с ее	6	2
196	говорить о	6	2
197	и притом	3	2
198	обойтись без	2	2
199	то в	4	2
200	так чтобы	2	2
201	одна из	5	2
202	ту или	2	2
203	мы должны	2	2
204	в сущности	4	2
205	ни с	6	2
206	не значит	7	2
207	между смыслом	3	2
208	сами по	3	2
209	должен быть	2	2
210	что и	3	2
211	тем не	3	2
212	но уже	3	2
213	и действительность	6	2
214	это и	6	2
215	то или	2	2
216	это можно	2	2
217	это значит	24	2
218	смыслом и	3	2
219	от этого	2	2
220	быть только	3	2
221	является в	2	2
222	неотделимо от	2	2
223	ту же	2	2
224	и вне	2	2
225	и это	14	2
226	дело в	4	2
227	ничего не	3	2
