N	2gram	Trubetskoy_1	PoTuStor
1	может быть	16	17
2	и в	23	16
3	прежде всего	3	9
4	таким образом	31	9
5	и проч	4	9
6	в этом	12	9
7	мы можем	6	9
8	и только	2	9
9	совершенно не	3	8
10	в психике	7	8
11	и с	5	8
12	точки зрения	13	8
13	не может	17	8
14	не только	7	7
15	и это	3	6
16	и к	5	6
17	с точки	8	6
18	самом деле	12	6
19	для него	2	6
20	при этом	9	6
21	конечно не	3	6
22	отношение к	4	5
23	все эти	19	5
24	еще не	5	5
25	как бы	10	5
26	в нем	3	4
27	и их	5	4
28	отнюдь не	2	4
29	но и	9	4
30	так и	10	4
31	все это	11	4
32	хотя бы	4	4
33	и все	7	4
34	так как	7	4
35	и не	8	4
36	на самом	7	4
37	а потому	5	4
38	как мы	2	4
39	и ее	2	4
40	и наконец	3	4
41	с ними	2	4
42	и на	6	4
43	в этой	6	4
44	с ее	2	4
45	все что	9	4
46	и может	3	4
47	только в	6	4
48	в один	2	4
49	его в	5	4
50	но в	4	4
51	в его	5	4
52	мы знаем	10	3
53	на этой	2	3
54	в этих	3	3
55	по сравнению	5	3
56	что в	8	3
57	жизни и	2	3
58	во всех	10	3
59	вместе с	6	3
60	сих пор	8	3
61	сравнению с	5	3
62	те же	2	3
63	в том	30	3
64	а в	3	3
65	том что	19	3
66	то что	18	3
67	их в	2	3
68	в основе	2	3
69	на этом	2	3
70	в общем	6	3
71	тех же	2	3
72	в области	4	3
73	во всяком	2	3
74	и потому	3	3
75	до сих	8	3
76	между ними	2	3
77	всяком случае	2	3
78	не менее	7	2
79	не могут	4	2
80	что и	7	2
81	не есть	2	2
82	нечего и	3	2
83	ни было	2	2
84	же как	3	2
85	не будет	5	2
86	другими словами	2	2
87	как не	2	2
88	потому и	2	2
89	в частности	2	2
90	никогда не	4	2
91	между собой	4	2
92	для этого	7	2
93	в них	2	2
94	если мы	4	2
95	того же	9	2
96	с этой	3	2
97	и так	2	2
98	из этих	8	2
99	с этим	11	2
100	в жизни	3	2
101	то же	4	2
102	что оно	3	2
103	к этому	5	2
104	не знает	2	2
105	и других	2	2
106	сводится к	2	2
107	что он	7	2
108	в одно	2	2
109	что мы	4	2
110	на первый	2	2
111	у него	5	2
112	и по	3	2
113	и для	6	2
114	для нас	3	2
115	как и	9	2
116	они не	2	2
117	так же	8	2
118	есть в	2	2
119	мы уже	4	2
120	по своему	5	2
121	знаем что	8	2
122	он не	3	2
123	и говорить	3	2
124	между собою	5	2
125	всех других	2	2
126	говорить о	2	2
127	в начале	2	2
128	и вообще	3	2
129	ту же	2	2
130	было бы	3	2
131	что это	5	2
132	все то	2	2
133	о том	7	2
134	в самом	8	2
135	но как	2	2
136	только то	2	2
137	с ним	6	2
138	к ним	2	2
139	можно назвать	3	2
140	для меня	4	2
141	себя и	2	2
