N	2gram	Nazirov_Tv_1	Vladivir
1	и в	21	30
2	в году	7	24
3	то что	8	20
4	в этом	6	20
5	у него	7	19
6	в том	7	18
7	и не	7	18
8	и с	3	14
9	что он	6	13
10	же с	2	13
11	том что	11	12
12	что в	12	12
13	там же	3	12
14	не только	7	12
15	в его	13	11
16	а в	6	11
17	сказать что	2	11
18	в с	2	10
19	и даже	3	10
20	не в	2	9
21	для него	6	9
22	все же	5	9
23	потому что	5	9
24	не может	4	9
25	м с	5	9
26	в то	15	9
27	в своем	4	8
28	вместе с	2	8
29	но и	3	8
30	не мог	2	8
31	но в	7	8
32	не менее	6	7
33	никогда не	3	7
34	и все	6	7
35	до конца	2	7
36	может быть	5	7
37	а не	5	7
38	то есть	12	7
39	хотя и	3	6
40	к этому	2	6
41	прежде всего	4	6
42	об этом	2	6
43	тем не	2	6
44	только в	5	6
45	в себе	2	6
46	жизни и	3	6
47	и его	6	6
48	как и	12	5
49	так что	2	5
50	в дальнейшем	3	5
51	то в	2	5
52	№ с	2	5
53	при этом	7	5
54	того же	2	5
55	тот же	2	5
56	в своей	4	5
57	в основном	4	5
58	как бы	17	5
59	в котором	6	5
60	так и	2	5
61	все это	10	5
62	того что	3	5
63	так как	3	5
64	с ним	3	5
65	с его	11	4
66	именно в	2	4
67	я не	3	4
68	вовсе не	5	4
69	можно сказать	2	4
70	что его	2	4
71	в этой	5	4
72	в целом	4	4
73	на его	3	4
74	в ней	2	4
75	он не	8	4
76	это время	2	4
77	в нем	3	4
78	крайней мере	2	4
79	в этих	2	4
80	время в	3	4
81	то же	13	4
82	и наконец	2	4
83	и он	2	4
84	так же	3	4
85	той же	3	4
86	и на	7	4
87	но это	5	4
88	м м	11	4
89	о том	6	4
90	в которой	3	4
91	по крайней	2	4
92	уже в	3	3
93	т ii	2	3
94	хотя бы	5	3
95	точно так	2	3
96	это в	3	3
97	же время	12	3
98	в свою	7	3
99	что и	2	3
100	и как	4	3
101	что я	3	3
102	но не	3	3
103	в данном	2	3
104	еще более	2	3
105	как в	8	3
106	в отличие	2	3
107	таким образом	5	3
108	здесь мы	2	3
109	уже не	3	3
110	отличие от	2	3
111	где он	2	3
112	не столько	2	3
113	в виде	3	3
114	к ней	2	3
115	но он	2	3
116	дело в	3	3
117	в россии	3	3
118	не то	2	3
119	он сам	6	2
120	еще в	2	2
121	жизни с	2	2
122	однако в	2	2
123	у достоевского	28	2
124	жизни в	6	2
125	это не	4	2
126	и от	4	2
127	не был	3	2
128	этой книги	3	2
129	к тому	2	2
130	на первом	2	2
131	настоящее время	2	2
132	во второй	2	2
133	в самом	3	2
134	не могу	2	2
135	в частности	2	2
136	же и	2	2
137	в виду	2	2
138	даже в	3	2
139	а что	2	2
140	гораздо более	2	2
141	людей в	2	2
142	в петербурге	4	2
143	данном случае	2	2
144	в их	3	2
145	но его	2	2
146	с которым	2	2
147	стремится к	3	2
148	как к	2	2
149	на земле	3	2
150	и притом	2	2
151	в двух	2	2
152	мы находим	2	2
153	вопросы философии	2	2
154	что не	2	2
155	в чем	2	2
156	и по	3	2
157	что для	2	2
158	приходит к	3	2
159	в своих	5	2
160	мысли и	4	2
161	как будто	5	2
162	на эту	4	2
163	я и	3	2
