N	2gram	Berdyaev_M_1	Formalny
1	и в	28	38
2	в этом	20	27
3	т е	2	26
4	может быть	30	23
5	и его	9	21
6	и не	11	20
7	в самом	11	16
8	прежде всего	10	15
9	не в	16	15
10	не может	28	14
11	в нем	13	13
12	но и	25	13
13	с его	3	11
14	с тем	9	11
15	в том	6	11
16	в его	9	10
17	и с	3	9
18	как и	5	9
19	не только	29	9
20	что и	4	8
21	все же	2	8
22	тем что	4	8
23	точки зрения	4	8
24	что в	10	7
25	не могут	5	7
26	для него	11	7
27	в своей	15	7
28	лишь в	6	7
29	уже не	4	7
30	не было	18	6
31	то что	5	6
32	в истории	2	6
33	в ней	15	6
34	в этой	6	6
35	было бы	10	6
36	вместе с	6	6
37	в их	4	6
38	все эти	2	6
39	а не	25	6
40	могут быть	2	6
41	он не	24	6
42	только в	6	6
43	а в	4	6
44	хотя бы	3	6
45	должна быть	6	5
46	если бы	2	5
47	что он	10	5
48	это и	4	5
49	с этим	3	5
50	и для	2	5
51	в основе	2	5
52	в то	2	5
53	бы в	2	5
54	не как	4	4
55	к этому	2	4
56	к тому	3	4
57	литературы и	2	4
58	как бы	2	4
59	и к	2	4
60	в высшей	2	4
61	как в	2	4
62	входит в	2	4
63	даже и	2	4
64	высшей степени	2	4
65	от нее	5	4
66	ничего не	3	4
67	так как	3	4
68	но в	7	4
69	для них	3	3
70	место в	2	3
71	а как	2	3
72	и как	2	3
73	в ином	2	3
74	его с	2	3
75	не есть	9	3
76	жизни и	2	3
77	и их	3	3
78	все это	6	3
79	только и	3	3
80	к нему	7	3
81	того что	7	3
82	того чтобы	2	3
83	для того	2	3
84	менее всего	7	3
85	особенно в	3	3
86	и на	6	3
87	он и	2	3
88	и все	10	3
89	его в	3	3
90	том смысле	2	3
91	от этого	2	3
92	уже в	4	2
93	никогда не	14	2
94	в этих	4	2
95	от его	2	2
96	это не	5	2
97	в конце	7	2
98	его как	2	2
99	в ее	3	2
100	до конца	14	2
101	том что	3	2
102	от него	4	2
103	но не	8	2
104	она не	4	2
105	конце концов	2	2
106	в котором	8	2
107	не так	3	2
108	он был	14	2
109	один из	4	2
110	есть только	2	2
111	не к	4	2
112	отношение к	4	2
113	и нужно	2	2
114	всего в	2	2
115	приводит к	2	2
116	тому чтобы	2	2
117	его не	3	2
118	очень существенное	2	2
119	на этом	3	2
120	в той	2	2
121	не имеет	3	2
122	и по	4	2
123	должно быть	3	2
124	не была	3	2
125	есть лишь	9	2
126	вряд ли	3	2
127	сказать что	2	2
128	он в	2	2
129	и от	2	2
130	и это	12	2
131	должен был	4	2
132	потому что	16	2
133	в которой	6	2
134	с ним	2	2
135	в виду	2	2
